Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Subsistence UK,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",108968,2.70,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Taxi Services UK,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",108968,34.00,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Other Travel,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",108969,28.60,E&S Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Subsistence UK,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",108970,8.00,E&S Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Subsistence UK,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",108970,82.15,E&S Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Taxi Services UK,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",108970,24.00,E&S Devolved Admin-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Other Travel,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",108971,1.80,E&S Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Other Travel,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",108971,4.82,E&S Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Subsistence UK,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",108971,1.15,E&S Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Subsistence UK,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",108971,10.10,E&S Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Taxi Services UK,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",108971,6.80,E&S Devolved Admin-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Other Travel,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",108972,4.80,K&I Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Taxi Services UK,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",108972,17.50,K&I Devolved Admin-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Hotel & Accommodation UK,Business & Local Growth - Digital Economy Unit,"Personal Expense, Name Witheld",108973,102.53,BLG Devolved Admin-Hotel & Accommodation UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Other Travel,Business & Local Growth - Digital Economy Unit,"Personal Expense, Name Witheld",108973,9.20,BLG Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Other Travel,Business & Local Growth - Digital Economy Unit,"Personal Expense, Name Witheld",108973,9.98,BLG Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Subsistence UK,Business & Local Growth - Digital Economy Unit,"Personal Expense, Name Witheld",108973,10.00,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Subsistence UK,Business & Local Growth - Digital Economy Unit,"Personal Expense, Name Witheld",108973,18.59,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108974,4.90,BRDO: Implementation-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108974,3.55,BRDO: Implementation-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108974,5.00,BRDO: Implementation-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108975,9.50,BRDO: Implementation-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108975,1.38,BRDO: Implementation-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108975,3.25,BRDO: Implementation-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Taxi Services UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108975,10.00,BRDO: Implementation-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Hospitality - UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108976,6.65,BRDO: Implementation-Hospitality - UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108976,1.45,BRDO: Implementation-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108976,4.74,BRDO: Implementation-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108976,13.20,BRDO: Implementation-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108976,5.95,BRDO: Implementation-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108977,4.35,BRDO: Implementation-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108977,11.00,BRDO: Implementation-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108977,11.59,BRDO: Implementation-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108977,30.00,BRDO: Implementation-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Hospitality - UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108978,2.00,BRDO: Implementation-Hospitality - UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108978,8.52,BRDO: Implementation-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108978,15.60,BRDO: Implementation-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108978,10.70,BRDO: Implementation-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108978,22.13,BRDO: Implementation-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108979,8.79,BRDO: Implementation-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108979,15.40,BRDO: Implementation-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108979,16.79,BRDO: Implementation-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108979,24.50,BRDO: Implementation-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Taxi Services UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108979,8.00,BRDO: Implementation-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",108980,5.00,PSHE Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Subsistence UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",108980,8.95,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Subsistence UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",108980,10.00,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Taxi Services UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",108980,13.00,PSHE Devolved Admin-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Mileage Allowance UK,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",108981,18.00,E&M Devolved Admin-Mileage Allowance UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",108982,3.70,PSHE Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",108982,30.91,PSHE Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",108982,69.00,PSHE Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Rail Travel UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",108982,59.50,PSHE Devolved Admin-Rail Travel UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Taxi Services UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",108982,13.60,PSHE Devolved Admin-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",108983,19.20,PSHE Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",108983,24.95,PSHE Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",108983,57.50,PSHE Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Rail Travel UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",108983,138.50,PSHE Devolved Admin-Rail Travel UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Subsistence UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",108983,6.90,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Mileage Allowance UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",109001,22.41,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Criminal Law and Prosecution Work,Legal Services - Legal Services,HM LAND REGISTRY,109003,18.00,Prosecution Agents-Criminal Law and Prosecution Work,PL6 5HY,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Maintenance,Economics & Markets - Business Environment,COMPANIES HOUSE,109004,6157.67,E&M Devolved Admin-Maintenance,CF14 3UZ,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Courier Services,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",ROYAL MAIL GROUP LTD T/A ROYAL MAIL,109005,151.25,PSHE Devolved Admin-Courier Services,BL4 9XX,GRANT,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/08/2015,Stationery,Enterprise & Skills Group - Enterprise Directorate,BANNER BUSINESS SERVICES LTD,109006,84.12,E&S Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,ICT Outsourcing & Maintenance/Support,Economics & Markets - Analysis Directorate,FORDWAY SOLUTIONS LTD,109007,30648.00,E&M Devolved Admin-ICT Outsourcing & Maintenance/Support,GU7 1JJ,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,ICT Outsourcing & Maintenance/Support,Economics & Markets - Analysis Directorate,PROGRAVITAS LTD,109008,6804.00,E&M Devolved Admin-ICT Outsourcing & Maintenance/Support,SG8 6DT,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/08/2015,Service Charges,Finance & Commercial Group - Estates,GVA GRIMLEY LTD,109009,1922.40,F&C Devolved Admin-Service Charges,B1 2JJ,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Legal Services and Advice Agency,Shareholder Executive - Business Portfolio,GOVERNMENT LEGAL DEPARTMENT,109021,2198.50,ShEx Devolved Admin-Legal Services and Advice Agency,SW1H 9JS,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/08/2015,Training And Development Expenditure,Enterprise & Skills Group - Better Regulation Executive (BRE),CAPITA BUSINESS SERVICES LTD,109022,209.00,E&S Devolved Admin-Training And Development Expenditure,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/08/2015,Research and Development Expenditure,Knowledge & Innovation Group - Innovation Directorate,LGC LTD,109023,117171.60,NMS Programme for Chemical & Biological Metrology at LGC-Research and Development Expenditure,TW11 0LY,GRANT,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Training And Development Expenditure,Economics & Markets - Labour Market,CAPITA BUSINESS SERVICES LTD,109024,196.00,E&M Devolved Admin-Training And Development Expenditure,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Enterprise & Skills Group - Vocational Education Directorate,THE INSTITUTION FOR FURTHER EDUCATION,109025,25000.00,Quality Improvement Reform-Current Grants To Private Sector - NPISH,SW1H 0NF,GRANT,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/08/2015,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,109026,-1349.78,Abbey Orchard Street-Electricity,PL3 5XQ,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/08/2015,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,109026,2024.66,Abbey Orchard Street-Electricity,PL3 5XQ,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/08/2015,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,109026,2024.66,Abbey Orchard Street-Electricity,PL3 5XQ,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/08/2015,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,109026,2.36,F&C Devolved Admin-Electricity,PL3 5XQ,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Publications,Shareholder Executive - Business Portfolio,JONES YARRELL LEADENHALL,109027,106.46,ShEx Devolved Admin-Publications,E3 3JG,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Telecoms,"People, Strategy and Higher Education - Director of Change and Corporate Effectiveness, including the BIS Secretariat",DAISY COMMUNICATIONS LTD,109028,66.77,Innovation Space: Facilitator-Telecoms,BB9 5SR,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Health & Safety Training,Finance & Commercial Group - Estates,CAPITA BUSINESS SERVICES LTD,109029,53.83,F&C Devolved Admin-Health & Safety Training,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/08/2015,Learning and Dev - CS Skills,Shareholder Executive - Business Portfolio,FITCH 7CITY LEARNING LTD,109036,390.00,ShEx Devolved Admin-Learning and Dev - CS Skills,EC1Y 4UP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/08/2015,Learning and Dev - CS Skills,Shareholder Executive - Business Portfolio,FITCH 7CITY LEARNING LTD,109037,390.00,ShEx Devolved Admin-Learning and Dev - CS Skills,EC1Y 4UP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Professional Subscriptions,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",109044,168.00,PSHE Devolved Admin-Professional Subscriptions,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Enterprise & Skills Group - Enterprise Directorate,GROWTH VOUCHERS (UKSBS NEWPORT USE ONLY),109047,42120.00,Growth Vouchers-Current Grants To Private Sector - NPISH,SW1H 0ET,GRANT,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Consultancy Expenditure,Enterprise & Skills Group - Vocational Education Directorate,DR DAVID COLLINS,109051,1108.25,Quality Improvement Reform-Consultancy Expenditure,OX18 4TT,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Consultancy Expenditure,Enterprise & Skills Group - Vocational Education Directorate,DR DAVID COLLINS,109051,16800.00,Quality Improvement Reform-Consultancy Expenditure,OX18 4TT,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Air Travel UK,"People, Strategy and Higher Education - Director of Change and Corporate Effectiveness, including the BIS Secretariat","Personal Expense, Name Witheld",109054,199.98,PSHE Devolved Admin-Air Travel UK,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Mileage Allowance UK,"People, Strategy and Higher Education - Director of Change and Corporate Effectiveness, including the BIS Secretariat","Personal Expense, Name Witheld",109054,142.20,PSHE Devolved Admin-Mileage Allowance UK,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Subsistence Overseas,"People, Strategy and Higher Education - Director of Change and Corporate Effectiveness, including the BIS Secretariat","Personal Expense, Name Witheld",109054,99.00,PSHE Devolved Admin-Subsistence Overseas,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Criminal Law and Prosecution Work,Legal Services - Legal Services,MENDIP MEDIA GROUP LTD,109055,286.09,Prosecution Witness & Expenses-Criminal Law and Prosecution Work,EX2 5AX,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Capital Grants to Private Sector - Companies,Business & Local Growth - Regional Growth,FORESTRY COMMISSION,109057,320805.08,EX RDA Portfolio Management Office-Capital Grants to Private Sector - Companies,CA13 9YG,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Capital Grants to Private Sector - Companies,Business & Local Growth - Regional Growth,FORESTRY COMMISSION,109058,200253.91,EX RDA Portfolio Management Office-Capital Grants to Private Sector - Companies,CA13 9YG,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,CMC COMMUNICATIONS LTD,109059,2527.20,F&C Devolved Admin-Central Telecommunications Services,SL5 8LH,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Criminal Law and Prosecution Work,Legal Services - Legal Services,SARAH WOOD,109061,480.00,Prosecution Counsel's Fees-Criminal Law and Prosecution Work,SW1H 0ET,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Criminal Law and Prosecution Work,Legal Services - Legal Services,BARCLAYS BANK PLC,109062,100.00,Prosecution Witness & Expenses-Criminal Law and Prosecution Work,CV4 8JN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,109064,1820.88,F&C Devolved Admin-Central Telecommunications Services,MK3 5JP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,CMC COMMUNICATIONS LTD,109065,2613.60,F&C Devolved Admin-Central Telecommunications Services,SL5 8LH,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,CMC COMMUNICATIONS LTD,109065,2651.40,F&C Devolved Admin-Central Telecommunications Services,SL5 8LH,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,109066,1820.88,F&C Devolved Admin-Central Telecommunications Services,MK3 5JP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/08/2015,Minor Works,Finance & Commercial Group - Estates,EC HARRIS SOLUTIONS LTD,109067,13187.66,F&C Devolved Admin-Minor Works,M60 3NT,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,External Legal Advice and Service,Legal Services - Legal Services,ANDERSON STRATHERN LLP,109068,51.50,Legal Services Admin-External Legal Advice and Service,EH3 8EY,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,External Legal Advice and Service,Legal Services - Legal Services,ANDERSON STRATHERN LLP,109069,138.50,Legal Services Admin-External Legal Advice and Service,EH3 8EY,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,109071,1820.88,F&C Devolved Admin-Central Telecommunications Services,MK3 5JP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,CMC COMMUNICATIONS LTD,109072,1971.00,F&C Devolved Admin-Central Telecommunications Services,SL5 8LH,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,CMC COMMUNICATIONS LTD,109072,3294.00,F&C Devolved Admin-Central Telecommunications Services,SL5 8LH,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Additions - Venture Capital Fund,Shareholder Executive - British Business Bank,BERR EQUITY INVESTMENT PROGRAMMES (CAPITAL),109074,658793.34,EI: XWM Early Advantage Fund-Additions - Venture Capital Fund,SW1H 0ET,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Criminal Law and Prosecution Work,Legal Services - Legal Services,JAMES RAE,109075,6192.50,Prosecution Counsel's Fees-Criminal Law and Prosecution Work,SW1H 0ET,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Utilisation of Provisions - Capital Grants to Private Sector - Companies,Shareholder Executive - British Business Bank,BERR SFLG PAYMENT TO LENDERS,109076,5714.31,Small Firms Loan Guarantees-Utilisation of Provisions - Capital Grants to Private Sector - Companies,SW1H 0ET,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Criminal Law and Prosecution Work,Legal Services - Legal Services,9-12 BELL YARD,109077,2166.00,Prosecution Counsel's Fees-Criminal Law and Prosecution Work,WC2A 2JR,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Criminal Law and Prosecution Work,Legal Services - Legal Services,DAVID BAINES,109080,72.00,Prosecution Counsel's Fees-Criminal Law and Prosecution Work,SW1H 0ET,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Finance & Accounting Advice,Finance & Commercial Group - Finance Directoreate,CIGNA RECRUITMENT LTD,109094,-10920.00,F&C Devolved Admin-Finance & Accounting Advice,EN5 4HL,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Finance & Accounting Advice,Finance & Commercial Group - Finance Directoreate,CIGNA RECRUITMENT LTD,109094,16380.00,F&C Devolved Admin-Finance & Accounting Advice,EN5 4HL,VENDOR,
