Department,Entity,Payment Date,Expense Area,Expense Type,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,05/02/2014,JFC,Purchase of inventory and services ,XMA LTD,NG11 7EP,302629,Cost of other material consumed,7980.45
Ministry of Defence,Ministry of Defence,13/02/2014,Air Command,Spend on Inventory - General,FORBO FLOORING UK LIMITED,DE5 3NT,305452,Spend on Inventory - General,7977.94
Ministry of Defence,Ministry of Defence,06/02/2014,Defence Equipment + Support,Purchase of inventory and services ,XMA LTD,NG11 7EP,303182,Cost of other material consumed,7976.24
Ministry of Defence,Ministry of Defence,14/02/2014,Land Forces,Purchase of inventory and services ,AAH PHARMACEUTICALS LTD,CV2 2TX,305809,Consumption of medical dental and veterinary inventory,7968.33
Ministry of Defence,Ministry of Defence,05/02/2014,Defence Equipment + Support,Purchase of inventory and services ,XMA LTD,NG11 7EP,302629,Cost of other material consumed,7958.36
Ministry of Defence,Ministry of Defence,07/02/2014,HO+CS,Payment of utilities,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,303360,Utilities consumed - electricity,7928.62
Ministry of Defence,Ministry of Defence,25/02/2014,DEFENCE INFRASTRUCTURE,Estate management,ELIOR UK PLC,SK11 6ET,309651,Estate + facilities management services - accommodation inventory + service,7921.45
Ministry of Defence,Ministry of Defence,12/02/2014,Defence Equipment + Support,Fuel for military use,CERTAS ENERGY UK LIMITED,WA3 6XG,180528,Cost of ground diesel fuel consumed,7835.76
Ministry of Defence,Ministry of Defence,20/02/2014,JFC,Purchase of inventory and services ,XMA LTD,NG11 7EP,308320,Cost of other material consumed,7811.52
Ministry of Defence,Ministry of Defence,05/02/2014,Land Forces,Purchase of inventory and services ,XMA LTD,NG11 7EP,302629,Cost of other material consumed,7772.47
Ministry of Defence,Ministry of Defence,25/02/2014,JFC,Purchase of inventory and services ,BOC LIMITED,M28 2UT,309570,Consumption of engineering and technical inventory,7731.95
Ministry of Defence,Ministry of Defence,05/02/2014,Land Forces,Externally delivered education and training,SERCO LIMITED,RG27 9UY,302542,External military training ,7721.36
Ministry of Defence,Ministry of Defence,27/02/2014,HO+CS,Medical treatment & stores and welfare services,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,310663,Schools + community relations initiatives,7713.04
Ministry of Defence,Ministry of Defence,21/02/2014,Land Forces,Medical treatment & stores and welfare services,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,308515,Medical health services,7689.44
Ministry of Defence,Ministry of Defence,07/02/2014,Land Forces,IT and communication services,EUROPEAN ELECTRONIQUE LIMITED,OX29 4TT,303368,Computer equipment costing below the capitalisation threshold,7631.28
Ministry of Defence,Ministry of Defence,27/02/2014,Navy Command,IT and communication services,COMPUTACENTER (UK) LIMITED,SE1 8HL,310650,Computer equipment costing below the capitalisation threshold,7613.70
Ministry of Defence,Ministry of Defence,12/02/2014,Land Forces,Estate management,SODEXO LTD,M50 0AL,305159,Estate + facilities management services - accommodation inventory + service,7603.42
Ministry of Defence,Ministry of Defence,27/02/2014,HO+CS,Military short term detached duty,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018967,Military short term detached duty,7549.06
Ministry of Defence,Ministry of Defence,03/02/2014,Air Command,Design services and minor equipment purchases,XMA LTD,NG11 7EP,301868,Equipment support project costs,7544.24
Ministry of Defence,Ministry of Defence,10/02/2014,Defence Equipment + Support,Defence equipment private finance initiative - service concession arrangement service charge,BMT RELIABILITY CONSULTANTS LTD,PO15 5SU,303810,Defence equipment private finance initiative - service concession arrangement service charge,7544.00
Ministry of Defence,Ministry of Defence,24/02/2014,JFC,Purchase of inventory and services ,XMA LTD,NG11 7EP,309490,Cost of other material consumed,7534.33
Ministry of Defence,Ministry of Defence,20/02/2014,Defence Equipment + Support,Spend on Inventory - General,MAN DIESEL & TURBO UK LIMITED,SK7 5BP,308089,Spend on Inventory - General,7510.03
Ministry of Defence,Ministry of Defence,26/02/2014,Defence Equipment + Support,Purchase of inventory and services ,AAH PHARMACEUTICALS LTD,CV2 2TX,309952,Consumption of medical dental and veterinary inventory,7472.77
Ministry of Defence,Ministry of Defence,27/02/2014,Defence Equipment + Support,General services and support,MARSHALL LAND SYSTEMS LTD,CB5 8RX,310850,Defence equipment CLS/IOS service charge,7461.75
Ministry of Defence,Ministry of Defence,24/02/2014,DEFENCE INFRASTRUCTURE,Food and clothing,ELIOR UK PLC,SK11 6ET,309055,Cost of clothing and textile services received,7429.64
Ministry of Defence,Ministry of Defence,14/02/2014,DEFENCE INFRASTRUCTURE,Purchase of inventory and services ,XMA LTD,NG11 7EP,306347,Cost of other material consumed,7406.63
Ministry of Defence,Ministry of Defence,14/02/2014,Defence Equipment + Support,Purchase of inventory and services ,AAH PHARMACEUTICALS LTD,CV2 2TX,305809,Consumption of medical dental and veterinary inventory,7396.75
Ministry of Defence,Ministry of Defence,18/02/2014,Defence Equipment + Support,Purchase of inventory and services ,BOC LIMITED,M28 2UT,306972,Consumption of engineering and technical inventory,7386.89
Ministry of Defence,Ministry of Defence,19/02/2014,Defence Equipment + Support,Spend on Inventory - General,BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,NP15 1XL,307459,Spend on Inventory - General,7374.00
Ministry of Defence,Ministry of Defence,14/02/2014,HO+CS,Cost of claims/compensation and related expenses against MOD,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018377,Cost of claims/compensation and related expenses against MOD,7365.45
Ministry of Defence,Ministry of Defence,24/02/2014,Defence Equipment + Support,IT and communication services,STERIA LIMITED,HP2 7AH,309398,Information technology services,7343.00
Ministry of Defence,Ministry of Defence,11/02/2014,HO+CS,Defence military assistance fund international subscriptions and other payments,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018345,Defence military assistance fund international subscriptions and other payments,7330.06
Ministry of Defence,Ministry of Defence,12/02/2014,Land Forces,IT and communication services,SPECIALIST COMPUTER CENTRES PLC,B11 2LE,305171,Computer equipment costing below the capitalisation threshold,7318.67
Ministry of Defence,Ministry of Defence,18/02/2014,Defence Equipment + Support,Equipment support non-project costs,CARWOOD MOTOR UNITS LTD,CV3 2RQ,306994,Equipment support non-project costs,7269.99
Ministry of Defence,Ministry of Defence,24/02/2014,Land Forces,Estate management,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,309450,Works - estate management,7261.15
Ministry of Defence,Ministry of Defence,05/02/2014,Defence Equipment + Support,Purchase of inventory and services ,AAH PHARMACEUTICALS LTD,CV2 2TX,302166,Consumption of medical dental and veterinary inventory,7260.24
Ministry of Defence,Ministry of Defence,25/02/2014,DEFENCE INFRASTRUCTURE,Food and clothing,ELIOR UK PLC,SK11 6ET,309651,Cost of clothing and textile services received,7250.49
Ministry of Defence,Ministry of Defence,12/02/2014,JFC,Spend on Inventory - General,FORBO FLOORING UK LIMITED,DE5 3NT,304923,Spend on Inventory - General,7233.30
Ministry of Defence,Ministry of Defence,14/02/2014,Navy Command,IT and communication services,INSIGHT DIRECT (U K) LTD,S9 2BU,306033,Computer equipment costing below the capitalisation threshold,7180.66
Ministry of Defence,Ministry of Defence,07/02/2014,HO+CS,Defence military assistance fund international subscriptions and other payments,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018322,Defence military assistance fund international subscriptions and other payments,7166.91
Ministry of Defence,Ministry of Defence,20/02/2014,Defence Equipment + Support,Spend on Inventory - General,E.P.BARRUS LTD,OX26 4UR,308003,Consumption of general inventory,7161.27
Ministry of Defence,Ministry of Defence,25/02/2014,DEFENCE INFRASTRUCTURE,"Transportation of personnel, freight and travel expenses",AGILITY LOGISTICS LIMITED,RG1 2LG,309512,Movement of service personnel,7149.58
Ministry of Defence,Ministry of Defence,06/02/2014,Defence Equipment + Support,Payment of utilities,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,302756,Utilities consumed - gas,7140.08
Ministry of Defence,Ministry of Defence,10/02/2014,JFC,Purchase of inventory and services ,XMA LTD,NG11 7EP,304209,Cost of other material consumed,7121.95
Ministry of Defence,Ministry of Defence,26/02/2014,Defence Equipment + Support,Spend on Inventory - General,SURVITEC GROUP LIMITED,CH41 1HQ,310455,Spend on Inventory - General,7081.48
Ministry of Defence,Ministry of Defence,27/02/2014,Defence Equipment + Support,Estate management,COMPASS SERVICES (U.K.) LIMITED,B45 9PZ,310648,Cost of food purchases,7077.05
Ministry of Defence,Ministry of Defence,14/02/2014,JFC,IT and communication services,SERCO LIMITED,RG27 9UY,306245,Information technology services,7015.22
Ministry of Defence,Ministry of Defence,14/02/2014,Defence Equipment + Support,Development costs for military equipment,AVIATION REQUIREMENTS LTD,DT9 4JW,305850,Intangible fiscal asset  - in year capital addition,7000.00
Ministry of Defence,Ministry of Defence,26/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,QINETIQ LIMITED,GU14 0LX,310387,Equipment support non-project costs,7000.00
Ministry of Defence,Ministry of Defence,25/02/2014,Defence Equipment + Support,Purchase of inventory and services ,AAH PHARMACEUTICALS LTD,CV2 2TX,309501,Consumption of medical dental and veterinary inventory,6971.90
Ministry of Defence,Ministry of Defence,12/02/2014,Air Command,Purchase of inventory and services ,AAH PHARMACEUTICALS LTD,CV2 2TX,304735,Consumption of medical dental and veterinary inventory,6929.15
Ministry of Defence,Ministry of Defence,28/02/2014,Defence Equipment + Support,Purchase of inventory and services ,XMA LTD,NG11 7EP,311714,Cost of other material consumed,6906.06
Ministry of Defence,Ministry of Defence,20/02/2014,Defence Equipment + Support,Spend on Inventory - General,QINETIQ LIMITED,GU14 0LX,308223,Spend on Inventory - General,6885.60
Ministry of Defence,Ministry of Defence,24/02/2014,Defence Equipment + Support,IT and communication services,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,309171,Information technology services,6880.00
Ministry of Defence,Ministry of Defence,06/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,BRITISH GAS TRADING LIMITED,M16 0TW,302709,Utilities consumed - electricity,6876.61
Ministry of Defence,Ministry of Defence,21/02/2014,Land Forces,Purchase of inventory and services ,XMA LTD,NG11 7EP,308828,Cost of other material consumed,6850.37
Ministry of Defence,Ministry of Defence,28/02/2014,Air Command,"Transportation of personnel, freight and travel expenses",DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,311285,Freight movement costs,6832.76
Ministry of Defence,Ministry of Defence,11/02/2014,Air Command,"Transportation of personnel, freight and travel expenses",DSV AIR & SEA LIMITED,M22 4NY,304371,Freight movement costs,6800.79
Ministry of Defence,Ministry of Defence,06/02/2014,HO+CS,Purchase of inventory and services ,XMA LTD,NG11 7EP,303182,Cost of other material consumed,6784.82
Ministry of Defence,Ministry of Defence,17/02/2014,DEFENCE INFRASTRUCTURE,Food and clothing,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,306464,Cost of clothing and textile services received,6743.26
Ministry of Defence,Ministry of Defence,14/02/2014,Navy Command,Purchase of inventory and services ,XMA LTD,NG11 7EP,306347,Cost of other material consumed,6732.47
Ministry of Defence,Ministry of Defence,12/02/2014,Air Command,IT and communication services,RICOH UK.LIMITED,NN4 7YL,305125,Computer equipment costing below the capitalisation threshold,6731.04
Ministry of Defence,Ministry of Defence,04/02/2014,Defence Equipment + Support,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,301908,Cost of other material consumed,6726.74
Ministry of Defence,Ministry of Defence,05/02/2014,Land Forces,Design services and minor equipment purchases,CAPITA SECURE INFORMATION SOLUTIONS LIMITED,DL1 9HN,302245,Equipment support project costs,6704.52
Ministry of Defence,Ministry of Defence,03/02/2014,Defence Equipment + Support,Spend on Inventory - General,COONEEN DEFENCE LIMITED,BT75 0NE,41069,Spend on Inventory - General,6670.99
Ministry of Defence,Ministry of Defence,17/02/2014,Navy Command,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,306404,Cost of other material consumed,6668.03
Ministry of Defence,Ministry of Defence,14/02/2014,HO+CS,Defence military assistance fund international subscriptions and other payments,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018377,Defence military assistance fund international subscriptions and other payments,6650.68
Ministry of Defence,Ministry of Defence,12/02/2014,DEFENCE INFRASTRUCTURE,Estate management,ASPIRE DEFENCE LIMITED,SP9 7QD,304758,Works - estate management,6648.39
Ministry of Defence,Ministry of Defence,12/02/2014,JFC,Medical treatment & stores and welfare services,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,304955,Medical health services,6620.72
Ministry of Defence,Ministry of Defence,03/02/2014,Defence Equipment + Support,"Transportation of personnel, freight and travel expenses",DSV AIR & SEA LIMITED,M22 4NY,301469,Freight movement costs,6614.22
Ministry of Defence,Ministry of Defence,03/02/2014,Land Forces,Purchase of inventory and services ,AAH PHARMACEUTICALS LTD,CV2 2TX,301312,Consumption of medical dental and veterinary inventory,6608.12
Ministry of Defence,Ministry of Defence,21/02/2014,Air Command,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,308385,Cost of other material consumed,6590.05
Ministry of Defence,Ministry of Defence,18/02/2014,HO+CS,Defence military assistance fund international subscriptions and other payments,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018901,Defence military assistance fund international subscriptions and other payments,6586.92
Ministry of Defence,Ministry of Defence,20/02/2014,Air Command,Purchase of inventory and services ,AAH PHARMACEUTICALS LTD,CV2 2TX,307873,Consumption of medical dental and veterinary inventory,6585.79
Ministry of Defence,Ministry of Defence,18/02/2014,JFC,Medical treatment & stores and welfare services,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,307117,Medical health services,6572.37
Ministry of Defence,Ministry of Defence,18/02/2014,Land Forces,Purchase of inventory and services ,BOC LIMITED,M28 2UT,306972,Consumption of engineering and technical inventory,6507.64
Ministry of Defence,Ministry of Defence,14/02/2014,Defence Equipment + Support,Food and clothing,SODEXO LTD,M50 0AL,306253,Cost of food services,6458.66
Ministry of Defence,Ministry of Defence,24/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,RAYTHEON SYSTEMS LIMITED,CM19 5BB,309328,Post design services which are not capitalised,6457.55
Ministry of Defence,Ministry of Defence,10/02/2014,Defence Equipment + Support,Purchase of inventory and services ,XMA LTD,NG11 7EP,304209,Cost of other material consumed,6430.10
Ministry of Defence,Ministry of Defence,03/02/2014,Air Command,Military short term detached duty,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,301731,Military short term detached duty,6412.20
Ministry of Defence,Ministry of Defence,21/02/2014,Defence Equipment + Support,Spend on Inventory - General,NP AEROSPACE LTD,CV6 5AQ,308655,Spend on Inventory - General,6404.93
Ministry of Defence,Ministry of Defence,12/02/2014,Navy Command,Food and clothing,ELIOR UK PLC,SK11 6ET,304907,Cost of food services,6353.53
Ministry of Defence,Ministry of Defence,17/02/2014,Defence Equipment + Support,IT and communication services,PARITY SOLUTIONS LTD,SW19 3RU,306763,Information technology services,6334.05
Ministry of Defence,Ministry of Defence,21/02/2014,Navy Command,Food and clothing,TURNER VIRR & CO. LTD,LS25 2DY,308801,Cost of purchasing and repairing clothing,6323.23
Ministry of Defence,Ministry of Defence,13/02/2014,Defence Equipment + Support,"Transportation of personnel, freight and travel expenses",AGILITY LOGISTICS LIMITED,RG1 2LG,305258,Movement of service personnel,6318.49
Ministry of Defence,Ministry of Defence,25/02/2014,Land Forces,Purchase of inventory and services ,AAH PHARMACEUTICALS LTD,CV2 2TX,309501,Consumption of medical dental and veterinary inventory,6308.97
Ministry of Defence,Ministry of Defence,27/02/2014,Defence Equipment + Support,Purchase of inventory and services ,XMA LTD,NG11 7EP,311125,Cost of other material consumed,6282.53
Ministry of Defence,Ministry of Defence,26/02/2014,Defence Equipment + Support,Fuel for military use,HARVEST ENERGY LIMITED,W1G 0PU,180726,Cost of ground unleaded fuel consumed,6271.99
Ministry of Defence,Ministry of Defence,27/02/2014,JFC,Purchase of inventory and services ,BOC LIMITED,M28 2UT,310605,Consumption of engineering and technical inventory,6249.68
Ministry of Defence,Ministry of Defence,13/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,E.ON UK PLC,NG1 9AH,305423,Utilities consumed - gas,6161.58
Ministry of Defence,Ministry of Defence,12/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,BAE SYSTEMS SURFACE SHIPS LIMITED,PO1 9NW,304783,Equipment support non-project costs,6119.97
Ministry of Defence,Ministry of Defence,19/02/2014,HO+CS,Defence military assistance fund international subscriptions and other payments,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018913,Defence military assistance fund international subscriptions and other payments,6051.07
Ministry of Defence,Ministry of Defence,12/02/2014,Air Command,"Transportation of personnel, freight and travel expenses",DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,304881,Freight movement costs,5948.28
Ministry of Defence,Ministry of Defence,25/02/2014,Land Forces,Purchase of inventory and services ,BOC LIMITED,M28 2UT,309570,Consumption of engineering and technical inventory,5939.65
Ministry of Defence,Ministry of Defence,03/02/2014,Air Command,Purchase of inventory and services ,AAH PHARMACEUTICALS LTD,CV2 2TX,301312,Consumption of medical dental and veterinary inventory,5926.81
Ministry of Defence,Ministry of Defence,19/02/2014,HO+CS,Cost of claims/compensation and related expenses against MOD,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018913,Cost of claims/compensation and related expenses against MOD,5918.81
Ministry of Defence,Ministry of Defence,20/02/2014,Air Command,Purchase of inventory and services ,XMA LTD,NG11 7EP,308320,Cost of other material consumed,5900.88
Ministry of Defence,Ministry of Defence,19/02/2014,DEFENCE INFRASTRUCTURE,"Transportation of personnel, freight and travel expenses",AGILITY LOGISTICS LIMITED,RG1 2LG,307434,Movement of service personnel,5897.60
Ministry of Defence,Ministry of Defence,18/02/2014,Defence Equipment + Support,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,306966,Cost of other material consumed,5892.85
Ministry of Defence,Ministry of Defence,21/02/2014,Land Forces,Purchase of inventory and services ,AAH PHARMACEUTICALS LTD,CV2 2TX,308328,Consumption of medical dental and veterinary inventory,5878.02
Ministry of Defence,Ministry of Defence,06/02/2014,Navy Command,Fuel for military use,WATSON PETROLEUM LTD,SN15 5DN,303175,Cost of ground diesel fuel consumed,5866.02
Ministry of Defence,Ministry of Defence,25/02/2014,Defence Equipment + Support,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,309559,Cost of other material consumed,5759.45
Ministry of Defence,Ministry of Defence,13/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG27 9XA,305499,Equipment support project costs,5727.02
Ministry of Defence,Ministry of Defence,24/02/2014,JFC,Fees for professional services,SERCO LIMITED,RG27 9UY,309364,Fees for professional services excluding legal fees,5716.24
Ministry of Defence,Ministry of Defence,19/02/2014,Land Forces,Payment of utilities,CERTAS ENERGY UK LIMITED,FK5 4RB,180628,Utilities consumed - heating oil,5708.43
Ministry of Defence,Ministry of Defence,10/02/2014,Air Command,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,303800,Cost of other material consumed,5691.82
Ministry of Defence,Ministry of Defence,26/02/2014,Navy Command,Purchase of inventory and services ,XMA LTD,NG11 7EP,310510,Cost of other material consumed,5669.43
Ministry of Defence,Ministry of Defence,26/02/2014,DEFENCE INFRASTRUCTURE,Fees for professional services,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,310195,Fees for professional services excluding legal fees,5656.88
Ministry of Defence,Ministry of Defence,27/02/2014,Defence Equipment + Support,Spend on Inventory - General,L WHITAKER SERVICES LIMITED,BB1 2QE,310828,Spend on Inventory - General,5655.65
Ministry of Defence,Ministry of Defence,12/02/2014,Defence Equipment + Support,Food and clothing,SODEXO LTD,M50 0AL,305159,Cost of food services,5632.44
Ministry of Defence,Ministry of Defence,13/02/2014,DEFENCE INFRASTRUCTURE,"Transportation of personnel, freight and travel expenses",AGILITY LOGISTICS LIMITED,RG1 2LG,305258,Movement of service personnel,5613.20
Ministry of Defence,Ministry of Defence,11/02/2014,Land Forces,Estate management,SAFESKYS LTD,HP11 1LT,304618,Estate + facilities management services - accommodation inventory + service,5587.42
Ministry of Defence,Ministry of Defence,27/02/2014,Air Command,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,310589,Cost of other material consumed,5531.01
Ministry of Defence,Ministry of Defence,24/02/2014,DEFENCE INFRASTRUCTURE,Estate management,ELIOR UK PLC,SK11 6ET,309055,Estate + facilities management services - accommodation inventory + service,5530.73
Ministry of Defence,Ministry of Defence,10/02/2014,HO+CS,Cost of claims/compensation and related expenses against MOD,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018335,Cost of claims/compensation and related expenses against MOD,5517.01
Ministry of Defence,Ministry of Defence,24/02/2014,DEFENCE INFRASTRUCTURE,"Transportation of personnel, freight and travel expenses",DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,309013,Freight movement costs,5516.70
Ministry of Defence,Ministry of Defence,17/02/2014,Navy Command,Purchase of inventory and services ,XMA LTD,NG11 7EP,306913,Cost of other material consumed,5493.05
Ministry of Defence,Ministry of Defence,27/02/2014,Land Forces,IT and communication services,CANON (UK) LIMITED,RH2 8BF,310623,Computer equipment costing below the capitalisation threshold,5477.13
Ministry of Defence,Ministry of Defence,06/02/2014,Defence Equipment + Support,IT and communication services,TRUSTMARQUE SOLUTIONS LIMITED,YO32 9GZ,303157,Computer equipment costing below the capitalisation threshold,5459.60
Ministry of Defence,Ministry of Defence,21/02/2014,Air Command,Spend on Inventory - General,TURNER VIRR & CO. LTD,LS25 2DY,308801,Spend on Inventory - General,5433.98
Ministry of Defence,Ministry of Defence,04/02/2014,HO+CS,Schools + community relations initiatives,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018288,Schools + community relations initiatives,5395.26
Ministry of Defence,Ministry of Defence,20/02/2014,DEFENCE INFRASTRUCTURE,Purchase of inventory and services ,XMA LTD,NG11 7EP,308320,Cost of other material consumed,5394.60
Ministry of Defence,Ministry of Defence,25/02/2014,Defence Equipment + Support,Purchase of inventory and services ,XMA LTD,NG11 7EP,309943,Cost of other material consumed,5362.69
Ministry of Defence,Ministry of Defence,14/02/2014,Air Command,Purchase of inventory and services ,AAH PHARMACEUTICALS LTD,CV2 2TX,305809,Consumption of medical dental and veterinary inventory,5346.76
Ministry of Defence,Ministry of Defence,19/02/2014,Air Command,Food and clothing,ARAMARK LTD,LS16 6QY,307442,Cost of clothing and textile services received,5343.19
Ministry of Defence,Ministry of Defence,13/02/2014,HO+CS,Cost of claims/compensation and related expenses against MOD,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018365,Cost of claims/compensation and related expenses against MOD,5335.76
Ministry of Defence,Ministry of Defence,25/02/2014,Air Command,Purchase of inventory and services ,BOC LIMITED,M28 2UT,309570,Consumption of engineering and technical inventory,5291.88
Ministry of Defence,Ministry of Defence,12/02/2014,JFC,Purchase of inventory and services ,XMA LTD,NG11 7EP,305238,Cost of other material consumed,5275.09
Ministry of Defence,Ministry of Defence,21/02/2014,JFC,Purchase of inventory and services ,CANON (UK) LIMITED,RH2 8BF,308412,Cost of other material consumed,5266.10
Ministry of Defence,Ministry of Defence,24/02/2014,Defence Equipment + Support,Spend on Inventory - General,NP AEROSPACE LTD,CV6 5AQ,309272,Spend on Inventory - General,5261.51
Ministry of Defence,Ministry of Defence,07/02/2014,Air Command,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,303263,Cost of other material consumed,5251.65
Ministry of Defence,Ministry of Defence,28/02/2014,DEFENCE INFRASTRUCTURE,Fuel for military use,HARVEST ENERGY LIMITED,W1G 0PU,180781,Cost of ground diesel fuel consumed,5242.68
Ministry of Defence,Ministry of Defence,06/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,303160,Fiscal asset under construction - capital in year addition,5235.85
Ministry of Defence,Ministry of Defence,10/02/2014,Navy Command,Fuel for military use,WATSON PETROLEUM LTD,SN15 5DN,304200,Cost of ground diesel fuel consumed,5219.52
Ministry of Defence,Ministry of Defence,07/02/2014,Defence Equipment + Support,Purchase of inventory and services ,AAH PHARMACEUTICALS LTD,CV2 2TX,303191,Consumption of medical dental and veterinary inventory,5217.70
Ministry of Defence,Ministry of Defence,19/02/2014,Defence Equipment + Support,Payment of utilities,CERTAS ENERGY UK LIMITED,FK5 4RB,180627,Utilities consumed - heating oil,5204.75
Ministry of Defence,Ministry of Defence,12/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,ASPIRE DEFENCE LIMITED,SP9 7QD,304758,Equipment support non-project costs,5171.58
Ministry of Defence,Ministry of Defence,28/02/2014,Air Command,Purchase of inventory and services ,AAH PHARMACEUTICALS LTD,CV2 2TX,311135,Consumption of medical dental and veterinary inventory,5118.14
Ministry of Defence,Ministry of Defence,27/02/2014,Defence Equipment + Support,Spend on Inventory - General,SEYNTEX NV,CH61 1BE,311026,Spend on Inventory - General,5069.10
Ministry of Defence,Ministry of Defence,06/02/2014,Land Forces,Estate management,ELIOR UK PLC,SK11 6ET,302822,Estate + facilities management services - accommodation inventory + service,5064.25
Ministry of Defence,Ministry of Defence,14/02/2014,HO+CS,Purchase of inventory and services ,XMA LTD,NG11 7EP,306347,Cost of other material consumed,5038.98
Ministry of Defence,Ministry of Defence,21/02/2014,Defence Equipment + Support,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,308385,Cost of other material consumed,5034.65
Ministry of Defence,Ministry of Defence,27/02/2014,DEFENCE INFRASTRUCTURE,Food and clothing,COMPASS SERVICES (U.K.) LIMITED,B45 9PZ,310648,Cost of clothing and textile services received,5024.05
Ministry of Defence,Ministry of Defence,12/02/2014,Defence Equipment + Support,"Transportation of personnel, freight and travel expenses",DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,304881,Freight movement costs,4991.63
Ministry of Defence,Ministry of Defence,12/02/2014,Air Command,Design services and minor equipment purchases,XMA LTD,NG11 7EP,305238,Equipment support project costs,4982.88
Ministry of Defence,Ministry of Defence,19/02/2014,Land Forces,Estate management,ARAMARK LTD,LS16 6QY,307442,Estate + facilities management services - accommodation inventory + service,4971.87
Ministry of Defence,Ministry of Defence,14/02/2014,Land Forces,Estate management,SODEXO LTD,M50 0AL,306253,Estate + facilities management services - accommodation inventory + service,4954.87
Ministry of Defence,Ministry of Defence,13/02/2014,DEFENCE INFRASTRUCTURE,Preparation of land & buildings for disposal,CARILLIONENTERPRISE LIMITED,B75 7RL,305360,Works in aid of disposal,4950.69
Ministry of Defence,Ministry of Defence,18/02/2014,Defence Equipment + Support,"Transportation of personnel, freight and travel expenses",METCALFE FARMS (HAULAGE) LIMITED,DL8 5JZ,307176,Freight movement costs,4940.00
Ministry of Defence,Ministry of Defence,27/02/2014,DEFENCE INFRASTRUCTURE,Food and clothing,ARAMARK LTD,LS16 6QY,310553,Cost of clothing and textile services received,4925.37
Ministry of Defence,Ministry of Defence,26/02/2014,Navy Command,IT and communication services,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG27 9XA,310167,Information technology services,4902.13
Ministry of Defence,Ministry of Defence,19/02/2014,Air Command,Design services and minor equipment purchases,XMA LTD,NG11 7EP,307866,Equipment support project costs,4896.72
Ministry of Defence,Ministry of Defence,26/02/2014,Defence Equipment + Support,Spend on Inventory - General,AERONAUTICAL & GENERAL INSTRUMENTS LIMITED,BH15 3SS,309964,Spend on Inventory - General,4886.40
