Department family,Entity,Date,Expense type,Expense area,Description,Supplier,Transaction No,Amount
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.02 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Academies National Funding Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,61.32 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Academies National Funding Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.11 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,250.78 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.03 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,241.86 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,19.22 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,29.01 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.01 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,58.73 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.02 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,20.62 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,67.53 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.02 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,212.61 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.05 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,8.70 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.03 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.12 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,15.24 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,0.33 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,1.39 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.27 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,56.62 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,0.32 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,29.27 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.17 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,92.02 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,0.40 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,31.23 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.05 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Academies National Funding Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,57.34 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.21 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,146.88 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.15 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,74.65 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.25 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,73.83 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.09 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,75.89 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.16 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,29.27 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.07 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Academies National Funding Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,165.85 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Academies National Funding Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.11 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,159.58 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Academies National Funding Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.07 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Academies National Funding Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,80.12 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Academies National Funding Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.01 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,26.42 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.04 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,57.37 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.20 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Academies National Funding Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,29.67 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Academies National Funding Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.16 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,29.11 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.03 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,30.41 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Maintained Schools,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,71.12 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Academies National Funding Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,171.97 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.07 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,211.06 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,0.39 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,241.39 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,0.27 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,15.25 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.15 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Academies National Funding Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,84.17 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Academies National Funding Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.16 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,20.04 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.02 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.17 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.02 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.03 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.05 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.09 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,77.84 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.10 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,127.97 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,0.26 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,62.34 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.18 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,18.22 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.14 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,19.52 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.07 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,103.90 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,44.83 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Academies National Funding Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,20.04 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Academies National Funding Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.08 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,190.81 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.15 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Chief Executive Office,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,118.73 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Chief Executive Office,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.19 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Maintained Schools,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,199.75 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Maintained Schools,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.08 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,88.47 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.15 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,67.82 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Maintained Schools,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.09 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.11 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Academies National Funding Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,190.69 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.14 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.07 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,85.41 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,0.33 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,27.73 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.32 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,20.09 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.15 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,117.09 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.15 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Chief Executive Office,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,89.18 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Academies National Funding Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.08 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,0.31 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Academies National Funding Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,53.02 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Academies National Funding Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.32 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,158.08 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Young People's Funding,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.01 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,199.31 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,0.26 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,26.26 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.03 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,171.76 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.03 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,70.60 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.11 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,143.56 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,191.16 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,0.24 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,121.57 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,0.31 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,144.08 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,0.41 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,129.28 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,0.25 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,120.30 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,Subsistence and lodging allowances for official duty,Redfern Travel Limited,PAYBACSAUTO225003,0.29 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,28.95 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.16 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Capital Division,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,64.12 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.03 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Chief Executive Office,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,89.66 
Department for Education,EDUCATION FUNDING AGENCY,19/03/2015,Travel,Finance Processing Team,"Staff business travel including air, coach, ferry, rail, taxi and car hire",Redfern Travel Limited,PAYBACSAUTO225003,0.03 
