Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,Description,Supplier Postcode ,Project Code,Expenditure Type
Ministry of Justice,MoJ HQ,28-Dec-12,222003-CIS Labour TFM Estates,QY200-OU10 Billback,MITIE JUSTICE LTD,1090479,"50,891.88",TFM SOFT SERVICES VARIABLE COSTS APRIL 2012 TO MARCH 2013 MOJ HQ MITIE INTERNAL MOVES,CIS-BS16 7FH,0,Admin
Ministry of Justice,MoJ HQ,06-Dec-12,222003-CIS Labour TFM Estates,QY200-OU10 Billback,MITIE JUSTICE LTD,1088767,"53,172.60",TFM SOFT SERVICES VARIABLE COSTS APRIL 2012 TO MARCH 2013 MOJ HQ MITIE INTERNAL MOVES,CIS-BS16 7FH,0,Admin
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,NX900-MOJ Shared Services,SAVVIS UK LTD,1090218,"53,317.64","""Additional monthly recurring Charges (for an initial term of 18 months from Acceptance of the TA Dev Fix Environment by the Authority):"" to replace purchase order 10000028686",RG41 5TS,0,Admin
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,NX900-MOJ Shared Services,STERIA LTD,1090043,"67,315.00",CR-0139 - This is a continuation of the e-studio's provision built in BAFO and CR-012. These provisions have now expired so extension required due to service delivery gaps outside steria's direct responsibility.,M14 0WN,0,Admin
Ministry of Justice,MoJ HQ,13-Dec-12,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1089355,"77,724.80",FSMO 250 - half on acceptance of IA and half upon delivery of hardware and software,NP10 9XA,0,Admin
Ministry of Justice,MoJ HQ,17-Dec-12,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1089556,"78,413.19",ARAMIS Charges for 2012-13 ; to be reconciled and agreed Monthly,NP10 9XA,0,Admin
Ministry of Justice,MoJ HQ,17-Dec-12,222003-CIS Labour TFM Estates,QY200-OU10 Billback,MITIE JUSTICE LTD,1089565,"136,722.33",TFM Soft Services Fixed Costs April 2012 to March 2013 MOJ HQ MITIE SECURITY,CIS-BS16 7FH,0,Admin
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,NX900-MOJ Shared Services,SAVVIS UK LTD,1090218,"172,672.00",Bring forward billing of OT01 service to add support arising from change to Plan. Billing commences from January 2012 at the rate of £19896.91. Total 124 working days,RG41 5TS,0,Admin
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,NX900-MOJ Shared Services,STERIA LTD,1090043,"201,945.00",CR-0139 - This is a continuation of the e-studio's provision built in BAFO and CR-012. These provisions have now expired so extension required due to service delivery gaps outside steria's direct responsibility.,M14 0WN,0,Admin
Ministry of Justice,MoJ HQ,10-Dec-12,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1089043,"299,830.62",Monthly Payroll Service charges for financial year 2012/13 (This replaces PO10000023349),NP10 9XA,0,Admin
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1089665,"411,818.57",CCN 2277 - NOP WITO Charges,WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1089665,"411,818.57",CCN 2277 - NOP WITO Charges,WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1089665,"471,820.54",CCN 2277 - NOP WITO Charges,WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1089665,"474,281.15",CCN 2277 - NOP WITO Charges,WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1089665,"475,228.34",CCN 2277 - NOP WITO Charges,WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,06-Dec-12,262000-SCA Costs,QZ600-CPG Other,LIBERATA UK LTD,1088740,"677,040.00",'FSMO 216c-Managed Accounting Service - FSMO 216C- Fixed Monthly Fee - Nov-12,NP10 8BA,0,Admin
Ministry of Justice,MoJ HQ,17-Dec-12,265000-IT & Telecommunications,NX900-MOJ Shared Services,STERIA LTD,1089601,"1,186,958.67","CR-0101	Steria CR-0227 October Interim CR - Interim payment provision for October 2012 in advance of CR-0101						 						",M14 0WN,0,Admin
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,NX900-MOJ Shared Services,STERIA LTD,1090043,"1,198,175.27","CR-0237-Steria CR-0237 November Interim CR - Interim payment provision for November 2012 in advance of CR-0101				",M14 0WN,0,Admin
Ministry of Justice,MoJ HQ,17-Dec-12,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1089556,"1,254,705.92",ARAMIS Charges for 2012-13 ; to be reconciled and agreed Monthly,NP10 9XA,0,Admin
Ministry of Justice,MoJ HQ,27-Dec-12,265000-IT & Telecommunications,NX900-MOJ Shared Services,STERIA LTD,1090373,"2,967,375.00","CR-0242-CR-0242 is for the period of 1 February to 31 July 2012 for work already undertaken with respect to additional development work and related programme activities performed by the Contractor (the ¿WAU Period¿). 						 							",M14 0WN,0,Admin
Ministry of Justice,HMCTS,04-Dec-12,222001-Maintenance,AG999-HQ - Estates,WHEELERS,2267147,"30,433.05",MA,SO15 2AB,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,532000-Tangible GBV - Additions,AP999-HQ - Strategy & Change,OVERBURY PLC,2287929,"40,991.22",CIS Labour - Fleetbank House - Overbury PLC - Construction works at Fleetbank House prior to relocation of Audit House staff (EAT),CIS-W1T 3EW,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,265000-IT & Telecommunications,AP999-HQ - Strategy & Change,ATOS IT SERVICES UK LTD,2286597,"42,422.00",Service Transition of RPTS from current IT platform to MOJ IT platform A-R-03129-02,WV10 6UH,0,Programme
Ministry of Justice,HMCTS,07-Dec-12,265000-IT & Telecommunications,AT899-HQ - ICT,LOGICA UK LTD,2272357,"31,028.00",L-R-3544-02 Libra March 2013 Release M1 Development Complete,CF31 9AP,0,Admin
Ministry of Justice,HMCTS,07-Dec-12,265000-IT & Telecommunications,AT899-HQ - ICT,LOGICA UK LTD,2272357,"68,054.00","L-R-3445-03 Libra March 2013 Release M1 Development Complete	",CF31 9AP,0,Admin
Ministry of Justice,HMCTS,14-Dec-12,265000-IT & Telecommunications,AT899-HQ - ICT,ATOS IT SERVICES UK LTD,2280319,"71,571.00",A-R-3319-03-v04 On-boarding the Residential Property Tribunal Service (RPTS) to DISC Transition implementation work,WV10 6UH,0,Admin
Ministry of Justice,HMCTS,05-Dec-12,265000-IT & Telecommunications,AT899-HQ - ICT,CALLCREDIT LTD,2269201,"89,850.81",This PO is for CallCredit to provide support to users who are having troubles with completing and sending ETS forms,LS3 1EP,0,Admin
Ministry of Justice,HMCTS,14-Dec-12,265000-IT & Telecommunications,AT899-HQ - ICT,ATOS IT SERVICES UK LTD,2280319,"92,222.00",A-R-3319-03-v04 On-boarding the Residential Property Tribunal Service (RPTS) to DISC Transition implementation work,WV10 6UH,0,Admin
Ministry of Justice,HMCTS,18-Dec-12,265000-IT & Telecommunications,AT899-HQ - ICT,ATOS IT SERVICES UK LTD,2282951,"98,959.00",A-S-03616-01-v01 Work order WR076 RPTS Hardware and Software order,WV10 6UH,E018,Admin
Ministry of Justice,HMCTS,18-Dec-12,265000-IT & Telecommunications,AT899-HQ - ICT,ATOS IT SERVICES UK LTD,2282951,"99,729.00",A-S-03616-02-v01-Work order WR077 RPTS Hardware and Software order,WV10 6UH,E018,Admin
Ministry of Justice,HMCTS,18-Dec-12,265000-IT & Telecommunications,AT899-HQ - ICT,LOGICA UK LTD,2283507,"136,487.00",L-R-3319-02 On boarding RPTS to DISC,CF31 9AP,E018,Admin
Ministry of Justice,HMCTS,28-Dec-12,261000-Fuel and Utilities,BZ999-London Region,THAMES WATER UTILITIES LTD,2296611,"27,018.53",HMCS Consolidated - Water Costs - Thames Water 2011/12,SN38 3TW-CONS,0,Programme
Ministry of Justice,HMCTS,28-Dec-12,222003-CIS Labour TFM Estates,BZ999-London Region,MITIE JUSTICE LTD,2296363,"33,644.46","Uxbridge County - MITIE JUSTICE - Replace worn carpets in the office and waiting area. Make all appropriate asbestos checks before removal of old carpet/vinyl - 0073-S-WORKS/FM-SW-RFI		",CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,21-Dec-12,222001-Maintenance,BZ999-London Region,MITIE JUSTICE LTD,2291608,"34,527.81",CIS Labour - Field House - Mitie Justice - 1st floor alterations to create judges accommodation - PAR L17,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,BZ999-London Region,MITIE JUSTICE LTD,2283593,"36,501.96",CIS labour - Wimbledon MC - MITIE JUSTICE -  Installation of new air conditioning air source heat pump system,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,261000-Fuel and Utilities,BZ999-London Region,EDF ENERGY LTD,2286709,"40,570.39",EDF Energy Ltd - Electricity Costs for RCJ. Strand. Period April 2012 to March 2013. (Account No. 13592343). Business Entity IH701. NAC 222142.,PL3 5XQ,0,Programme
Ministry of Justice,HMCTS,11-Dec-12,265000-IT & Telecommunications,BZ999-London Region,BT TELECOMMUNICATIONS PLC,2274563,"40,670.22",London Region Consolidated - BT One Bill - 2011/12,DH98 1BT,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,532000-Tangible GBV - Additions,BZ999-London Region,WATES CONSTRUCTION LTD,2288055,"51,738.80",Enfield MC - Wates Construction Ltd - Conversion of office space at Tottenham MC,CIS-KT22 7SW,0,Programme
Ministry of Justice,HMCTS,11-Dec-12,532000-Tangible GBV - Additions,BZ999-London Region,MITIE JUSTICE LTD,2275039,"65,497.99",CIS Labour - Replacement of existing R22 Cooling equipment - MITIE JUSTICE LTD -  Barnet Cty,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,05-Dec-12,532000-Tangible GBV - Additions,BZ999-London Region,MITIE JUSTICE LTD,2269407,"87,239.61","CIS Labour - Uxbridge MC - MITIE Justice - Replacement & upgrade of boilers, associated controls & equipment - PAR 2102",CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,222003-CIS Labour TFM Estates,BZ999-London Region,MITIE JUSTICE LTD,2286852,"135,021.30",Security,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,21-Dec-12,261000-Fuel and Utilities,BZ999-London Region,CORONA ENERGY,2291082,"154,431.55",HMCS London Region - Corona - Consolidated Gas Account 2011-12,NW4 3RJ-RET 4,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,222003-CIS Labour TFM Estates,BZ999-London Region,MITIE JUSTICE LTD,2286852,"168,141.74",Internal Repair and Maintenance,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,BZ999-London Region,MITIE JUSTICE LTD,2283593,"276,854.32",Repair and Maintenance,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,BZ999-London Region,MITIE JUSTICE LTD,2283593,"29,104.75",Management,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,532000-Tangible GBV - Additions,BZ999-London Region,WATES CONSTRUCTION LTD,2288055,"618,710.10",Highbury MC - Wates Construction Ltd - Creation of additional court rooms at Highbury MC,CIS-KT22 7SW,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,BZ999-London Region,MITIE JUSTICE LTD,2283593,"275,004.46",Cleaning,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,BZ999-London Region,MITIE JUSTICE LTD,2283593,"39,330.91",Waste Disposal,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,BZ999-London Region,MITIE JUSTICE LTD,2283593,"559,683.12",Security,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,11-Dec-12,222001-Maintenance,CZ999-South East Region,VINSTRATA BUILDERS (LONDON) LTD,2275476,"28,446.70",CIS Labour - Upgrade Ventilation and replace BMS to include all new cables/pipework and associated work-(1446-1-Works) - VINSTRATA BUILDERS (LONDON) LTD - Hastings Magistrates,CIS-BR2 6BN,0,Programme
Ministry of Justice,HMCTS,14-Dec-12,222001-Maintenance,CZ999-South East Region,ITS FIRE & SECURITY LTD,2280685,"34,483.10","Aylesbury MC - ITS Fire & Security Ltd -  LV Switch gear replacement - Main Switch Room 47, Cleaner's Room Magistrates Corridor (Room 54) and Balcony Room to Roof (Room 22) in relation to the asbestos remediation works",GU15 3HQ,0,Programme
Ministry of Justice,HMCTS,28-Dec-12,222003-CIS Labour TFM Estates,CZ999-South East Region,MITIE JUSTICE LTD,2296363,"35,059.20",CIS Labour - Epsom Law Courts - Mitie Justice - To carry out gutter repairs and internal remedials following water ingress as per quote dated 26/9/12 project ref TFM0159 Job ID 30687,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,04-Dec-12,261000-Fuel and Utilities,CZ999-South East Region,BRITISH GAS BUSINESS,2266171,"33,281.88",SE Region Consolidated Invoice - British Gas - Electricity supply - 11/12,OX4 2JY,0,Programme
Ministry of Justice,HMCTS,04-Dec-12,223001-Printing Postage and Office expenditure,CZ999-South East Region,ROYAL MAIL GROUP PLC,2266981,"37,122.52",SE Regional Mail variable charges - Royal Mail - Account number 166289000,PE4 5BR,0,Programme
Ministry of Justice,HMCTS,28-Dec-12,261000-Fuel and Utilities,CZ999-South East Region,BRITISH GAS BUSINESS,2295982,"44,201.45",SE Region Consolidated Invoice - British Gas - Electricity supply - 11/12,OX4 2JY,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,222003-CIS Labour TFM Estates,CZ999-South East Region,MITIE JUSTICE LTD,2286852,"77,799.00",Security,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,11-Dec-12,261000-Fuel and Utilities,CZ999-South East Region,CORONA ENERGY,2274634,"78,939.60",South East Region - Corona - Consolidated 11/12,NW4 3RJ-RET 4,0,Programme
Ministry of Justice,HMCTS,11-Dec-12,222001-Maintenance,CZ999-South East Region,EC HARRIS LLP,2274701,"88,087.22",South East Estates - EC Harris LLP - Project management fees for the remediation works in connection with the asbestos risk management works at various South East sites,M60 3NT,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,261000-Fuel and Utilities,CZ999-South East Region,CORONA ENERGY,2286675,"114,505.05",South East Region - Corona - Consolidated 11/12,NW4 3RJ-RET 4,0,Programme
Ministry of Justice,HMCTS,14-Dec-12,532000-Tangible GBV - Additions,CZ999-South East Region,VINCI CONSTRUCTION UK LTD,2281128,"151,630.63","CIS Labour - Maidstone CCC - Vinci Construction UK Ltd - replacement of distribution boards, boilers, radiators and associated pipe work",CIS-WD24 4WW,0,Programme
Ministry of Justice,HMCTS,14-Dec-12,265000-IT & Telecommunications,CZ999-South East Region,CABLE & WIRELESS WORLDWIDE,2280412,"151,664.74",Chelmsford Mags - Cable & Wireless - SUPPLY AND INSTALLATION OF COMPLETE VIDEO LINK SOLUTION  (NEW BUILD) INCLUDING RELOCATION OF EQUIPMENT AND CIRCUIT FROM WITHAM AND HARWICH MAGISTRATES COURT,MK3 5JP,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,265000-IT & Telecommunications,CZ999-South East Region,CABLE & WIRELESS WORLDWIDE,2283051,"152,967.67",Colchester Mags - Cable & Wireless - SUPPLY AND INSTALLATION OF COMPLETE VIDEO LINK SOLUTION  (NEW BUILD) INCLUDING RELOCATION OF EQUIPMENT AND CIRCUIT FROM WITHAM AND HARWICH MAGISTRATES COURT,MK3 5JP,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,222003-CIS Labour TFM Estates,CZ999-South East Region,MITIE JUSTICE LTD,2286852,"144,055.82",Internal Repair and Maintenance,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,21-Dec-12,222003-CIS Labour TFM Estates,CZ999-South East Region,MITIE JUSTICE LTD,2291608,"156,474.79","Repair and Maintenance 	",CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,12-Dec-12,532000-Tangible GBV - Additions,CZ999-South East Region,VINCI CONSTRUCTION UK LTD,2278594,"334,756.42","CIS Labour - Maidstone CCC - Vinci Construction UK Ltd - replacement of distribution boards, boilers, radiators and associated pipe work",CIS-WD24 4WW,0,Programme
Ministry of Justice,HMCTS,07-Dec-12,262000-SCA Costs,CZ999-South East Region,MODERN COURTS (EAST ANGLIA) LTD,2272404,"370,383.05",Ipswich & Cambridge-Modern Courts (East Anglia Ltd BR8 7AG)-Unitary Charges for East Anglia PFI - Monthly,BR8 7AG,0,Programme
Ministry of Justice,HMCTS,07-Dec-12,262000-SCA Costs,CZ999-South East Region,MODERN COURTS (EAST ANGLIA) LTD,2272404,"60,227.00",Ipswich & Cambridge-Modern Courts (East Anglia Ltd BR8 7AG)-Unitary Charges for East Anglia PFI - Monthly,BR8 7AG,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,222003-CIS Labour TFM Estates,CZ999-South East Region,MITIE JUSTICE LTD,2286852,"156,166.45",Cleaning,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,222003-CIS Labour TFM Estates,CZ999-South East Region,MITIE JUSTICE LTD,2286852,"71,683.68",Waste Disposal,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,222003-CIS Labour TFM Estates,CZ999-South East Region,MITIE JUSTICE LTD,2286852,"389,498.31",Security,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,07-Dec-12,265000-IT & Telecommunications,DZ999-South West Region,ATOS IT SERVICES UK LTD,2271986,"25,172.00",CCN03414-01 SW DISC0603 cessation of services and decommissioning of equipment at Spectrum House,WV10 6UH,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,261000-Fuel and Utilities,DZ999-South West Region,BRITISH GAS BUSINESS,2286628,"27,378.32",South West Regionas Office (DA170) - British Gas - Account no.: 3053490 - Electricity Consumption costs (various sites) 12/13,OX4 2JY,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,DZ999-South West Region,MITIE JUSTICE LTD,2283593,"25,646.00","CIS Labour - TFM Works Package B, South West Region - Hard Services (Variable) - M&E Repair & Maintenance",CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,14-Dec-12,261000-Fuel and Utilities,DZ999-South West Region,CORONA ENERGY,2280468,"47,262.07",SW Finance Office (DA170) - Corona Energy - GAS 222143 - Acct no.:20301400 - Monthly Consolidated Bill for various sites in the SW Region.,NW4 3RJ-RET 2,0,Programme
Ministry of Justice,HMCTS,11-Dec-12,261000-Fuel and Utilities,DZ999-South West Region,CORONA ENERGY,2274633,"50,136.01",SW Finance Office (DA170) - Corona Energy - GAS 222143 - Acct no.:20301400 - Monthly Consolidated Bill for various sites in the SW Region.,NW4 3RJ-RET 2,0,Programme
Ministry of Justice,HMCTS,28-Dec-12,532000-Tangible GBV - Additions,DZ999-South West Region,LORNE STEWART PLC,2296313,"60,511.19",CIS labour: fire alarm installation at Bristol Crown Court.,CIS-BS4 2RA,0,Programme
Ministry of Justice,HMCTS,04-Dec-12,532000-Tangible GBV - Additions,DZ999-South West Region,LORNE STEWART PLC,2266596,"70,404.96",CIS labour: fire alarm installation at Bristol Crown Court.,CIS-BS4 2RA,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,DZ999-South West Region,MITIE JUSTICE LTD,2283593,"100,078.95","CIS Labour - TFM Works Package B, South West Region - Hard Services (Fixed) - M&E Repair & Maintenance",CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,11-Dec-12,262000-SCA Costs,DZ999-South West Region,ENTERPRISE CIVIC BUILDINGS LIMITED,2274718,"265,275.80",Exeter - Enterprise Civic Buildings Ltd (GU9 7PT) - Unitary Charges for Exeter PFI-Monthly,W1S 1TD,0,Programme
Ministry of Justice,HMCTS,14-Dec-12,532000-Tangible GBV - Additions,DZ999-South West Region,INTERSERVE CONSTRUCTION LTD,2280681,"297,733.33",CIS Labour - Southampton MC - Interserve Construction Ltd - Window Replacement and Remedials,CIS-B23 7RZ,0,Programme
Ministry of Justice,HMCTS,28-Dec-12,222003-CIS Labour TFM Estates,DZ999-South West Region,MITIE JUSTICE LTD,2296363,"219,686.99","CIS Labour - TFM Works Package B, South West Region - Soft Services (Fixed) - Security",CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,28-Dec-12,222003-CIS Labour TFM Estates,DZ999-South West Region,MITIE JUSTICE LTD,2296363,"109,569.05","CIS Labour - TFM Works Package B, South West Region - Soft Services (Fixed) - Cleaning",CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,262000-SCA Costs,DZ999-South West Region,SERVICES SUPPORT (AVON & SOMERSET) LTD,2287992,"675,519.04",Worle Area Office Bristol - Services Support(Avon & Somerset Ltd) - Unitary Charges for Worle & Bristol PFI - Monthly,SW1E 5LB,0,Programme
Ministry of Justice,HMCTS,21-Dec-12,261000-Fuel and Utilities,EZ999-Wales Region,BRITISH GAS BUSINESS,2290965,"28,827.86",BGB electricity for  HMCTS Wales 2012/13.,OX4 2JY,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,261000-Fuel and Utilities,EZ999-Wales Region,CORONA ENERGY,2283113,"31,952.33",HMCS Wales Region:Consolidated Gas:Account Code: 55026239:Wef February 2011:CORONA:,NW4 3RJ-RET 4,0,Programme
Ministry of Justice,HMCTS,05-Dec-12,223001-Printing Postage and Office expenditure,EZ999-Wales Region,ROYAL MAIL GROUP PLC,2270502,"34,914.42",HMCS Wales Region: Various Sites: Cust Acc. No. 0151075000:Variable Costs: April 2011 - March 2012: Royal Mail,PE4 5BR,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,EZ999-Wales Region,G4S INTEGRATED SERVICES (UK) LTD,2283263,"49,838.56",M&E REPAIR AND MAINTENANCE WALES,CIS-S81 7QF,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,EZ999-Wales Region,G4S INTEGRATED SERVICES (UK) LTD,2283263,"55,728.73",MANAGEMENT COSTS WALES,CIS-S81 7QF,0,Programme
Ministry of Justice,HMCTS,21-Dec-12,532000-Tangible GBV - Additions,EZ999-Wales Region,KIER CONSTRUCTION,2291450,"114,743.00","CIS Labour - Swansea Mags- KIER CONSTRUCTION - Building works, preliminaries, OH&P and contingency",CIS-ME20 6XS,0,Programme
Ministry of Justice,HMCTS,21-Dec-12,532000-Tangible GBV - Additions,EZ999-Wales Region,KIER CONSTRUCTION,2291450,"72,992.00","CIS Labour - Swansea Crn St H - KIER CONSTRUCTION - Building works, preliminaries, OH&P and contingency",CIS-ME20 6XS,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,EZ999-Wales Region,G4S INTEGRATED SERVICES (UK) LTD,2283263,"48,541.25",CLEANING - WALES,CIS-S81 7QF,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,EZ999-Wales Region,G4S INTEGRATED SERVICES (UK) LTD,2283263,"124,811.33",SECURITY - WALES,CIS-S81 7QF,0,Programme
Ministry of Justice,HMCTS,21-Dec-12,532000-Tangible GBV - Additions,EZ999-Wales Region,KIER CONSTRUCTION,2291450,"147,043.00","CIS Labour - Swansea Mags- KIER CONSTRUCTION - Building works, preliminaries, OH&P and contingency",CIS-ME20 6XS,0,Programme
Ministry of Justice,HMCTS,21-Dec-12,532000-Tangible GBV - Additions,EZ999-Wales Region,KIER CONSTRUCTION,2291450,"350,147.00","CIS Labour - Swansea Crn St H - KIER CONSTRUCTION - Building works, preliminaries, OH&P and contingency",CIS-ME20 6XS,0,Programme
Ministry of Justice,HMCTS,05-Dec-12,226000-Court Costs,FZ999-Midlands Region,EUREST SERVICES,2269269,"27,761.71",Midlands Region Catering Jurors Subsidy 11/12 - Eurest Services,B45 9PZ,0,Programme
Ministry of Justice,HMCTS,21-Dec-12,261000-Fuel and Utilities,FZ999-Midlands Region,BRITISH GAS BUSINESS,2290965,"32,492.40",BGB electricity for  HMCTS Midlands 2012/13.,OX4 2JY,0,Programme
Ministry of Justice,HMCTS,04-Dec-12,223001-Printing Postage and Office expenditure,FZ999-Midlands Region,ROYAL MAIL GROUP PLC,2266981,"59,517.06",Royal Mail variable charges for Midlands Region 2011/12 - (Journal from FA107),PE4 5BR,0,Programme
Ministry of Justice,HMCTS,11-Dec-12,261000-Fuel and Utilities,FZ999-Midlands Region,CORONA ENERGY,2274634,"70,246.05",Corona Energy gas HMCTS Midlands 2012/13.,NW4 3RJ-RET 4,0,Programme
Ministry of Justice,HMCTS,14-Dec-12,261000-Fuel and Utilities,FZ999-Midlands Region,CORONA ENERGY,2280469,"77,156.88",Corona Energy gas HMCTS Midlands 2012/13.,NW4 3RJ-RET 4,0,Programme
Ministry of Justice,HMCTS,05-Dec-12,532000-Tangible GBV - Additions,FZ999-Midlands Region,DH FATHERS LTD,2269248,"245,723.82",CIS Labour - Birmingham Mags - DH Fathers - Lighting Installation/ Dist Board Installation/ AHU works,CIS-NG16 3SU,0,Programme
Ministry of Justice,HMCTS,21-Dec-12,532000-Tangible GBV - Additions,FZ999-Midlands Region,DH FATHERS LTD,2291142,"250,973.69",CIS Labour - Birmingham Mags - DH Fathers - Lighting Installation/ Dist Board Installation/ AHU works,CIS-NG16 3SU,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,FZ999-Midlands Region,G4S INTEGRATED SERVICES (UK) LTD,2283264,"119,781.47",M&E Repair and Maintenance,CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,FZ999-Midlands Region,G4S INTEGRATED SERVICES (UK) LTD,2283264,"102,232.74",Management Costs etc,CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,FZ999-Midlands Region,G4S INTEGRATED SERVICES (UK) LTD,2283264,"25,736.88",Internal Repair and Maintenance,CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,07-Dec-12,223001-Printing Postage and Office expenditure,FZ999-Midlands Region,ROYAL MAIL GROUP PLC,2272665,"326,415.00",HMCTS: Multiple Sites - Annual Fixed Consolidated One-Bill:1st December 2012 - 30 November 2013 - Royal Mail,PE4 5BR,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,532000-Tangible GBV - Additions,FZ999-Midlands Region,HENRY BOOT CONSTRUCTION LTD,2283346,"399,975.65",CIS Labour-Newcastle Magistrates'-Henry Boot Contruction Ltd-Instruction of complete integration scheme - Building and M&E Refurbishment Works for agreed maximum price,CIS-M12 6FX,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,FZ999-Midlands Region,G4S INTEGRATED SERVICES (UK) LTD,2283264,"130,774.07",Cleaning,CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,FZ999-Midlands Region,G4S INTEGRATED SERVICES (UK) LTD,2283264,"28,141.37",Management Costs etc,CIS-WR12 7LJ,0,Programme
