Departmental Family,Entity,Date,Expense Type,Expense Area ,Supplier,Expenditure Description,Supplier type,"Transaction
Number",Amount
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Education Strategy Performance Analysis Group,PROLOG,Publications and related services,Commercial,4000065555,125.98
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Education Strategy Performance Analysis Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,71.35
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Education Strategy Performance Analysis Group,PROLOG,Publications and related services,Commercial,4000065555,2.74
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,School Standards Group,PROLOG,Publications and related services,Commercial,4000065555,8.28
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,School Standards Group,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,733.63
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,DfE Programme Costs,School Standards Group,RM DATA SOLUTIONS,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
Specifically for the joint delivery (with Ofsted) of the RAISEonline contract",Commercial,4000064837,"208,324.66"
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,School Standards Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,153.45
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,School Standards Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,104.2
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,School Standards Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,104.2
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,School Standards Group,PROLOG,Publications and related services,Commercial,4000065555,819.84
Department for Education,DEPARTMENT FOR EDUCATION,14/11/2011,DfE Programme Costs,School Standards Group,RESEARCH MACHINES PLC,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
Specifically for the delivery of NPDAAT contract for performance tables and the National Pupil Database.",Commercial,4000065329,"781,750.78"
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,School Standards Group,PROLOG,Publications and related services,Commercial,4000065555,"1,440.69"
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,DfE Programme Costs,School Standards Group,NFER TRADING LIMITED INV T,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
Specifically for the evaluation of the Gaining Ground programme. ",Commercial,4000064965,"72,960.00"
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Professional Services Other,Curriculum and Behaviour Group,ECORYS UK LTD,"Costs related to fees and expenses of professional from the private sector, for example implementing advice or changes",Commercial,4000065528,"27,620.40"
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Curriculum and Behaviour Group,PROLOG,Publications and related services,Commercial,4000065555,202.98
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Curriculum and Behaviour Group,PROLOG,Publications and related services,Commercial,4000065555,"2,643.95"
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Curriculum and Behaviour Group,PROLOG,Publications and related services,Commercial,4000065555,"5,180.10"
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,DfE Programme Costs,Curriculum and Behaviour Group,TRIBAL EDUCATION LTD CONSULTING,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
Specifically for the management of the National Centre for Excellence in the teaching of Mathematics (NCETM) which aims to improve the teaching and learning of maths in state schools in England.",Commercial,4000064976,"180,884.40"
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Curriculum and Behaviour Group,PROLOG,Publications and related services,Commercial,4000065555,726.3
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Curriculum and Behaviour Group,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,71.18
Department for Education,DEPARTMENT FOR EDUCATION,08/11/2011,Professional Services Other,Curriculum and Behaviour Group,CAPGEMINI UK PLC,"Costs related to fees and expenses of professional from the private sector, for example implementing advice or changes",Commercial,4000065015,"16,560.00"
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Curriculum and Behaviour Group,PROLOG,Publications and related services,Commercial,4000065555,631.52
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Curriculum and Behaviour Group,PROLOG,Publications and related services,Commercial,4000065555,2.08
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Curriculum and Behaviour Group,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,124.26
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Curriculum and Behaviour Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,612.29
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Curriculum and Behaviour Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,80.44
Department for Education,DEPARTMENT FOR EDUCATION,14/11/2011,Professional Services Other,Curriculum and Behaviour Group,NFER TRADING LIMITED INV T,"Costs related to research, survey data analysis that will inform policy decision making",Commercial,4000065324,"35,000.00"
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Qualifications and Participation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,103.76
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Qualifications and Participation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,291.68
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Qualifications and Participation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,144.78
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Qualifications and Participation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,570.52
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Qualifications and Participation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,732.77
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Qualifications and Participation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,"1,069.60"
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Qualifications and Participation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,360.58
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Qualifications and Participation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,766.7
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Qualifications and Participation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,"1,973.21"
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Qualifications and Participation Group,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,345.08
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Qualifications and Participation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,222.67
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Qualifications and Participation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,60.13
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Qualifications and Participation Group,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,184.26
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Qualifications and Participation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,"1,250.84"
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Qualifications and Participation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,844.24
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Qualifications and Participation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,426.59
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Qualifications and Participation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,534.15
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Qualifications and Participation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,"1,012.27"
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Qualifications and Participation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,"1,346.40"
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Qualifications and Participation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,"1,651.84"
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Qualifications and Participation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,"1,550.31"
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Qualifications and Participation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,933.03
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Teachers Group,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,228.47
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Teachers Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,977.09
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Teachers Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,325.77
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Teachers Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,748.58
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Teachers Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,"1,179.66"
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Teachers Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,"1,764.29"
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Teachers Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,"1,572.98"
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Teachers Group,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,"1,157.16"
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Teachers Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,"1,571.36"
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Teachers Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,"1,208.38"
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Teachers Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,"1,191.12"
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Teachers Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,983.44
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Teachers Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,90.42
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Teachers Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,329.37
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Teachers Group,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,98.2
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Teachers Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,520.84
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Teachers Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,-32.05
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Teachers Group,PROLOG,Publications and related services,Commercial,4000065555,16.56
Department for Education,DEPARTMENT FOR EDUCATION,10/11/2011,ICT,Qualifications and Participation Group,CAREERVISION LTD,"Costs related to the provision of hardware maintenance and support of computer networks and systems.
Specifically for the annual support for National Client Caseload Information System (NCCIS) software and annual managed service. The system 
accommodates the secure exchange of information, documentation, test/sample data and any other files to support the cross communication of Raising the Participation Age (RPA) pilots and DfE",Commercial,4000065170,"70,000.00"
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Qualifications and Participation Group,PROLOG,Publications and related services,Commercial,4000065555,65.04
Department for Education,DEPARTMENT FOR EDUCATION,08/11/2011,Professional Services Other,Qualifications and Participation Group,ALPHA PLUS CONSULTANCY LTD,"Costs related to research, survey data analysis that will inform policy decision making. Specifically to support the cross communication of Raising the Participation Age (RPA) pilots and DfE.",Commercial,4000065007,"26,834.04"
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,DfE Programme Costs,Teachers Group,CAPITA BUSINESS SERVICES LTD,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
Specifically for delivery of the administration of the Teacher Pension Scheme under the previous contract.",Commercial,4000064944,"164,406.66"
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,DfE Programme Costs,Teachers Group,CAPITA LIFE & PENSIONS SERVICES LTD,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
From 1 October 2011, Capita Life and Pensions has contractual responsibility for the administration of the Teachers' Pension Scheme. Oct payment",Commercial,4000065523,"1,059,984.00"
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,DfE Programme Costs,Teachers Group,CAPITA LIFE & PENSIONS SERVICES LTD,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
From 1 October 2011, Capita Life and Pensions has contractual responsibility for the administration of the Teachers' Pension Scheme. Nov payment",Commercial,4000065994,"1,059,984.00"
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,DfE Programme Costs,Teachers Group,CAPITA BUSINESS SERVICES LTD,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,Commercial,4000064944,"2,991.67"
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Teachers Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,176.05
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Teachers Group,PROLOG,Publications and related services,Commercial,4000065555,"1,007.35"
Department for Education,DEPARTMENT FOR EDUCATION,18/11/2011,DfE Programme Costs,Teachers Group,BABCOCK 4S LTD,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,Commercial,4000065618,"52,662.70"
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Teachers Group,PROLOG,Publications and related services,Commercial,4000065555,154.14
Department for Education,TEACHERS PENSION SCHEME,08/11/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000450,"169,783.08"
Department for Education,TEACHERS PENSION SCHEME,08/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000451,"18,910,462.62"
Department for Education,TEACHERS PENSION SCHEME,02/11/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000829,"56,131.06"
Department for Education,TEACHERS PENSION SCHEME,02/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000830,"24,332,368.67"
Department for Education,TEACHERS PENSION SCHEME,03/11/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000831,"59,530.82"
Department for Education,TEACHERS PENSION SCHEME,03/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000832,"19,363,567.60"
Department for Education,TEACHERS PENSION SCHEME,04/11/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000833,"305,217.83"
Department for Education,TEACHERS PENSION SCHEME,04/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000834,"16,687,068.80"
Department for Education,TEACHERS PENSION SCHEME,07/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000836,"47,423,217.72"
Department for Education,TEACHERS PENSION SCHEME,09/11/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000837,"125,976.35"
Department for Education,TEACHERS PENSION SCHEME,09/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000838,"17,253,930.88"
Department for Education,TEACHERS PENSION SCHEME,10/11/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000839,"245,405.45"
Department for Education,TEACHERS PENSION SCHEME,10/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000840,"17,344,962.26"
Department for Education,TEACHERS PENSION SCHEME,11/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000843,"17,545,211.59"
Department for Education,TEACHERS PENSION SCHEME,14/11/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000844,"120,109.44"
Department for Education,TEACHERS PENSION SCHEME,14/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000845,"45,806,220.98"
Department for Education,TEACHERS PENSION SCHEME,15/11/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000846,"314,550.66"
Department for Education,TEACHERS PENSION SCHEME,15/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000847,"18,469,755.97"
Department for Education,TEACHERS PENSION SCHEME,16/11/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000848,"166,768.78"
Department for Education,TEACHERS PENSION SCHEME,16/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000849,"18,451,483.30"
Department for Education,TEACHERS PENSION SCHEME,17/11/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000850,"191,377.69"
Department for Education,TEACHERS PENSION SCHEME,17/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000851,"17,177,995.41"
Department for Education,TEACHERS PENSION SCHEME,18/11/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000852,"290,285.66"
Department for Education,TEACHERS PENSION SCHEME,18/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000853,"17,016,267.62"
Department for Education,TEACHERS PENSION SCHEME,21/11/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000854,"98,088.07"
Department for Education,TEACHERS PENSION SCHEME,21/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000855,"46,974,921.76"
Department for Education,TEACHERS PENSION SCHEME,22/11/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000856,"143,824.18"
Department for Education,TEACHERS PENSION SCHEME,22/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000857,"19,093,894.06"
Department for Education,TEACHERS PENSION SCHEME,23/11/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000858,"688,158.06"
Department for Education,TEACHERS PENSION SCHEME,23/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000859,"90,972,021.04"
Department for Education,TEACHERS PENSION SCHEME,24/11/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000860,"189,562.26"
Department for Education,TEACHERS PENSION SCHEME,24/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000861,"17,530,086.33"
Department for Education,TEACHERS PENSION SCHEME,25/11/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000862,"55,919.96"
Department for Education,TEACHERS PENSION SCHEME,25/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000863,"16,732,101.92"
Department for Education,TEACHERS PENSION SCHEME,28/11/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000864,"60,148.94"
Department for Education,TEACHERS PENSION SCHEME,28/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000865,"45,126,070.09"
Department for Education,TEACHERS PENSION SCHEME,29/11/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000866,"93,121.47"
Department for Education,TEACHERS PENSION SCHEME,29/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000867,"31,939,562.32"
Department for Education,TEACHERS PENSION SCHEME,30/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000869,"15,547,781.32"
Department for Education,TEACHERS PENSION SCHEME,30/11/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000870,"1,293,796.40"
Department for Education,TEACHERS PENSION SCHEME,30/11/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000871,"26,412,512.62"
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Professional Services Other,"Strategic Analysis, Research and Policy Impact Group",UNIVERSITY OF BRISTOL,"Costs related to research and evaluation activities.
Specifically for the Understanding Behaviour Change Research Centre",Public Sector,4000064845,"125,000.00"
Department for Education,DEPARTMENT FOR EDUCATION,29/11/2011,Professional Services Other,"Strategic Analysis, Research and Policy Impact Group",INSTITUTE OF EDUCATION,"Costs related to research and evaluation activities.
Specifically for the Effective Pre-School, Primary and Secondary Education 3-14 (EPPSE) - Continuation to Age 16",Public Sector,4000066533,"110,169.71"
Department for Education,DEPARTMENT FOR EDUCATION,08/11/2011,Professional Services Other,Chief Information Officer Group,DEPARTMENT FOR WORK & PENSIONS,Costs related to advisory shared corporate accounting services,Public Sector,4000065020,"56,167.00"
Department for Education,DEPARTMENT FOR EDUCATION,08/11/2011,Professional Services Other,Chief Information Officer Group,DEPARTMENT FOR WORK & PENSIONS,Costs related to advisory shared corporate payroll services,Public Sector,4000065020,"129,916.00"
Department for Education,DEPARTMENT FOR EDUCATION,08/11/2011,Professional Services Other,Chief Information Officer Group,DEPARTMENT FOR WORK & PENSIONS,Costs related to advisory shared corporate purchase / procurement services,Public Sector,4000065020,"62,083.00"
Department for Education,DEPARTMENT FOR EDUCATION,09/11/2011,Professional Services Other,Chief Information Officer Group,DEPARTMENT FOR WORK & PENSIONS,Costs related to advisory shared corporate accounting services,Public Sector,4000065090,"56,167.00"
Department for Education,DEPARTMENT FOR EDUCATION,09/11/2011,Professional Services Other,Chief Information Officer Group,DEPARTMENT FOR WORK & PENSIONS,Costs related to advisory shared corporate payroll services,Public Sector,4000065090,"129,916.00"
Department for Education,DEPARTMENT FOR EDUCATION,09/11/2011,Professional Services Other,Chief Information Officer Group,DEPARTMENT FOR WORK & PENSIONS,Costs related to advisory shared corporate purchase / procurement services,Public Sector,4000065090,"62,083.00"
Department for Education,DEPARTMENT FOR EDUCATION,29/11/2011,Facilities,Chief Information Officer Group,SHEFFIELD CITY COUNCIL,Rates,Public Sector,4000066543,"56,290.00"
Department for Education,DEPARTMENT FOR EDUCATION,29/11/2011,Facilities,Chief Information Officer Group,CITY OF WESTMINSTER,Rates,Public Sector,4000066522,"361,807.00"
Department for Education,DEPARTMENT FOR EDUCATION,29/11/2011,Facilities,Chief Information Officer Group,HALTON BOROUGH  COUNCIL,Rates,Public Sector,4000066529,"37,098.00"
Department for Education,DEPARTMENT FOR EDUCATION,18/11/2011,Current Grants,School Standards Group,JANET UK,"Current grant to third sector organisation / not for profit organisation.
Specifically for school access to the JANET research and education  broadband network",Public Sector,4000065630,"267,411.25"
Department for Education,DEPARTMENT FOR EDUCATION,16/11/2011,Current Grants to Other Government Departments,School Standards Group,DWP,"Funding to other government departments for DfE's contribution to jointly funded programmes.
Specifically for summer immersion courses in Mandarin held in China and run by the Schools Network ",Public Sector,2000484,"116,662.00"
Department for Education,DEPARTMENT FOR EDUCATION,02/11/2011,DfE Programme Costs,School Standards Group,BRITISH COUNCIL,"Costs related to a third party to administer grant funding on behalf of DfE.
Specifically for a sub-programme (Comenius) of the EU Commission's Lifelong Learning Programme 2007-2013.",Public Sector,4000064710,"127,201.67"
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Current Grants,School Standards Group,BRITISH COUNCIL,"Current grant to third sector organisation / not for profit organisation.
Specifically for e-twinning grant. This programme is an instrument used to impalement the Comenius programme, a sub programme of the EU Commission's Lifelong Learning Programme 2007-2013.",Public Sector,4000065990,"86,490.00"
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Professional Services Other,School Standards Group,SHEFFIELD HALLAM UNIVERSITY,Costs related to research and evaluation activities including contracted out data collation / gathering exercises when there is no analysis or recommendation,Public Sector,4000064973,"17,500.00"
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,DfE Programme Costs,School Standards Group,SHEFFIELD HALLAM UNIVERSITY,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,Public Sector,4000064973,"87,311.23"
