Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,NORTH STAFFORDSHIRE PCT,PUBLIC,ST13 6HQ,ERS-465733-62055,17000,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,PUBLIC,W12 0HS,ERS-465685-62244,17316,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,PUBLIC,GL1 2EL,ERS-465648-62192,17939,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 9DX,ERS-465749-62195,17946,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,PUBLIC,SR3 4AD,ERS-465622-62151,18140,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,WF3 1WE,ERS-465600-62083,18642,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,PUBLIC,NE7 7DN,ERS-465823-62191,18711,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,LEICESTER CITY PCT,PUBLIC,LE1 6NB,ERS-465697-62053,18750,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,NEWCASTLE PCT,PUBLIC,NE6 4PF,ERS-465717-62023,18750,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PUBLIC,LE5 4QF,ERS-465851-62214,18874,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,PUBLIC,NR6 5BE,ERS-465722-62159,19358,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,BN2 3EW,ERS-465602-62233,19566,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,PUBLIC,HU16 5JQ,ERS-465683-62212,19566,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,PUBLIC,TS4 3BW,ERS-465792-62196,19566,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,UNIVERSITY HOSPITALS COVENTRY & WARWICKSHIRE NHS TRUST,PUBLIC,CV2 2DX,ERS-465849-62146,19566,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,PUBLIC,B4 6NL,ERS-465594-62175,19579,,CRF's CRII,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PUBLIC,LE5 4QF,ERS-465851-62214,19818,,Applied Research Programme,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,BARTS AND THE LONDON NHS TRUST,PUBLIC,EC1A 7BE,ERS-465589-62164,19886,,Applied Research Programme,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,BARTS AND THE LONDON NHS TRUST,PUBLIC,EC1A 7BE,ERS-465589-62164,19919,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,PUBLIC,LA1 4GG,ERS-465852-62197,19919,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,PUBLIC,SR3 4AD,ERS-465622-62151,20000,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,MAIDSTONE & TUNBRIDGE WELLS NHS TRUST,PUBLIC,ME16 9QQ,ERS-465708-62215,20000,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,MID YORKSHIRE HOSPITALS NHS TRUST,PUBLIC,WF1 4TU,ERS-465715-62231,20000,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,NEWCASTLE PCT,PUBLIC,NE6 4PF,ERS-465717-62023,20000,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,ROYAL SURREY COUNTY NHS FOUNDATION TRUST,PUBLIC,GU2 7XX,ERS-465767-62079,20000,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,TEES ESK AND WEAR VALLEYS NHS FOUNDATION TRUST,PUBLIC,TS6 0SZ,ERS-465813-62226,20000,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,THE ROYAL WOLVERHAMPTON HOSPITAL NHS TRUST,PUBLIC,WV10 0QP,ERS-465831-62150,20000,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,UNIVERSITY HOSPITALS COVENTRY & WARWICKSHIRE NHS TRUST,PUBLIC,CV2 2DX,ERS-465849-62146,20086,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,PUBLIC,NW1 2BX,ERS-465839-62186,20146,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PUBLIC,LE5 4QF,ERS-465851-62214,20146,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,CAMBRIDGESHIRE PCT,PUBLIC,PE27 5BB,ERS-465613-62059,20364,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,AVON & WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,PUBLIC,BA1 3QE,ERS-465573-62204,20544,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,PUBLIC,CB1 5EE,ERS-465612-62187,20569,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,PUBLIC,NR4 7UY,ERS-465721-62155,20648,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,PUBLIC,NR6 5BE,ERS-465722-62159,20779,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,SALFORD ROYAL NHS FOUNDATION TRUST,PUBLIC,M6 8HD,ERS-465770-62157,20795,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-465789-62199,20813,,Applied Research Programme,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,SOUTHERN HEALTH NHS FOUNDATION TRUST,PUBLIC,SO40 2RZ,ERS-465799-62208,21118,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,ST GEORGE'S HEALTHCARE NHS TRUST,PUBLIC,SW17 0QT,ERS-465801-62136,21150,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,ROYAL SURREY COUNTY NHS FOUNDATION TRUST,PUBLIC,GU2 7XX,ERS-465767-62079,21198,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,PUBLIC,NG3 6AA,ERS-465746-62130,21283,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",PUBLIC,NE3 3XT,ERS-465740-62227,21310,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 9DX,ERS-465749-62195,21404,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,AVON & WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,PUBLIC,BA1 3QE,ERS-465573-62204,21435,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,PUBLIC,EX2 5DW,ERS-465763-62129,21651,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,PUBLIC,M21 9UN,ERS-465709-62259,22105,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,LANCASHIRE CARE NHS FOUNDATION TRUST,PUBLIC,PR5 6XT,ERS-465692-62210,22410,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,PUBLIC,B4 6NL,ERS-465594-62175,22500,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,PUBLIC,BS99 1YF,ERS-465848-62081,22500,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,SALFORD ROYAL NHS FOUNDATION TRUST,PUBLIC,M6 8HD,ERS-465770-62157,23156,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,DEVON PCT,PUBLIC,TQ12 4PH,ERS-465634-62075,23250,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,MAIDSTONE & TUNBRIDGE WELLS NHS TRUST,PUBLIC,ME16 9QQ,ERS-465708-62215,23535,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,CENTRAL AND NORTH WEST LONDON MENTAL HEALTH NHS FOUNDATION TRUST,PUBLIC,NW1 7QY,ERS-465617-62198,23651,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,HALTON & ST HELENS PCT,PUBLIC,WA10 2AP,ERS-465655-62048,23750,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,PUBLIC,B15 2PZ,ERS-465593-62240,24002,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,PUBLIC,ST2 8LD,ERS-465732-62154,24159,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",PUBLIC,NE4 6BE,ERS-465740-62228,24457,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,PUBLIC,NG8 3LL,ERS-465642-62230,24644,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-465608-62128,24839,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,PUBLIC,TS4 3BW,ERS-465792-62196,24867,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,THE LEEDS COMMUNITY HEALTHCARE NHS TRUST,PUBLIC,LS6 1PF,ERS-465822-62266,24899,,Applied Research Programme,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,PUBLIC,NG3 6AA,ERS-465746-62130,24985,,Applied Research Programme,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,ERS-465696-62182,25000,,Experimental Cancer Medical Centres,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,THE WALTON CENTRE NHS FOUNDATION TRUST,PUBLIC,L9 7LJ,ERS-465833-62118,25020,,Applied Research Programme,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-465608-62128,25640,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,ROYAL NATIONAL HOSPITAL FOR RHEUMATIC DISEASES NHS FOUNDATION TRUST,PUBLIC,BA1 1RL,ERS-465766-62089,25756,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PUBLIC,LE5 4QF,ERS-465851-62214,26090,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,MID ESSEX PCT,PUBLIC,CM8 2TL,ERS-465713-62065,26628,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,BIRMINGHAM UNIVERSITY OF,PUBLIC,B15 2TT,ERS-465596-62246,26629,,Health Service Recharge,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,PR7 1GZ,ERS-465693-62236,26900,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,SALISBURY NHS FOUNDATION TRUST,PUBLIC,SP2 8BJ,ERS-465771-62170,26976,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,PR7 1GZ,ERS-465693-62236,27118,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,STOCKTON-ON-TEES TEACHING PCT,PUBLIC,TS7 0NJ,ERS-465805-62024,27500,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,BARTS AND THE LONDON NHS TRUST,PUBLIC,EC1A 7BE,ERS-465589-62164,27722,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-465654-62135,27722,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,TORBAY PCT,PUBLIC,TQ9 6JE,ERS-465835-62262,27722,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,M13 0JR,ERS-465619-62209,27867,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,NG7 2UK,ERS-465743-62223,28234,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,BN2 3EW,ERS-465602-62233,28352,,Other CRF's,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PUBLIC,LE5 4QF,ERS-465851-62214,28366,,Experimental Cancer Medical Centres,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,PUBLIC,S75 2PY,ERS-465583-62120,28626,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-465789-62199,28909,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,DERBY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,DE1 2QS,ERS-465554-61961,28954.52,,STAMPEDE,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,MEDWAY TEACHING PCT,PUBLIC,ME19 4AX,ERS-465710-62036,29349,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,PUBLIC,NW1 2BX,ERS-465839-62186,29434,,Applied Research Programme,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,HERTFORDSHIRE PCT,PUBLIC,AL8 6JL,ERS-465679-62051,29673,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,PUBLIC,NW1 2BX,ERS-465839-62186,29793,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,PUBLIC,NW1 0PE,ERS-465615-62260,29893,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,EAST LONDON NHS FOUNDATION TRUST,PUBLIC,E1 1RD,ERS-465641-62218,30486,,Applied Research Programme,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,BRISTOL PCT,PUBLIC,BS2 8EE,ERS-465603-62069,30543,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,NG7 2UK,ERS-465743-62223,30980,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,EAST & NORTH HERTFORDSHIRE NHS TRUST,PUBLIC,BS1 2NP,ERS-465638-62217,31057,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,NORTH EAST LONDON NHS FOUNDATION TRUST,PUBLIC,CM8 2TL,ERS-465729-62087,31367,,Applied Research Programme,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,PUBLIC,B4 6NL,ERS-465594-62175,31607,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,S5 7AU,ERS-465777-62132,32607,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,SOUTH BIRMINGHAM PCT,PUBLIC,B7 4WS,ERS-465785-62038,32607,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,PUBLIC,YO30 4RY,ERS-465869-62100,33261,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-465608-62128,34223,,CRF's CRII,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,ISLINGTON PCT,PUBLIC,EC1V 7LQ,ERS-465687-62034,34424,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,PUBLIC,EX2 5DW,ERS-465763-62129,34694,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,PUBLIC,NR4 7UY,ERS-465721-62155,34739,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,PUBLIC,NE12 8EW,ERS-465741-62193,35364,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,THE ROYAL MARSDEN NHS FOUNDATION TRUST,PUBLIC,SM2  5PT,ERS-465828-62174,35554,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,PUBLIC,WC1N 3JH,ERS-465649-62171,35734,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,SOUTH TYNESIDE PCT,PUBLIC,NE33 3DP,ERS-465794-62035,35866,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-465789-62199,36633,,Applied Research Programme,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-465789-62199,36689,,Applied Research Programme,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,WESTERN SUSSEX HOSPITALS NHS TRUST,PUBLIC,PO19 6SE,ERS-465858-62265,36795,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PUBLIC,LE5 4QF,ERS-465851-62214,37212,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,NOTTINGHAMSHIRE COUNTY TEACHING PCT,PUBLIC,NG1 6GN,ERS-465745-62044,37559,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,SE5 9RS,ERS-465690-62143,37716,,Applied Research Programme,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,CLATTERBRIDGE CENTRE FOR ONCOLOGY NHS FOUNDATION TRUST,PUBLIC,CH63 4JY,ERS-465623-62116,38148,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,HUMBER NHS FOUNDATION TRUST,PUBLIC,HU10 6ED,ERS-465684-62202,38296,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,S5 7AU,ERS-465777-62132,39079,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,UNIVERSITY HOSPITALS COVENTRY & WARWICKSHIRE NHS TRUST,PUBLIC,CV2 2DX,ERS-465849-62146,39781,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,NORFOLK PCT,PUBLIC,NR1 3FR,ERS-465723-62061,39944,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,PR7 1GZ,ERS-465693-62236,40035,,Applied Research Programme,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,NORTH STAFFORDSHIRE PCT,PUBLIC,ST13 6HQ,ERS-465733-62055,40249,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,PUBLIC,UB8 3NN,ERS-465819-62086,40437,,Cooksey Patient Care,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,PUBLIC,SO52 9AB,ERS-465846-62131,40758,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,PUBLIC,SO52 9AB,ERS-465846-62131,41311,,Applied Research Programme,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,PUBLIC,YO30 4RY,ERS-465869-62100,41333,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,WHITTINGTON HOSPITAL NHS TRUST,PUBLIC,N19 5NF,ERS-465860-62147,41608,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,CENTRAL AND NORTH WEST LONDON MENTAL HEALTH NHS FOUNDATION TRUST,PUBLIC,NW1 7QY,ERS-465617-62198,42190,,Applied Research Programme,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,THE ROYAL WOLVERHAMPTON HOSPITAL NHS TRUST,PUBLIC,WV10 0QP,ERS-465831-62150,42390,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,NORTH WEST LONDON HOSPITALS NHS TRUST,PUBLIC,HA1 3UJ,ERS-465734-62201,42662,,Applied Research Programme,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,WF3 1WE,ERS-465600-62083,43977,,Applied Research Programme,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,PUBLIC,B15 2PZ,ERS-465593-62240,44547,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PUBLIC,LE5 4QF,ERS-465851-62214,44583,,Applied Research Programme,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,NHS DIRECT NHS TRUST,PUBLIC,MK14 6DY,ERS-465720-62256,45604,,Flexibility & Sustainability Funding,Programme
Department of Health,Department of Health,12/07/2012,Research & development,Research and Development,COVENTRY TEACHING PCT,PUBLIC,CV1 2GQ,ERS-465630-62040,46222,,Flexibility & Sustainability Funding,Programme
