Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,PO Line discription,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number,Vat Registration Num
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-520402-88311,100924,CRFs - CRII,EC1V 2PD,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-520402-88311,261604,Research Capability Funding,EC1V 2PD,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NHS BLOOD AND TRANSPLANT (NHSBT),ERS-520404-88340,229378,Research Capability Funding,LS15 7TW,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NHS Bradford Districts CCG 02R,ERS-520405-88350,43104,Research Capability Funding,WF3 1WE,,Programme,PUBLIC,,GB654452433
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NHS BRISTOL CCG 11H,ERS-520406-88347,133152,Research Capability Funding,BS1 3NX,,Programme,PUBLIC,,GB65444431
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NHS Cambridgeshire and Peterborough CCG 06H,ERS-520407-88346,99718,Research Capability Funding,CB2 8FH,,Programme,PUBLIC,,GB654454525
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NHS LEICESTER CITY CCG 04C,ERS-520408-88348,28506,Research Capability Funding,LE1 6NB,,Programme,PUBLIC,,GB654463426
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NHS LIVERPOOL CCG,ERS-520409-88353,84000,CLAHRCs,L1 4AZ,,Programme,PUBLIC,,GB654457614
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NHS LIVERPOOL CCG,ERS-520409-88353,18750,Research Capability Funding,L1 4AZ,,Programme,PUBLIC,,GB654457614
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NHS NORTH STAFFORDSHIRE CCG 05G,ERS-520411-88349,53812,Research Capability Funding,ST5 1QG,,Programme,PUBLIC,,GB654443042
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NHS NOTTINGHAM CITY CCG 04K,ERS-520412-88344,36429,Research Capability Funding,WF3 1WE,,Programme,PUBLIC,,GB654454329
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NHS OXFORDSHIRE CCG 10Q,ERS-520413-88345,130566,Research Capability Funding,OX4 2LH,,Programme,PUBLIC,,GB654462331
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NHS SHEFFIELD CCG,ERS-520414-88352,29622,Research Capability Funding,S36 2GB,,Programme,PUBLIC,,GB654447520
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-520417-88305,90988,Research Capability Funding,NR4 7UY,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-520417-88305,1672105,Comprehensive Networks,NR4 7UY,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-520417-88305,67699,Comprehensive Networks,NR4 7UY,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NORTH BRISTOL NHS TRUST,ERS-520420-88320,193974,Research Capability Funding,BS1 2NP,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NORTH EAST LONDON NHS FOUNDATION TRUST,ERS-520421-88299,47370,Research Capability Funding,CM8 2TL,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",ERS-520423-88330,40030,Research Capability Funding,NE3 3XT,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ERS-520424-88317,58408,Research Capability Funding,NE12 8EW,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-520426-88328,104288,Biomedical Units,NG7 2UK,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-520426-88328,121090,Biomedical Units,NG7 2UK,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-520426-88329,305194,Research Capability Funding,NG7 2UK,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,ERS-520427-88302,121534,Research Capability Funding,NG3 6AA,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,ERS-520427-88302,145658,CLAHRCs,NG3 6AA,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,OXFORD HEALTH NHS FOUNDATION TRUST,ERS-520428-88308,83334,CLAHRCs,OX4 2GX,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,OXFORD HEALTH NHS FOUNDATION TRUST,ERS-520428-88308,200282,Research Capability Funding,OX4 2GX,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-520429-88318,1126577,Comprehensive Networks,OX3 7HE,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-520429-88318,55559,Comprehensive Networks,OX3 7HE,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-520429-88318,67969,CRFs - CRII,OX3 7HE,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-520429-88318,1760697,Bio-Medical Centres,OX3 7HE,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-520429-88318,175000,Biomedical Units,OX3 7HE,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-520429-88318,1071830,Research Capability Funding,OX3 7HE,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ERS-520431-88301,25157,Research Capability Funding,CB3 8RE,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-520433-88363,136590,Network Research Capability Funding,LE5 4QF,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-520433-88363,3589906,Network Research Capability Funding,LE5 4QF,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-520434-88359,67699,Comprehensive Networks,NR4 7UY,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-520434-88359,1672105,Comprehensive Networks,NR4 7UY,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-520435-88362,1494340,Network Research Capability Funding,M13 0JR,,Programme,PUBLIC,,GB654415538
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-520435-88362,65338,Network Research Capability Funding,M13 0JR,,Programme,PUBLIC,,GB654415538
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,ROYAL SURREY COUNTY NHS FOUNDATION TRUST,ERS-520436-88355,112140,Network Research Capability Funding,GU2 7XX,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,ROYAL SURREY COUNTY NHS FOUNDATION TRUST,ERS-520436-88355,2497138,Network Research Capability Funding,GU2 7XX,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-520437-88360,143134,Network Research Capability Funding,NE7 7DN,,Programme,PUBLIC,,GB654968777
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-520437-88360,3081186,Network Research Capability Funding,NE7 7DN,,Programme,PUBLIC,,GB654968777
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-520438-88358,67014,Comprehensive Networks,SE1 9RT,,Programme,PUBLIC,,GB654923417
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-520438-88358,1796240,Comprehensive Networks,SE1 9RT,,Programme,PUBLIC,,GB654923417
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-520439-88356,107042,Network Research Capability Funding,EX2 5DW,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-520439-88356,1952866,Network Research Capability Funding,EX2 5DW,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-520440-88361,55559,Comprehensive Networks,OX3 7HE,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-520440-88361,1126577,Comprehensive Networks,OX3 7HE,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-520441-88357,176522,Network Research Capability Funding,S5 7AU,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-520441-88357,4788504,Network Research Capability Funding,S5 7AU,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Building repairs & maintenance,DG: SFNHS,SAVILLS COMMERCIAL LTD,1/566,44758.86,"SO7400 - West Point, Manchester - CGIS WEST POINT C/O SAVILLS COMMERCIAL LTD - Dilapidations",M2 2FE,,Programme,LARGE,,GB606046468
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,LGC LTD,50310174,834246,Central Commissioning Function,TW11 0LY,,Programme,LARGE,,GB674056721
Department of Health,Department of Health,15/05/2014,Service charge,DG: GOAD,AMICUS ITS LTD,OP/I050746,64032,Amicus ITS - Service Support 01.04.2014 to 30.06.2014,SO40 3WX,,Admin,LARGE,,
Department of Health,Department of Health,15/05/2014,Policy Payments,DG: RDD,CABINET OFFICE,250009514,30000,PROJECTS,CF14 3UW,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,LONDON SCHOOL OF ECONOMICS,ERS-520400-88337,333333,National School for Social Care Research,WC2A 2AE,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NEWCASTLE UNIVERSITY,ERS-520403-88338,103445.4,NIHR Fellowships,NE1 7RU,,Programme,PUBLIC,,GB499672470
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NHS South Norfolk Clinical Commissioning Group 06Y,ERS-520415-88343,33327,Research Capability Funding,NR7 0WG,,Programme,PUBLIC,,GB654460631
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-520430-88339,381500,School of Primary Care Research,OX1 2XN,,Programme,PUBLIC,,GB195275334
Department of Health,Department of Health,15/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,ERIC EDUCATION AND RESOURCES FOR IMPROVING CHILDHOOD CONTINENCE,ERS-520344-88261,31456,2012-13 IESD AIMS ref- 1768426 - ERIC - Project: ERIC Nurse - early intervention and management programme,BS15 8DB,,Other,VCS,,GB567794868
Department of Health,Department of Health,16/05/2014,Outsourcing Contract,DG: SCLGCP,HEALTH AND SOCIAL CARE INFORMATION CENTRE,12667429,48000,FGM Prevention Programme Funding to Health & Social Care Information Centre,LS1 6AE,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Arm Length Bodies-Revenue Subsidy,DG: PHD,NHS BLOOD AND TRANSPLANT (NHSBT),950832,11020000,NHSBT 14/15 Revenue drawdown,LS15 7TW,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,ERS-520442-88381,185220,Biomedical Units,UB9 6JH,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,ERS-520442-88381,171941,Biomedical Units,UB9 6JH,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,ERS-520442-88381,265538,Research Capability Funding,UB9 6JH,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,ROYAL CORNWALL HOSPITAL NHS TRUST,ERS-520443-88382,54076,Research Capability Funding,TR1 2XN,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-520444-88383,137936,Research Capability Funding,EX2 5DW,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-520444-88383,166666,CLAHRCs,EX2 5DW,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-520444-88383,104333,CRFs - CRII,EX2 5DW,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,ROYAL FREE LONDON NHS FOUNDATION TRUST,ERS-520445-88384,125152,Research Capability Funding,NW3 1QG,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,ERS-520446-88385,96886,Research Capability Funding,L7 8XP,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,ERS-520446-88385,109384,Biomedical Units,L7 8XP,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-520450-88408,100900,Research Capability Funding,M6 8HD,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-520450-88408,129191,Quality and Safety Research Centres,M6 8HD,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-520450-88408,166666,CLAHRCs,M6 8HD,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,ERS-520453-88395,47368,Research Capability Funding,S10 2TH,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST,ERS-520454-88422,25855,Research for Patient Benefit,S10 3TH,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST,ERS-520454-88422,18548,Research Capability Funding,S10 3TH,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-520455-88401,223524,Research Capability Funding,S5 7AU,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-520455-88401,55172,CRFs - CRII,S5 7AU,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-520456-88416,785660,Research Capability Funding,BR3 3BX,,Programme,PUBLIC,,GB654971403
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-520456-88416,859149,Bio-Medical Centres,BR3 3BX,,Programme,PUBLIC,,GB654971403
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-520456-88416,86151,CRFs - CRII,BR3 3BX,,Programme,PUBLIC,,GB654971403
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST,ERS-520465-88409,29158,Research Capability Funding,NW3 5BA,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,THE CHRISTIE NHS FOUNDATION TRUST,ERS-520467-88393,81818,CRFs - CRII,M20 4BX,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,THE CHRISTIE NHS FOUNDATION TRUST,ERS-520467-88393,52548,Research Capability Funding,M20 4BX,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,THE LEEDS COMMUNITY HEALTHCARE NHS TRUST RY6,ERS-520469-88424,53488,Research Capability Funding,LS6 1PF,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-520470-88414,332125,Bio-Medical Centres,NE7 7DN,,Programme,PUBLIC,,GB654968777
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-520470-88414,87700,Bio-Medical Centres,NE7 7DN,,Programme,PUBLIC,,GB654968777
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-520470-88414,72727,CRFs - CRII,NE7 7DN,,Programme,PUBLIC,,GB654968777
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-520470-88414,335988,Research Capability Funding,NE7 7DN,,Programme,PUBLIC,,GB654968777
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-520471-88411,489762,Research Capability Funding,SM2  5PT,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-520471-88411,1034062,Bio-Medical Centres,SM2  5PT,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-520471-88411,53615,CRFs - CRII,SM2  5PT,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,THE ROYAL WOLVERHAMPTON NHS TRUST,ERS-520472-88406,2411750,Network Research Capability Funding,WV10 0QP,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,THE ROYAL WOLVERHAMPTON NHS TRUST,ERS-520472-88406,88202,Network Research Capability Funding,WV10 0QP,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,THE SOLENT NHS TRUST R1C,ERS-520473-88425,93492,Research Capability Funding,SO16 4XE,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-520475-88413,1107388,Research Capability Funding,NW1 2BX,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-520475-88413,1746740,Bio-Medical Centres,NW1 2BX,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-520475-88413,100000,CRFs - CRII,NW1 2BX,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-520475-88413,91251,Bio-Medical Centres,NW1 2BX,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-520476-88412,109362,Biomedical Units,B15 2PR,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-520476-88412,380746,Research Capability Funding,B15 2PR,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-520476-88412,266490,CRFs - CRII,B15 2PR,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-520476-88412,166666,CLAHRCs,B15 2PR,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,ERS-520477-88403,56561,Research Capability Funding,ST4 7LN,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ERS-520478-88407,92340,Research Capability Funding,M23 9LT,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ERS-520478-88407,45455,CRFs - CRII,M23 9LT,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-520479-88400,90000,CLAHRCs,SO52 9AB,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-520479-88400,168076,CRFs - CRII,SO52 9AB,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-520479-88400,166667,Bio-Medical Centres,SO52 9AB,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-520479-88400,121910,Biomedical Units,SO52 9AB,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-520479-88400,233846,Research Capability Funding,SO52 9AB,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-520480-88388,126170,Biomedical Units,BS99 1YF,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-520480-88388,226044,Research Capability Funding,BS99 1YF,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-520480-88388,98978,Biomedical Units,BS99 1YF,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-520480-88388,96382,CLAHRCs,BS99 1YF,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS COVENTRY & WARWICKSHIRE NHS TRUST,ERS-520481-88404,90588,Research Capability Funding,CV2 2DX,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-520482-88418,126799,Biomedical Units,LE5 4QF,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-520482-88418,91604,Biomedical Units,LE5 4QF,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-520482-88418,83333,Biomedical Units,LE5 4QF,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-520482-88418,330994,Research Capability Funding,LE5 4QF,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Research & development,DG: RDD,WHITTINGTON HOSPITAL NHS TRUST,ERS-520484-88405,37954,Research Capability Funding,N19 5NF,,Programme,PUBLIC,,
Department of Health,Department of Health,16/05/2014,Utilities,DG: GOAD,EDF ENERGY PLC,0027-01/05/14,25176.96,Wellington House - Electricity Charges from April 2014 - March 2015,SW1E 5JL,,Admin,LARGE,,
Department of Health,Department of Health,16/05/2014,IT minor costs non capital,DG: SFNHS,BRAVOSOLUTION UK LTD,BUK14V0005164,41159.66,e-Tendering services for Commercial Medicines Unit from 1st May 2014 to 30th April 2015,EC2M 7AD,,Programme,LARGE,,GB849035609
Department of Health,Department of Health,16/05/2014,Addition Clearing - IT,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV010846,75824.41,ESR Drawdown and Pipeline Development costs FY13-14 see DH/McKesson HR and Payroll Contract Ref 2222,CV34 6NZ,,Programme,LARGE,,GB927438206
