Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,Vat Registration Num,Description,Expenditure Type,Contract Number
Department of Health,Department of Health,08/02/2012,Contr Other External,INFORMATICS,CAPITA BUSINESS SERVICES LTD,,,14386760," 65,450.00 ",,,,
Department of Health,Department of Health,08/02/2012,Outsourcing Contract,Health Improvement & Protection,MULTI RESOURCE MARKETING LTD,SME,LE16 9NR,123000," 69,200.08 ",,MRM - For the services provided on the Healthy Start Reimbursement Unit - January 2012 estimate,Admin,
Department of Health,Department of Health,08/02/2012,Contr Other External,INFORMATICS,CAPITA BUSINESS SERVICES LTD,,,14386765," 70,560.00 ",,,,
Department of Health,Department of Health,08/02/2012,Outsourcing Contract,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007601," 72,937.59 ",,CPA for ESR Contract CCN 126 ESR NHS Payslip Printing and Courier solution,Programme,
Department of Health,Department of Health,08/02/2012,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739382," 77,235.00 ",,C4L Supermeals digital build and email distribution ERG MOO238,Programme,
Department of Health,Department of Health,08/02/2012,Outsourcing Contract,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007600," 97,668.33 ",,CPA for ESR Contract : NLMS Monthly Service Charges FY11-12,Programme,
Department of Health,Department of Health,08/02/2012,Library services,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,738824," 104,751.37 ",,Media costs for campaign to raise awareness of the signs and symptoms of dementia,Programme,
Department of Health,Department of Health,08/02/2012,Outsourcing Contract,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007600," 118,724.99 ",,CPA for ESR Contract : RPP Monthly Service Charges FY09-12,Programme,
Department of Health,Department of Health,08/02/2012,Outsourcing Contract,SOCIAL CARE,BROADCASTING SUPPORT SERVICES,LARGE,M1 3HU,S12-00402," 125,546.82 ",,Provision of Carers Direct helpline service - replacement for PO416982.,Programme,
Department of Health,Department of Health,08/02/2012,Addition Clearing - IT,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007614," 129,785.00 ",,"CPA for ESR Contract - Hardware Drawdown, CCN 176 Hardware Refresh & Pipeline Development FY11-12",Programme,
Department of Health,Department of Health,08/02/2012,Service charge,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007615," 596,942.83 ",,CCN 703 - ESR Merge/Demerge requirements for TCS,Programme,
Department of Health,Department of Health,08/02/2012,Addition Clearing - SW LIC,INFORMATICS,BT GROUP PLC,LARGE,NW9 6LB,CHAPS8/2/12," 1,302,812.99 ",,Capital: FY 2011/12 - Capital Budget Requirements,Programme,
Department of Health,Department of Health,08/02/2012,Outsourcing Contract,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007600," 2,573,492.76 ",,CPA for ESR Contract : ESR Monthly Service Charges FY11-12,Programme,
Department of Health,Department of Health,08/02/2012,Service charge,INFORMATICS,BT GROUP PLC,LARGE,NW9 6LB,CHAPS8/2/12," 5,432,623.77 ",,Revenue: FY 2011/12 - Revenue Budget Requirements,Programme,
Department of Health,Department of Health,09/02/2012,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2448001-21-FEB-12," 7,951.31 ",,,Other,
Department of Health,Department of Health,09/02/2012,Research & development,Research & Development,CARDIFF UNIVERSITY,PUBLIC,CF24 0DE,ERS-452280-55692," 25,290.14 ",,Research Project,Programme,
Department of Health,Department of Health,09/02/2012,Research & development,Research & Development,BARKING HAVERING & REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,WF3 1WE,ERS-452298-55683," 28,302.75 ",,Research Project,Programme,
Department of Health,Department of Health,09/02/2012,Conferences & seminars,CDD CORPORATE DEVELOPMENT,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,SK4 2RZ,773755," 32,040.96 ",,Expotel Bulk Invoice for Conference bookings for period 01/04/10 to 31/03/11,Admin,
Department of Health,Department of Health,09/02/2012,Computer Software/License,INFORMATICS,HEALTH LANGUAGE,,,14378063," 42,250.00 ",,,,
Department of Health,Department of Health,09/02/2012,Research & development,Research & Development,READING UNIVERSITY OF,PUBLIC,RG6 6AH,ERS-452300-55708," 44,667.00 ",,Research Project,Programme,
Department of Health,Department of Health,09/02/2012,Staff Consultancy & Suppt,INFORMATICS,PA CONSULTING SERVICES LTD,,,14394091," 47,323.96 ",,,,
Department of Health,Department of Health,09/02/2012,Research & development,Research & Development,QUANTA FLUID SOLUTIONS LTD,LARGE,B49 6EU,11," 54,648.04 ",,Research Project,Programme,
Department of Health,Department of Health,09/02/2012,Research & development,Research & Development,DUNDEE UNIVERSITY OF,PUBLIC,DD1 4HN,ERS-452281-55693," 63,048.00 ",,Research Project,Programme,
Department of Health,Department of Health,09/02/2012,Research & development,Research & Development,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,PUBLIC,WC1E 7HT,ERS-452277-55695," 68,882.00 ",,Research Project,Programme,
Department of Health,Department of Health,09/02/2012,Travel -Trains,CDD CORPORATE DEVELOPMENT,FCM TRAVEL SOLUTIONS,SME,KT3 7NW,1049606031," 70,803.66 ",,DH - Travel Services for Rail Apr 2011 - March 2012,Admin,
Department of Health,Department of Health,09/02/2012,Research & development,Research & Development,PHILIPS ELECTRONICS UK LTD,LARGE,GU2  8XH,6345006863," 74,912.00 ",,Research Project,Programme,
Department of Health,Department of Health,09/02/2012,Conferences & seminars,CDD CORPORATE DEVELOPMENT,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,SK4 2RZ,774272," 77,826.29 ",,Expotel Bulk Invoice for Conference bookings for period 01/04/10 to 31/03/11,Admin,
Department of Health,Department of Health,09/02/2012,Professional fees,NHS Improvement and Efficiency,CAPITA BUSINESS SERVICES LTD,LARGE,SW1H 0XA,92354044," 91,027.20 ",,Requistion for the OJEU procurement exercise for the Information Accreditation Scheme Owner. Advert to be published on 17/10/08. The contract will be awarded for 23rd March 2009. OJEU procurement coordinated by PCoE,Programme,11039
Department of Health,Department of Health,09/02/2012,Research & development,Research & Development,MEDICAL RESEARCH COUNCIL MRC,PUBLIC,SN2 1FF,ERS-452307-55707," 100,000.00 ",,Research Project,Programme,
Department of Health,Department of Health,09/02/2012,Research & development,Research & Development,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,PUBLIC,WC1E 7HT,ERS-452303-55697," 112,991.00 ",,Research Project,Programme,
Department of Health,Department of Health,09/02/2012,Research & development,Research & Development,NORTH WEST LONDON HOSPITALS NHS TRUST,PUBLIC,HA1 3UJ,ERS-452295-55687," 148,222.00 ",,Research Project,Programme,
Department of Health,Department of Health,09/02/2012,Research & development,Research & Development,MEDICAL RESEARCH COUNCIL MRC,PUBLIC,SN2 1FF,ERS-452304-55706," 190,104.00 ",,Research Project,Programme,
Department of Health,Department of Health,09/02/2012,Research & development,Research & Development,MEDICAL RESEARCH COUNCIL MRC,PUBLIC,SN2 1FF,ERS-452308-55705," 258,954.00 ",,Research Project,Programme,
Department of Health,Department of Health,09/02/2012,Research & development,Research & Development,UNIVERSITY COLLEGE LONDON (UCL),PUBLIC,WC1E 6BT,ERS-452302-55703," 270,650.03 ",,Research Project,Programme,
Department of Health,Department of Health,09/02/2012,Research & development,Research & Development,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,PUBLIC,B15 2PR,ERS-452306-55685," 544,934.00 ",,Research Project,Programme,
Department of Health,Department of Health,09/02/2012,Research & development,Research & Development,HEALTH PROTECTION AGENCY (HPA),PUBLIC,SP4 0JG,ERS-452290-55688," 836,033.00 ",,Research Project,Programme,
Department of Health,Department of Health,10/02/2012,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2448001-21-FEB-12," 8,940.34 ",,,Other,
Department of Health,Department of Health,10/02/2012,Service charge,INFORMATICS,BT GROUP PLC,LARGE,NW9 6LB,CHAPS10/2/12," 18,269.50 ",,QMAS Release 17 (CCN 733) to increase requisition,Programme,
Department of Health,Department of Health,10/02/2012,Fruit for Schools,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001658," 25,877.48 ",,,,
Department of Health,Department of Health,10/02/2012,Fruit for Schools,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001648," 27,838.02 ",,,,
Department of Health,Department of Health,10/02/2012,Fruit for Schools,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001637," 28,079.70 ",,,,
Department of Health,Department of Health,10/02/2012,Fruit for Schools,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001657," 30,691.33 ",,,,
Department of Health,Department of Health,10/02/2012,Professional fees,COMMISSIONING,DELOITTE LLP,LARGE,MK9 1FD,1110764419," 31,264.00 ",,South Central Ambulance Service NHS Trust.  NHSFT Financial Assessments.,Programme,
Department of Health,Department of Health,10/02/2012,Fruit for Schools,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001635," 33,321.79 ",,,,
Department of Health,Department of Health,10/02/2012,Contractor/Staff Substitution,NHS FINANCE PERFORMANCE & OPERATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739348," 33,790.00 ",,Funding for the research and guidance publications programme 2011/12,Programme,
Department of Health,Department of Health,10/02/2012,Fruit for Schools,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001656," 37,051.63 ",,,,
Department of Health,Department of Health,10/02/2012,Fruit for Schools,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001650," 41,935.81 ",,,,
Department of Health,Department of Health,10/02/2012,Fruit for Schools,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001640," 42,075.59 ",,,,
Department of Health,Department of Health,10/02/2012,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739428," 43,000.00 ",,"Digital Marketing C4L  Q3 Oct - Dec 2011 website mainenance, analytics and agency fees ERG exemption reference M00238.",Programme,
Department of Health,Department of Health,10/02/2012,Outsourcing Contract,SOCIAL CARE,WORCESTER UNIVERSITY OF,PUBLIC,WR2 6AJ,INV124099," 44,088.00 ",,EU ALCOVE PROJECT - OPEN COMPETITION,Programme,13384
Department of Health,Department of Health,10/02/2012,Fruit for Schools,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001623," 52,288.58 ",,,,
Department of Health,Department of Health,10/02/2012,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739434," 53,062.00 ",,"C4L Digital campaign working covering Jan 2012 Supermeals, Feb/March 2012 Alcohol & prep work for summer 2012 Olympic campaigns. ERG M00238",Programme,
Department of Health,Department of Health,10/02/2012,Fruit for Schools,Health Improvement & Protection,Minor Weir & Willis Ltd,,,SFVS001654," 53,553.14 ",,,,
Department of Health,Department of Health,10/02/2012,Research & development,Research & Development,MEDICAL RESEARCH COUNCIL MRC,PUBLIC,SN2 1FF,ERS-452491-55725," 84,395.89 ",,Research Project,Programme,
Department of Health,Department of Health,10/02/2012,Storage costs,"PSF POLICY, STRATEGY & FINANCE",MARTINDALE PHARMACEUTICALS LTD,LARGE,,A12183," 101,480.18 ",,,,
Department of Health,Department of Health,10/02/2012,Storage costs,"PSF POLICY, STRATEGY & FINANCE",MARTINDALE PHARMACEUTICALS LTD,LARGE,,A12185," 102,266.31 ",,,,
Department of Health,Department of Health,10/02/2012,Storage costs,"PSF POLICY, STRATEGY & FINANCE",MARTINDALE PHARMACEUTICALS LTD,LARGE,,A12184," 102,495.19 ",,,,
Department of Health,Department of Health,10/02/2012,Research & development,Research & Development,BARTS AND THE LONDON NHS TRUST,PUBLIC,EC1A 7BE,ERS-452490-55721," 132,229.00 ",,Research Project,Programme,
Department of Health,Department of Health,10/02/2012,Computer Hardware Purch,INFORMATICS,PROBRAND LTD,,,14386784," 138,982.81 ",,,,
Department of Health,Department of Health,10/02/2012,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739431," 189,156.86 ",,Production of a 60 second Change4Life TVC for the Feb-March 2012 alcohol campaign. ,Programme,
Department of Health,Department of Health,10/02/2012,Service charge,INFORMATICS,BT GROUP PLC,LARGE,NW9 6LB,CHAPS10/2/12," 258,570.18 ",,QMAS Release 17 (CCN 733),Programme,
Department of Health,Department of Health,10/02/2012,VAT dr (ST),Health Improvement & Protection,MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY (MHRA),PUBLIC,SW8 5NQ,11-12 VAT RECHARGE QTR 3," 660,724.51 ",,,Other,
Department of Health,Department of Health,11/02/2012,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2448001-21-FEB-12, 57.72 ,,,Other,
Department of Health,Department of Health,13/02/2012,Library services,NHS MEDICAL DIRECTOR,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739446, 380.00 ,,Project management,Programme,
Department of Health,Department of Health,13/02/2012,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2448001-21-FEB-12," 5,231.59 ",,,Other,
Department of Health,Department of Health,13/02/2012,External Data Contracts,INFORMATICS,CABLE & WIRELESS UK,,,14291834," 6,378.91 ",,,,
Department of Health,Department of Health,13/02/2012,Library services,NHS MEDICAL DIRECTOR,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739446," 12,111.00 ",,"500,000 x Breast screen leaflet (403722).",Programme,
Department of Health,Department of Health,13/02/2012,Contr Other External,INFORMATICS,CABLE & WIRELESS UK,,,14379617," 26,513.80 ",,,,
Department of Health,Department of Health,13/02/2012,External Consultancy Fees,INFORMATICS,CABLE & WIRELESS UK,,,14363068," 28,129.87 ",,,,
Department of Health,Department of Health,13/02/2012,Grants to local authorities (CUR),NHS FINANCE PERFORMANCE & OPERATIONS,LANCASHIRE COUNTY COUNCIL,PUBLIC,PR1 0LD,ERS-452572-55741," 30,000.00 ",,"DH additional funding to Lancashire for WHHP ""Wrap up this winter"" ",Programme,
Department of Health,Department of Health,13/02/2012,Publicity & advertising,COMMUNICATIONS,SIMPLY BECAUSE LTD,LARGE,SL5 9FE,1264," 37,481.65 ",,"Health Visitor recruitment campaign, BEcause F2F agency Q4 2011/12 financial year",Programme,
Department of Health,Department of Health,13/02/2012,Utilities,CDD CORPORATE DEVELOPMENT,SCOTTISH AND SOUTHERN ENERGY PLC,LARGE,PO9 5YN,191304511/0058," 38,943.31 ",,Skipton House - Electricity Charges for 2011 - 2012,Admin,
Department of Health,Department of Health,13/02/2012,Library services,NHS MEDICAL DIRECTOR,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739446," 41,742.50 ",,1.25m x Bowel cancer screen leaf (273372).,Programme,
Department of Health,Department of Health,13/02/2012,Admin Revenue Grant-in-Aid ENDPBs,WORKFORCE,COUNCIL FOR HEALTHCARE REGULATORY EXCELLENCE (CHRE),PUBLIC,WC2N 5HR,DH0017," 50,000.00 ",,CHRE Revenue Cash Drawdown 2011/12,Admin,
Department of Health,Department of Health,13/02/2012,Contr Other External,INFORMATICS,CABLE & WIRELESS UK,,,14323707," 62,906.25 ",,,,
Department of Health,Department of Health,13/02/2012,Library services,NHS MEDICAL DIRECTOR,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739446," 64,272.50 ",,3m x cervical cancer screen leaf (275855),Programme,
Department of Health,Department of Health,13/02/2012,Contr Other External,INFORMATICS,CABLE & WIRELESS UK,,,14337045," 161,808.00 ",,,,
Department of Health,Department of Health,13/02/2012,Contr Other External,INFORMATICS,CABLE & WIRELESS UK,,,14291834," 214,978.76 ",,,,
Department of Health,Department of Health,13/02/2012,Admin Revenue Grant-in-Aid ENDPBs,WORKFORCE,GENERAL SOCIAL CARE COUNCIL (GSCC),PUBLIC,SE1 2HB,SL02420," 530,000.00 ",,GSCC Revenue Cash Drawdown 2011/12,Admin,
Department of Health,Department of Health,13/02/2012,Other programme expenditure,"PSF POLICY, STRATEGY & FINANCE",FUTUREBUILDERS ENGLAND FUND MANAGEMENT LTD,SME,EC4A 3AE,CHAPS13/2/12," 611,560.09 ",,,Programme,
Department of Health,Department of Health,13/02/2012,Revenue Grants to Other Bodies,WORKFORCE,GENERAL SOCIAL CARE COUNCIL (GSCC),PUBLIC,SE1 2HB,SL02421," 675,000.00 ",,GSCC Revenue Cash Drawdown 2011/12 - Specific Grants,Programme,
Department of Health,Department of Health,13/02/2012,Contr Other External,INFORMATICS,CABLE & WIRELESS UK,,,14291836," 693,502.33 ",,,,
Department of Health,Department of Health,13/02/2012,Additions-PDC temporary,NHS FC,SURREY & SUSSEX HEALTHCARE NHS TRUST,PUBLIC,RH1 5RH,HAFS-12341," 2,600,000.00 ",,,Other,
Department of Health,Department of Health,14/02/2012,Storage costs,"PSF POLICY, STRATEGY & FINANCE",SANDOZ LTD,SME,,100, 43.87 ,,,,
Department of Health,Department of Health,14/02/2012,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2448001-21-FEB-12," 7,185.35 ",,,Other,
Department of Health,Department of Health,14/02/2012,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00221700ARI," 21,703.29 ",,DH - FM Contract Variable Operational Costs - 31st March 2012 (Re:PO:486947),Admin,
Department of Health,Department of Health,14/02/2012,Research & development,Research & Development,CANCER RESEARCH UK,VCS,WC2A 3PX,ERS-452771-55860," 31,136.63 ",,Research Project,Programme,
Department of Health,Department of Health,14/02/2012,Outsourcing Contract,"PSF POLICY, STRATEGY & FINANCE",IOKO365 LTD,LARGE,YO10 5ZD,INVK53000757," 35,078.40 ",,Hosting Services - Supply2Health ,Programme,
Department of Health,Department of Health,14/02/2012,Research & development,Research & Development,PLYMOUTH TEACHING PCT,PUBLIC,WF3 1WE,ERS-452780-55850," 45,028.00 ",,Research Project,Programme,
Department of Health,Department of Health,14/02/2012,Storage costs,"PSF POLICY, STRATEGY & FINANCE",SANDOZ LTD,SME,,100," 57,807.76 ",,,,
Department of Health,Department of Health,14/02/2012,Research & development,Research & Development,ASHRIDGE CONSULTING LTD,SME,HP4 1NS,14080," 58,363.55 ",,Research Project,Programme,
Department of Health,Department of Health,14/02/2012,Research & development,Research & Development,OXFORDSHIRE PCT,PUBLIC,OX4 4XN,ERS-452773-55851," 59,173.00 ",,Research Project,Programme,
Department of Health,Department of Health,14/02/2012,Research & development,Research & Development,SALFORD UNIVERSITY OF,PUBLIC,M5 4WT,ERS-452778-55858," 63,991.00 ",,Research Project,Programme,
Department of Health,Department of Health,14/02/2012,Storage costs,"PSF POLICY, STRATEGY & FINANCE",SANDOZ LTD,SME,,102," 66,467.83 ",,,,
Department of Health,Department of Health,14/02/2012,Senior Manager,INFORMATICS,CAPITA BUSINESS SERVICES LTD,,,14428955," 74,205.00 ",,,,
Department of Health,Department of Health,14/02/2012,Research & development,Research & Development,ASHRIDGE CONSULTING LTD,SME,HP4 1NS,14018," 74,362.57 ",,Research Project,Programme,
Department of Health,Department of Health,14/02/2012,Research & development,Research & Development,ASHRIDGE CONSULTING LTD,SME,HP4 1NS,13943," 78,333.51 ",,Research Project,Programme,
Department of Health,Department of Health,14/02/2012,Research & development,Research & Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-452781-55856," 81,518.00 ",,Research Project,Programme,
Department of Health,Department of Health,14/02/2012,Research & development,Research & Development,ASHRIDGE CONSULTING LTD,SME,HP4 1NS,13886," 94,479.21 ",,Research Project,Programme,
Department of Health,Department of Health,14/02/2012,Research & development,Research & Development,EDINBURGH UNIVERSITY OF,PUBLIC,EH1 1HT,ERS-452774-55855," 112,500.00 ",,Research Project,Programme,
Department of Health,Department of Health,14/02/2012,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00221700ARI," 118,677.60 ",,DH - FM Contract Variable Operational Costs - 1st Dec 2011 - 31st March 2012 (Re:PO:475790),Admin,
Department of Health,Department of Health,14/02/2012,Outsourcing Contract,Health Improvement & Protection,VERTEX DATA SCIENCE LTD,LARGE,L34 1PJ,FI0408489," 259,720.06 ",,Vertex Ltd - For services provided on  Healthy Start Issuing Unit - Cycle 113 - 19th December 2011 to 15th January 2012 estimate,Admin,
Department of Health,Department of Health,14/02/2012,Programme Revenue Grant in Aid to ENDPBs,WORKFORCE,GENERAL SOCIAL CARE COUNCIL (GSCC),PUBLIC,SE1 2HB,ERS-452640-55761," 3,329,000.00 ",,"GSCC Education Support Grant Drawdown, Period to 31-Mar-12, Ref: 2012-6 (ESG)",Programme,
Department of Health,Department of Health,15/02/2012,Contr Other External,INFORMATICS,NHS BUSINESS SERVICES AUTHORITY,,,14362511, 982.18 ,,,,
Department of Health,Department of Health,15/02/2012,Other Admin expenditure,NHS Improvement and Efficiency,WORCESTERSHIRE MEDAL SERVICE LTD,SME,B61 8LL,1003330," 6,009.33 ",,,Admin,
Department of Health,Department of Health,15/02/2012,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2448001-21-FEB-12," 9,258.36 ",,,Other,
Department of Health,Department of Health,15/02/2012,Research & development,Research & Development,RAND EUROPE CAMBRIDGE LTD,SME,CB4 1YG,12093/10073-22," 25,922.35 ",,Research Project,Programme,
Department of Health,Department of Health,15/02/2012,Other Admin expenditure,NHS Improvement and Efficiency,WORCESTERSHIRE MEDAL SERVICE LTD,SME,B61 8LL,1003330," 30,046.64 ",,Diamond Jubilee Medals,Admin,
Department of Health,Department of Health,15/02/2012,CIP Addition Clearing - OLB,CDD CORPORATE DEVELOPMENT,OFFICE PROJECTS LTD,SME,SW15 2JJ,9279," 38,007.32 ",,Buckingham Palace Road Refurbishment (Construction) - Final.,Admin,
Department of Health,Department of Health,15/02/2012,Service charge,INFORMATICS,BT GROUP PLC,LARGE,NW9 6LB,289357," 42,480.76 ",,QMAS monthly service charges April 2011 to March 2012 (CCN690),Programme,
Department of Health,Department of Health,15/02/2012,Research & development,Research & Development,KINGS COLLEGE LONDON,PUBLIC,SE1 8WA,SINV1820663," 47,452.00 ",,Research Project,Programme,
Department of Health,Department of Health,15/02/2012,Grants to non profit institutions (CUR),CHIEF NURSING OFFICER,THE ROYAL SOCIETY FOR PUBLIC HEALTH,SME,SW1V 4BH,ERS-452940-55900," 50,000.00 ",,2011-12 The Royal Society for Public Health - projecct: Institute of Health Visiting- policy grant,Programme,
Department of Health,Department of Health,15/02/2012,Grants to local authorities (CUR),NHS FINANCE PERFORMANCE & OPERATIONS,CUMBRIA COUNTY COUNCIL,PUBLIC,CA3 8NA,ERS-452824-55866," 50,000.00 ",,"DH additional grant payment to Cumbria County Council WHHP ""Cumbria hot spots & winter warmth project"" contact nick.waterfield@cumbria.gov.uk",Programme,
Department of Health,Department of Health,15/02/2012,Payroll Ded'ns N/S Curr,INFORMATICS,NHS BUSINESS SERVICES AUTHORITY,,,14362511," 96,688.32 ",,,,
Department of Health,Department of Health,15/02/2012,Outsourcing Contract,NHS Improvement and Efficiency,PRICEWATERHOUSECOOPERS LLP,LARGE,E14 9SQ,1353738688," 98,085.50 ",,Support for QIPP PMO,Admin,
Department of Health,Department of Health,15/02/2012,Service charge,INFORMATICS,BT GROUP PLC,LARGE,NW9 6LB,289340," 113,481.98 ",,QMAS monthly service charges April 2011 to March 2012 (CCN690),Programme,
Department of Health,Department of Health,15/02/2012,Other programme expenditure,Health Improvement & Protection,ANTHONY NOLAN TRUST,VCS,NW3 2NU,14661," 113,563.34 ",,Stem Cell Services Improvement funding (AN Project),Programme,
Department of Health,Department of Health,15/02/2012,Computer Software/License,INFORMATICS,NHS INFORMATION CENTRE,,,14363053," 119,380.00 ",,,,
Department of Health,Department of Health,15/02/2012,Service charge,INFORMATICS,BT GROUP PLC,LARGE,NW9 6LB,285603," 129,668.73 ",,QMAS monthly service charges April 2011 to March 2012 (CCN690),Programme,
Department of Health,Department of Health,15/02/2012,Policy Payments,NHS FINANCE PERFORMANCE & OPERATIONS,NORTH EAST SHA,PUBLIC,NE15 8NY,503843," 350,000.00 ",,SHAPE funding - see attached MOU,Programme,
Department of Health,Department of Health,15/02/2012,Arm Length Bodies-Revenue Subsidy,Health Improvement & Protection,MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY (MHRA),PUBLIC,SW8 5NQ,1375936," 1,000,000.00 ",,MHRA's Revenue 2011-2012,Admin,
Department of Health,Department of Health,16/02/2012,Consultancy/Professional Advice,"PSF POLICY, STRATEGY & FINANCE",ERNST AND YOUNG LLP,LARGE,SE1 2AF,GB10700008148, 285.00 ,,Commercial Support for the FESC team,Programme,
Department of Health,Department of Health,16/02/2012,Addition Clearing - SW LIC,INFORMATICS,I SOFT PLC,LARGE,WA2 0XD,INV/006177, 986.52 ,,Capital : FY 2011/12 Capital Budget Requirements,Programme,
Department of Health,Department of Health,16/02/2012,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2448001-21-FEB-12," 7,593.08 ",,,Other,
Department of Health,Department of Health,16/02/2012,Research & development,Research & Development,BIRMINGHAM UNIVERSITY OF,PUBLIC,B15 2TT,ERS-452980-55921," 40,143.47 ",,Research Project,Programme,
Department of Health,Department of Health,16/02/2012,Contractor/Staff Substitution,"PSF POLICY, STRATEGY & FINANCE",ERNST AND YOUNG LLP,LARGE,SE1 2AF,GB10700008148," 43,500.00 ",,PRUK Strategic Operations,Admin,
Department of Health,Department of Health,16/02/2012,Addition Clearing - IT,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007723," 65,336.00 ",,"CPA for ESR Contract - Hardware Drawdown, CCN 176 Hardware Refresh & Pipeline Development FY11-12",Programme,
Department of Health,Department of Health,16/02/2012,Service charge,INFORMATICS,ATOS ORIGIN IT SERVICES UK LTD,LARGE,WS11 0JA,5584100143," 66,612.37 ",,Revenue: Choose & Book Extension 16 December 11 to 31 March 2012,Programme,
Department of Health,Department of Health,16/02/2012,Outsourcing Contract,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007725," 69,226.37 ",,CPA for ESR Contract CCN 126 ESR NHS Payslip Printing and Courier solution,Programme,
Department of Health,Department of Health,16/02/2012,Service charge,INFORMATICS,ATOS ORIGIN IT SERVICES UK LTD,LARGE,WS11 0JA,5584100138," 72,447.01 ",,Revenue: Choose & Book Extension 16 December 11 to 31 March 2012,Programme,
Department of Health,Department of Health,16/02/2012,Research & development,Research & Development,EDINBURGH UNIVERSITY OF,PUBLIC,EH1 1HT,ERS-452978-55922," 84,678.00 ",,Research Project,Programme,
Department of Health,Department of Health,16/02/2012,Other programme expenditure,WORKFORCE,DEPARTMENT FOR BUSINESS INNOVATION AND SKILLS (BIS),PUBLIC,CF3 OLW,10034102," 85,550.00 ",,Costs to cover Review Body Chairs' and Member's fees for 2011/12.,Programme,
Department of Health,Department of Health,16/02/2012,Service charge,INFORMATICS,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201271909," 85,985.57 ",,Revenue: FY 20011/12 Revenue Budget Requirements,Programme,
