Departmental Family,Departmental Entity,Date,Expence Type,Supplier,Transaction Number, Amount ,PO Line Description,Supplier site postcode,Supplier Type,Contract Number,Project Code,Expence Type
,,13/01/2016,Research & development,BARTS HEALTH NHS TRUST,ERS-549638-115422," 23,125 ",Network Research Capability Funding,E1 8PR,PUBLIC,,,
,,13/01/2016,Research & development,BARTS HEALTH NHS TRUST,ERS-549638-115422," 2,552,320 ",Network Research Capability Funding,E1 8PR,PUBLIC,,,
,,13/01/2016,Research & development,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-549639-115366," 43,688 ",Research Capability Funding (STANDARD),L12 2AP,PUBLIC,,,
,,13/01/2016,Research & development,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-549639-115366," 36,364 ",CRFs - CRII,L12 2AP,PUBLIC,,,
,,13/01/2016,Research & development,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,ERS-549640-115411," 37,505 ",Research Capability Funding (STANDARD),B15 2PZ,PUBLIC,,,
,,13/01/2016,Research & development,BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST RYW,ERS-549641-115420," 26,503 ",Research Capability Funding (STANDARD),B13 8JL,PUBLIC,,,
,,13/01/2016,Research & development,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-549642-115363," 68,453 ",Research Capability Funding (STANDARD),WF3 1WE,PUBLIC,,,
,,13/01/2016,Research & development,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-549643-115410," 54,545 ",CRFs - CRII,BN2 3EW,PUBLIC,,,
,,13/01/2016,Research & development,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-549643-115410," 42,408 ",Research Capability Funding (STANDARD),BN2 3EW,PUBLIC,,,
,,13/01/2016,Research & development,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-549644-115371," 197,255 ",CRFs - CRII,CB2 2QQ,PUBLIC,,,
,,13/01/2016,Research & development,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-549644-115371," 509,921 ",Research Capability Funding (STANDARD),CB2 2QQ,PUBLIC,,,
,,13/01/2016,Research & development,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-549644-115371," 83,333 ",Biomedical Units,CB2 2QQ,PUBLIC,,,
,,13/01/2016,Research & development,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-549644-115371," 2,066,144 ",Bio-Medical Centres,CB2 2QQ,PUBLIC,,,
,,13/01/2016,Research & development,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,ERS-549646-115394," 176,666 ",CLAHRCs,CB1 5EE,PUBLIC,,,
,,13/01/2016,Research & development,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,ERS-549646-115394," 55,564 ",Research Capability Funding (STANDARD),CB1 5EE,PUBLIC,,,
,,13/01/2016,Research & development,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,ERS-549647-115418," 56,657 ",Research Capability Funding (STANDARD),NW1 0PE,PUBLIC,,,
,,13/01/2016,Research & development,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-549650-115402," 111,584 ",Research Capability Funding (STANDARD),M13 0JR,PUBLIC,,,
,,13/01/2016,Research & development,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-549650-115402," 95,500 ",Biomedical Units,M13 0JR,PUBLIC,,,
,,13/01/2016,Research & development,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-549650-115402," 100,000 ",CRFs - CRII,M13 0JR,PUBLIC,,,
,,13/01/2016,Research & development,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-549650-115402," 25,320 ",Network Research Capability Funding,M13 0JR,PUBLIC,,,
,,13/01/2016,Research & development,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-549650-115402," 1,413,916 ",Network Research Capability Funding,M13 0JR,PUBLIC,,,
,,13/01/2016,Research & development,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ERS-549651-115389," 166,666 ",CLAHRCs,SW10 9NH,PUBLIC,,,
,,13/01/2016,Research & development,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ERS-549651-115389," 30,830 ",Research Capability Funding (STANDARD),SW10 9NH,PUBLIC,,,
,,13/01/2016,Research & development,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-549655-115385," 605,160 ",Bio-Medical Centres,WC1N 3JH,PUBLIC,,,
,,13/01/2016,Research & development,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-549655-115385," 155,318 ",Research Capability Funding (STANDARD),WC1N 3JH,PUBLIC,,,
,,13/01/2016,Research & development,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-549656-115376," 1,010,049 ",Bio-Medical Centres,SE1 9RT,PUBLIC,,,
,,13/01/2016,Research & development,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-549656-115376," 102,604 ",CRFs - CRII,SE1 9RT,PUBLIC,,,
,,13/01/2016,Research & development,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-549656-115376," 20,818 ",Health Technology Co-operatives,SE1 9RT,PUBLIC,,,
,,13/01/2016,Research & development,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-549656-115376," 19,694 ",Network Research Capability Funding,SE1 9RT,PUBLIC,,,
,,13/01/2016,Research & development,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-549656-115376," 1,873,458 ",Network Research Capability Funding,SE1 9RT,PUBLIC,,,
,,13/01/2016,Research & development,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-549656-115376," 274,517 ",Research Capability Funding (STANDARD),SE1 9RT,PUBLIC,,,
,,13/01/2016,Research & development,HEART OF ENGLAND NHS FOUNDATION TRUST,ERS-549657-115390," 26,917 ",Research Capability Funding (STANDARD),B9 5TA,PUBLIC,,,
,,13/01/2016,Research & development,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-549659-115412," 197,926 ",CRFs - CRII,W12 0HS,PUBLIC,,,
,,13/01/2016,Research & development,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-549659-115412," 1,892,364 ",Bio-Medical Centres,W12 0HS,PUBLIC,,,
,,13/01/2016,Research & development,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-549659-115412," 121,480 ",Quality and Safety Research Centres,W12 0HS,PUBLIC,,,
,,13/01/2016,Research & development,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-549659-115412," 20,343 ",Network Research Capability Funding,W12 0HS,PUBLIC,,,
,,13/01/2016,Research & development,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-549659-115412," 1,046,042 ",Network Research Capability Funding,W12 0HS,PUBLIC,,,
,,13/01/2016,Research & development,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-549659-115412," 475,630 ",Research Capability Funding (STANDARD),W12 0HS,PUBLIC,,,
,,13/01/2016,Research & development,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-549661-115378," 169,999 ",CLAHRCs,SE5 9RS,PUBLIC,,,
,,13/01/2016,Research & development,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-549661-115378," 52,965 ",Research Capability Funding (STANDARD),SE5 9RS,PUBLIC,,,
,,13/01/2016,Research & development,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-549662-115391," 112,276 ",Biomedical Units,LS9 7TF,PUBLIC,,,
,,13/01/2016,Research & development,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-549662-115391," 11,037 ",CRFs - CRII,LS9 7TF,PUBLIC,,,
,,13/01/2016,Research & development,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-549662-115391," 105,049 ",Research Capability Funding (STANDARD),LS9 7TF,PUBLIC,,,
,,13/01/2016,Research & development,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-549663-115417," 47,073 ",Research Capability Funding (STANDARD),M21 9UN,PUBLIC,,,
,,13/01/2016,Research & development,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-549664-115386," 472,600 ",Bio-Medical Centres,EC1V 2PD,PUBLIC,,,
,,13/01/2016,Research & development,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-549664-115386," 102,050 ",CRFs - CRII,EC1V 2PD,PUBLIC,,,
,,13/01/2016,Research & development,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-549664-115386," 150,972 ",Research Capability Funding (STANDARD),EC1V 2PD,PUBLIC,,,
,,13/01/2016,Research & development,NHS BLOOD AND TRANSPLANT (NHSBT),ERS-549666-115416," 100,632 ",Research Capability Funding (STANDARD),LS15 7TW,PUBLIC,,,
,,13/01/2016,Research & development,NHS BRISTOL CCG 11H,ERS-549668-115425," 93,413 ",Research Capability Funding (STANDARD),BS1 3NX,PUBLIC,,,
,,13/01/2016,Research & development,NHS Cambridgeshire and Peterborough CCG 06H,ERS-549669-115424," 50,668 ",Research Capability Funding (STANDARD),CB2 8FH,PUBLIC,,,
,,13/01/2016,Research & development,NHS LIVERPOOL CCG,ERS-549670-115427," 166,666 ",CLAHRCs,L1 4AZ,PUBLIC,,,
,,13/01/2016,Research & development,NHS OXFORDSHIRE CCG 10Q,ERS-549672-115423," 66,190 ",Research Capability Funding (STANDARD),OX4 2LH,PUBLIC,,,
,,13/01/2016,Research & development,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-549673-115381," 17,944 ",Network Research Capability Funding,NR4 7UY,PUBLIC,,,
,,13/01/2016,Research & development,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-549673-115381," 1,702,729 ",Network Research Capability Funding,NR4 7UY,PUBLIC,,,
,,13/01/2016,Research & development,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-549673-115381," 45,589 ",Research Capability Funding (STANDARD),NR4 7UY,PUBLIC,,,
,,13/01/2016,Research & development,NORTH BRISTOL NHS TRUST,ERS-549674-115401," 73,944 ",Research Capability Funding (STANDARD),BS1 2NP,PUBLIC,,,
,,13/01/2016,Research & development,NORTH EAST LONDON NHS FOUNDATION TRUST,ERS-549675-115365," 25,441 ",Research Capability Funding (STANDARD),CM8 2TL,PUBLIC,,,
,,13/01/2016,Research & development,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ERS-549677-115397," 25,001 ",Research Capability Funding (STANDARD),NE12 8EW,PUBLIC,,,
,,13/01/2016,Research & development,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-549678-115407," 104,288 ",Biomedical Units,NG7 2UK,PUBLIC,,,
,,13/01/2016,Research & development,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-549678-115407," 121,090 ",Biomedical Units,NG7 2UK,PUBLIC,,,
,,13/01/2016,Research & development,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-549678-115408," 122,200 ",Research Capability Funding (STANDARD),NG7 2UK,PUBLIC,,,
,,13/01/2016,Research & development,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,ERS-549679-115373," 54,090 ",Research Capability Funding (STANDARD),NG3 6AA,PUBLIC,,,
,,13/01/2016,Research & development,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,ERS-549679-115373," 183,550 ",CLAHRCs,NG3 6AA,PUBLIC,,,
,,13/01/2016,Research & development,OXFORD HEALTH NHS FOUNDATION TRUST,ERS-549680-115384," 166,666 ",CLAHRCs,OX4 2GX,PUBLIC,,,
,,13/01/2016,Research & development,OXFORD HEALTH NHS FOUNDATION TRUST,ERS-549680-115384," 117,481 ",Research Capability Funding (STANDARD),OX4 2GX,PUBLIC,,,
,,13/01/2016,Research & development,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-549681-115398," 482,220 ",Research Capability Funding (STANDARD),OX3 7HE,PUBLIC,,,
,,13/01/2016,Research & development,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-549681-115398," 166,667 ",Biomedical Units,OX3 7HE,PUBLIC,,,
,,13/01/2016,Research & development,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-549681-115398," 1,697,005 ",Bio-Medical Centres,OX3 7HE,PUBLIC,,,
,,13/01/2016,Research & development,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-549681-115398," 67,969 ",CRFs - CRII,OX3 7HE,PUBLIC,,,
,,13/01/2016,Research & development,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-549681-115398," 15,449 ",Network Research Capability Funding,OX3 7HE,PUBLIC,,,
,,13/01/2016,Research & development,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-549681-115398," 1,125,404 ",Network Research Capability Funding,OX3 7HE,PUBLIC,,,
,,13/01/2016,Research & development,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,ERS-549684-115395," 179,851 ",Biomedical Units,UB9 6JH,PUBLIC,,,
,,13/01/2016,Research & development,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,ERS-549684-115395," 163,995 ",Biomedical Units,UB9 6JH,PUBLIC,,,
,,13/01/2016,Research & development,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,ERS-549684-115395," 134,279 ",Research Capability Funding (STANDARD),UB9 6JH,PUBLIC,,,
,,13/01/2016,Research & development,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-549685-115372," 104,333 ",CRFs - CRII,EX2 5DW,PUBLIC,,,
,,13/01/2016,Research & development,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-549685-115372," 180,903 ",CLAHRCs,EX2 5DW,PUBLIC,,,
,,13/01/2016,Research & development,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-549685-115372," 19,534 ",Network Research Capability Funding,EX2 5DW,PUBLIC,,,
,,13/01/2016,Research & development,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-549685-115372," 925,062 ",Network Research Capability Funding,EX2 5DW,PUBLIC,,,
,,13/01/2016,Research & development,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-549685-115372," 69,423 ",Research Capability Funding (STANDARD),EX2 5DW,PUBLIC,,,
,,13/01/2016,Research & development,ROYAL FREE LONDON NHS FOUNDATION TRUST,ERS-549686-115364," 42,969 ",Research Capability Funding (STANDARD),NW3 1QG,PUBLIC,,,
,,13/01/2016,Research & development,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,ERS-549687-115388," 41,337 ",Research Capability Funding (STANDARD),L7 8XP,PUBLIC,,,
,,13/01/2016,Research & development,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,ERS-549687-115388," 109,384 ",Biomedical Units,L7 8XP,PUBLIC,,,
,,13/01/2016,Research & development,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,ERS-549687-115388," 20,071 ",Network Research Capability Funding,L7 8XP,PUBLIC,,,
,,13/01/2016,Research & development,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,ERS-549687-115388," 1,324,478 ",Network Research Capability Funding,L7 8XP,PUBLIC,,,
,,13/01/2016,Research & development,ROYAL SURREY COUNTY NHS FOUNDATION TRUST,ERS-549688-115361," 27,941 ",Network Research Capability Funding,GU2 7XX,PUBLIC,,,
,,13/01/2016,Research & development,ROYAL SURREY COUNTY NHS FOUNDATION TRUST,ERS-549688-115361," 1,246,457 ",Network Research Capability Funding,GU2 7XX,PUBLIC,,,
,,13/01/2016,Research & development,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-549690-115383," 93,114 ",Research Capability Funding (STANDARD),M6 8HD,PUBLIC,,,
,,13/01/2016,Research & development,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-549690-115383," 129,798 ",Quality and Safety Research Centres,M6 8HD,PUBLIC,,,
,,13/01/2016,Research & development,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-549690-115383," 174,666 ",CLAHRCs,M6 8HD,PUBLIC,,,
,,13/01/2016,Research & development,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-549691-115375," 99,703 ",Research Capability Funding (STANDARD),S5 7AU,PUBLIC,,,
,,13/01/2016,IT minor costs non capital,NQC LTD,220811," 65,100 ",24 Month Software Licence (less 7% discount),M4 6DL,SME,,,
,,13/01/2016,Printing,WILLIAMS LEA LTD,DH15120003," 32,955 ","2904407 - Provision of project coordination and technical authoring services to revise and publish CFPP 01-01, CFPP 01-06, CFPP 01-04, HTM 01-05. 2904408 Provision of project coordination and technical authoring services to revise and publi",W1F 8PR,LARGE,,,
,,13/01/2016,Addition Clearing - SW LIC,BJSS LTD,14569," 189,468 ",Capital: 2015/16 - ERS BJSS - e -referral Service settlement - CCN BJS1-2-002,LS1 2TW,SME,,,
,,13/01/2016,Addition Clearing - SW LIC,BJSS LTD,14570," 80,218 ","Capital 2015/16 ERS BJSS - e-Referral Service Settlement CCN BJS1-2-002	 ",LS1 2TW,SME,,,
,,13/01/2016,Addition Clearing - SW LIC,BJSS LTD,14572," 34,200 ","Capital: 2015/16 ERS BJSS Software Development and Assurance - External Software Development - Initial Phase 	 ",LS1 2TW,SME,,,
,,13/01/2016,Addition Clearing - SW LIC,BJSS LTD,14573," 67,404 ","Capital: 2015/16 ERS BJSS Software Development and Assurance - External Software Development - Initial Phase 	 ",LS1 2TW,SME,,,
,,13/01/2016,Addition Clearing - SW LIC,BJSS LTD,14574," 412,086 ",Capital: 2015/16 - ERS BJSS - e -referral Service settlement - CCN BJS1-2-002,LS1 2TW,SME,,,
,,13/01/2016,Addition Clearing - SW LIC,BJSS LTD,14575," 30,000 ",Capital: 2015/16 - ERS BJSS - e -referral Service settlement - CCN BJS1-2-002,LS1 2TW,SME,,,
,,13/01/2016,Addition Clearing - SW LIC,BJSS LTD,14577," 65,929 ","Capital: 2015/16 ERS BJSS - Agile Software Development Services for the NHS eRS  CCN BJS1-2-003""	 ",LS1 2TW,SME,,,
,,13/01/2016,Service charge,COMPUTACENTER UK LTD,3880713765," 513,000 ","Spine 2: 15/16 revenue: monthly service charges @ £151,107.60 net, Annual Technical Support @ £112,750 net and 300,000 smartcards (£606,000 net). Total = £869,857.60",AL10 9TW,LARGE,,,
,,13/01/2016,Service charge,BT GROUP PLC,401194," 86,045 ",Revenue: 2015/16 LSP London Bt,NW9 6LB,LARGE,,,
,,13/01/2016,Service charge,BT GROUP PLC,401228," 6,440,353 ",Revenue: 2015/16 N3 Services Core Contract to cover spend for services due for payment up to and including March 2016,NW9 6LB,LARGE,,,
,,13/01/2016,Addition Clearing - SW LIC,MASTEK UK LTD,90335623," 423,236 ","Capital: SUS Spine MAS1-3-023 Milestones 1-10 PbR 16/17 and tariffing changes for R16	 ",RG1 8BW,LARGE,,,
,,13/01/2016,Addition Clearing - SW LIC,MASTEK UK LTD,90335624," 423,236 ","Capital: SUS Spine MAS1-3-023 Milestones 1-10 PbR 16/17 and tariffing changes for R16	 ",RG1 8BW,LARGE,,,
,,13/01/2016,Addition Clearing - SW LIC,MASTEK UK LTD,90335625," 282,157 ","Capital: SUS Spine MAS1-3-023 Milestones 1-10 PbR 16/17 and tariffing changes for R16	 ",RG1 8BW,LARGE,,,
,,13/01/2016,Service charge,INTECHNOLOGY LTD,ISIN10304," 116,117 ","Revenue: 2015/16 - Intechnology eRS - IAAS - Hosting, Infrastructure, Support and Service Management - FY1516 Service Charges	 ",HG3 1UG,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 35,000 ",,,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 75,000 ",,,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 45,294 ",,,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 92,500 ",,,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057, 0 ,,,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 92,500 ",,,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057, 0 ,,,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 92,500 ",,,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057, 0 ,,,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 98,000 ",,,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 98,000 ",,,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 98,000 ",,,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 67,998 ",,,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057, 2 ,,,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 128,000 ",,,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057, 0 ,,,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 36,400 ",,,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057, 0 ,,,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 84,500 ",,,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057, 0 ,,,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 60,000 ",,,SME,,,
,,13/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057, 0 ,,,SME,,,
,,13/01/2016,Research & development,CAMBRIDGE UNIVERSITY OF,ERS-549645-115413," 109,373 ",School for Public Health,CB2 1TN,PUBLIC,,,
,,13/01/2016,Research & development,IMPERIAL COLLEGE LONDON,ERS-549660-115414," 14,881 ",PROJECTS,SW7 2AZ,PUBLIC,,,
,,13/01/2016,Research & development,IMPERIAL COLLEGE LONDON,ERS-549660-115414," 30,470 ",Invention for Innovation,SW7 2AZ,PUBLIC,,,
,,13/01/2016,Revenue Grants to non-profit institutions,AGE UK,ERS-549730-115501," 60,798 ","IESD 2013-14 AGE CONCERN SUPPORT SERVICES Y&H, AIMS 2527910, TOGETHER FOR HEALTH",BD1 2AY,VCS,,,
,,13/01/2016,Revenue Grants to non-profit institutions,PARENTS AGAINST CHILD SEXUAL EXPLOITATION (PACE),ERS-549716-115481," 41,443 ",IESD 2013-14 - AIMS 2544603 - Parents against child sexual exploitation (PACE) - Project: business development and promotion of multi agency responses to child sexual exploitation which include and recognise the value of affected parents,LS9 8TA,VCS,,,
,,13/01/2016,Revenue Grants to non-profit institutions,AGAINST VIOLENCE AND ABUSE (AVA),ERS-549714-115461," 25,668 ",ref 2520675- Against violence and abuse (AVA) - project: Increasing the capacity of Mental Health Trusts to effectively respond to domestic and sexual violence experienced by service users,SE1 9BG,VCS,,,
,,13/01/2016,Revenue Grants to non-profit institutions,WRVS,ERS-549708-115441," 70,600 ","IESD 2013-14, AIMS 2562171, Royal Voluntary Service: From NHS Trust Hospitals to community care: Led by volunteers",CF23 8RP,VCS,,,
,,13/01/2016,Outsourcing Contract,Alzheimers Research UK,8," 49,000 ",Funding to Alzheimer's Research UK for transition of Integrated Development Initiative,CB21 6AD,VCS,,,
,,14/01/2016,Policy Payments,NHS PENSIONS AGENCY,15457," 947,764 ",Injury Benefits Liabilities (SHA & PCT Legacy) 2015-16,FY7 8LG,PUBLIC,,,
,,14/01/2016,Outsourcing Contract,SKILLS FOR HEALTH LTD,3407," 90,000 ",Development of mental health and learning disabilities core skills frameworks,BS2 0BY,PUBLIC,,,
,,14/01/2016,Service charge,COMPUTACENTER UK LTD,3880713764," 135,300 ","Spine 2: 15/16 revenue: monthly service charges @ £151,107.60 net, Annual Technical Support @ £112,750 net and 300,000 smartcards (£606,000 net). Total = £869,857.60",AL10 9TW,LARGE,,,
,,14/01/2016,Addition Clearing - SW LIC,CSC COMPUTER SCIENCES LTD,5201436671," 210,164 ",Capital: 2015/16 LSP NME CSC - Lorenzo,PR1 8UQ,LARGE,,,
,,14/01/2016,Policy Payments,MINISTRY OF DEFENCE (MOD),7434872," 320,085 ",MoD recharges  UK personnel in Germany healthcare,L2 3YL,PUBLIC,,,
,,14/01/2016,Rates,DEPARTMENT FOR WORK AND PENSIONS (DWP),5028520," 74,828 ",QH - Business Rates FY2015-2016 ,FY5 3TA,PUBLIC,,,
,,14/01/2016,Rent of Land & Buildings (non-PFI operating lease),DEPARTMENT FOR WORK AND PENSIONS (DWP),5028520," 586,693 ",QH - Business Rates FY2015-2016 ,FY5 3TA,PUBLIC,,,
,,14/01/2016,Utilities,DEPARTMENT FOR WORK AND PENSIONS (DWP),5028520," 3,871 ",QH - Business Rates FY2015-2016 ,FY5 3TA,PUBLIC,,,
,,14/01/2016,Outsourcing Contract,HM REVENUE AND CUSTOMS HMRC,GO/15/GPE/28," 39,047 ",Assessment costs for the SCS Gateway - Dept of Health,BN12 4XH,PUBLIC,,,
,,14/01/2016,Research & development,KINGS COLLEGE LONDON,SINV1830293," 29,202 ",RDD Programme Support - Miscellaneous,SE1 8WA,PUBLIC,,,
,,14/01/2016,Research & development,NOTTINGHAM UNIVERSITY OF,7715022," 32,911 ",RDD Programme Support - Miscellaneous,NG7 2RD,PUBLIC,,,
,,14/01/2016,Research & development,BANGOR UNIVERSITY,30046744," 35,705 ",RDD Programme Support - Miscellaneous,LL57 2DG,PUBLIC,,,
,,14/01/2016,Research & development,UNIVERSITY COLLEGE LONDON UCL,1106281," 59,345 ",RDD Programme Support - Miscellaneous,WC1E 6BT,PUBLIC,,,
,,14/01/2016,Policy Payments,DEPARTMENT FOR WORK AND PENSIONS (DWP),2927977," 120,000 ",Reimbursing DWP for Payment Scheme,FY5 3TA,PUBLIC,,,
,,14/01/2016,Policy Payments,DEPARTMENT FOR WORK AND PENSIONS (DWP),29299601," 952,688 ",Recharges for EEA incentivisation payments 2015-16 No.1,FY5 3TA,PUBLIC,,,
,,14/01/2016,Revenue Grants to non-profit institutions,WRVS,ERS-549772-115581," 93,747 ","HSCVF2013/14, National/004 Royal Voluntary Services : Home and Well Project",CF23 8RP,VCS,,,
,,14/01/2016,Revenue Grants to non-profit institutions,NATIONAL GAMETE DONATION TRUST,ERS-549767-115561," 38,500 ",Hub and Spoke National Sperm Bank - 54173485,WR14 9GX.,VCS,,,
