EA >£25k Sept 11 Payments report FINAL,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Department ,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure type,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South West,East Devon District Council,946238,"26,990.02",899965 Rates Clyst Honiton,EX10 8HL,,,,Administration,,,,,
Defra,EA,27-Sep-11,Property & Construction Consultancy | Building Management,Nat Trading and Reg Services,Atos,999626,"26,793.05",UK EU ETS Registry Framework,GU16 8QD,,30097178,,Administration,,,,,
Defra,EA,22-Sep-11,Construction Service Providers,NE Capital WiP,Ove Arup & Partners Ltd,993969,"26,778.88",947486 NEECA2: HIRP Culverts Supply of Engineering and Environmental Consultancy Services,NE1 3PL,,30072279,IMNE790166,Project,,,,,
Defra,EA,27-Sep-11,"Marine, Coastal & Inland Waterways Services",WA South West-MEICA,Integral UK Ltd,1000683,"26,329.34",Mechanical & electrical repairs,BS32 4SG,,40023790,REWA100002,Administration,,,,,
Defra,EA,20-Sep-11,Organisation & Change Management Consultancy,Data and Information Management,Gabriel Information Solutions Ltd,997344,"26,155.62",950838 Information licensing support service framework (Public sector information).,EX1 3SD,,,HOEV101110,Administration,,,,,
Defra,EA,22-Sep-11,Building Repair & Maintenance,NW South-Ops Delivery,Boulting Technology,997834,"26,141.76",951326. Regional mechanical & electrical maintenance - north west region,WA5 2PL,,30270233,RENW000939,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,TH South East-Tidal Defence Mgr,Greenwich Council,946159,"26,047.50",899886 Rates Thames barrier visitors center,SE1 6RS,,,,Administration,,,,,
Defra,EA,15-Sep-11,Environmental Materials,SE Capital WiP,Thermo Fisher Scientific,984280,"26,018.40",937843 Supply and Install S2000 Sarasota Ultrasonic Multipath Open Channel Flowmeter Gauge,CW7 3GA,,30171828,IMTH001411,Project,,,,,
Defra,EA,15-Sep-11,Vehicle Maintenance,SW Capital WiP,HM Revenue & Customs Only,998185,"26,000.00",Licence Fees,,,,,Administration,,,,,
Defra,EA,01-Sep-11,Construction Service Providers,MI Capital WiP,Halcrow Group Ltd,992445,"25,859.10",945967 - Tame PAR's,SN4 0QD,,30071913,IMMI000978,Project,,,,,
Defra,EA,27-Sep-11,Environmental Services,AN Central-Ops Delivery,Country Grounds Maintenance Ltd,1000025,"25,769.40",Grass Bank cutting,PE33 9TP,,30151696,,Project,,,,,
Defra,EA,13-Sep-11,Building Management,FM Operating Unit - Northern,Berkley Estates London Ltd,995322,"25,725.00",948832. Quarterly rent  Stockdale House,W1U 1QS,,,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South East,East Cambridgeshire District Council,949549,"25,591.64",903258 Rates - prickwillow,CB7 4XP,,,,Administration,,,,,
Defra,EA,06-Sep-11,Environmental Materials,NLS Instrumentation,YSI Hydrodata Ltd,993086,"25,500.00",946608 - 6025 Fluorescence Chlorophyll etc,SG6 1FJ,,30240451,NL00000053,Project,,,,,
Defra,EA,20-Sep-11,"Marine, Coastal & Inland Waterways Services",AN Capital WiP,AMEC Environment & Infrastructure UK Ltd,997619,"25,427.66",951113 CBO Phase 3 GW Model,NE3 3PX,,30274977,IMAN000613,Project,,,,,
Defra,EA,01-Sep-11,Construction Service Providers,WA Capital WiP,Atkins Ltd,993503,"25,412.75",947025 Pwll Flood Aleviation Scheme NEECA2-1689-000265,WR5 1TX,,40007995,IMWA000941,Project,,,,,
Defra,EA,06-Sep-11,Construction Service Providers,HO NCPMS Manager,Atkins Ltd,993493,"25,403.50",947015 Neeca2-1689-000135 CDM Consultancy,KT18 5BW,,30072266,NCPMSCDM,Project,,,,,
Defra,EA,08-Sep-11,Construction Service Providers,NW Capital WiP,Haskoning UK Ltd,994611,"25,236.00",948128. Wigton Feasibility and PAR Preparation,PE3 8DW,,30071934,IMNW000827,Project,,,,,
Defra,EA,13-Sep-11,Construction Service Providers,MI Capital WiP,Black & Veatch Ltd,994846,"25,232.54",Isle of Axholme Strategy,RH1 1LQ,,30072271,IMMI000778,Project,,,,,
Defra,EA,08-Sep-11,"Marine, Coastal & Inland Waterways Services",AN Capital WiP,P & R Plant Lincolnshire Ltd,994233,"25,200.00",947750 Labour & Welfare facilities for Spalding Pile refurb in Aug'11 Minor Maintenance Works,PE12 8NG,,30258388,IMAN002140,Administration,,,,,
Defra,EA,08-Sep-11,Environmental Services,SE Capital WiP,FPCR Environment & Design Ltd,994405,"25,168.18",947922 Banbury FAS archaeology works during July 2011.,DE74 2RH,,30105858,IMTH000615,Project,,,,,
Defra,EA,13-Sep-11,Construction Service Providers,SE Capital WiP,Black & Veatch Ltd,994829,"25,154.72",Hydrometric data review,RH1 1LQ,,30072271,IMSO001129,Project,,,,,
Defra,EA,13-Sep-11,Construction Service Providers,SE North East Thames - Flood Risk,Black & Veatch Ltd,994538,"25,125.98",948055 DSI 2011-12 Group 2,RH1 1LQ,,30072271,RESE500009,Project,,,,,
Defra,EA,13-Sep-11,Construction Supplies,MI Capital WiP,Allstone Sand Gravels Aggregates Trading Co Ltd,994427,"25,062.44",947944 Delivery of Clay to Bewdley,GL1 3QD,,,IMMI001107,Project,,,,,
Defra,EA,06-Sep-11,Building Management,NLS Support Starcross,DEFRA,992811,"25,000.00",DEFRA.  Facilities charge for Starcross Lab from 01 April 2011 to 30 June 2012,B3 2ED,,,,Project,,,,,
Defra,EA,13-Sep-11,Environmental Services,"Research, Monitoring and Innovation",University Of Essex,995633,"25,000.00",949143 Project title WFD status in TraC waters assessment & new modes of monitoring,CO4 3SQ,,,HOEV101112,Project,,,,,
