Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Latest Contract Number
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-563213-128638,100000,CRFs - CRII,NW1 2BX,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,BARTS HEALTH NHS TRUST,ERS-563214-128699,109290,Biomedical Units,E1 8PR,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-563215-128682,129920,Quality and Safety Research Centres,W12 0HS,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NHS OXFORDSHIRE CCG 10Q,ERS-563217-128703,46567,Research Capability Funding (STANDARD),OX4 2LH,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NHS BRISTOL CCG 11H,ERS-563218-128705,89406,Research Capability Funding (STANDARD),BS1 3NX,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NHS Cambridgeshire and Peterborough CCG 06H,ERS-563219-128704,50678,Research Capability Funding (STANDARD),CB2 8FH,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NHS NORTH STAFFORDSHIRE CCG 05G,ERS-563220-128706,27986,Research Capability Funding (STANDARD),ST5 1QG,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-563225-128611,118067,Quality and Safety Research Centres,M6 8HD,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-563226-128639,83333,Biomedical Units,NW1 2BX,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,BARTS HEALTH NHS TRUST,ERS-563227-128700,166664,CLAHRCs,E1 8PR,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-563228-128565,165696,CLAHRCs,BS99 1YF,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NHS LIVERPOOL CCG,ERS-563229-128707,133153,CLAHRCs,L1 4AZ,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,ERS-563230-128641,176666,CLAHRCs,CB1 5EE,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,ERS-563231-128586,166666,CLAHRCs,NG3 6AA,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,OXFORD HEALTH NHS FOUNDATION TRUST,ERS-563232-128613,166666,CLAHRCs,OX4 2GX,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-563233-128595,171242,CLAHRCs,S5 7AU,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ERS-563234-128627,166666,CLAHRCs,SW10 9NH,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-563235-128582,180903,CLAHRCs,EX2 5DW,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-563236-128612,174413,CLAHRCs,M6 8HD,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-563237-128636,166666,CLAHRCs,B15 2PR,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-563238-128591,172450,CLAHRCs,SO52 9AB,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NHS LIVERPOOL CCG,ERS-563239-128708,25182,Research Capability Funding (STANDARD),L1 4AZ,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-563240-128602,169999,CLAHRCs,SE5 9RS,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,BARTS HEALTH NHS TRUST,ERS-563241-128701,124626,Research Capability Funding (STANDARD),E1 8PR,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,ERS-563242-128678,27090,Research Capability Funding (STANDARD),B15 2PZ,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-563244-128567,56405,Research Capability Funding (STANDARD),WF3 1WE,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-563246-128578,551807,Research Capability Funding (STANDARD),CB2 2QQ,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,ERS-563247-128642,56774,Research Capability Funding (STANDARD),CB1 5EE,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,ERS-563248-128696,59343,Research Capability Funding (STANDARD),NW1 0PE,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ERS-563250-128628,25583,Research Capability Funding (STANDARD),SW10 9NH,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-563254-128616,150070,Research Capability Funding (STANDARD),WC1N 3JH,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-563255-128600,254679,Research Capability Funding (STANDARD),SE1 9RT,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,HEART OF ENGLAND NHS FOUNDATION TRUST,ERS-563256-128629,29995,Research Capability Funding (STANDARD),B9 5TA,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-563257-128603,52903,Research Capability Funding (STANDARD),SE5 9RS,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-563258-128632,96672,Research Capability Funding (STANDARD),LS9 7TF,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-563259-128695,38770,Research Capability Funding (STANDARD),M21 9UN,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-563260-128619,177668,Research Capability Funding (STANDARD),EC1V 2PD,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NHS BLOOD AND TRANSPLANT (NHSBT),ERS-563261-128694,64227,Research Capability Funding (STANDARD),LS15 7TW,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-563262-128606,25220,Research Capability Funding (STANDARD),NR4 7UY,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NORTH BRISTOL NHS TRUST,ERS-563263-128660,75884,Research Capability Funding (STANDARD),BS1 2NP,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-563266-128673,152398,Research Capability Funding (STANDARD),NG7 2UK,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,OXFORD HEALTH NHS FOUNDATION TRUST,ERS-563267-128614,87086,Research Capability Funding (STANDARD),OX4 2GX,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,ERS-563268-128645,138636,Research Capability Funding (STANDARD),UB9 6JH,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-563270-128583,66801,Research Capability Funding (STANDARD),EX2 5DW,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-563272-128579,83333,Biomedical Units,CB2 2QQ,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-563273-128580,2062642,Bio-Medical Centres,CB2 2QQ,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-563274-128683,435256,Research Capability Funding (STANDARD),W12 0HS,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-563275-128649,161377,Research Capability Funding (STANDARD),NE7 7DN,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-563276-128669,1733400,Comprehensive Networks,LE5 4QF,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-563277-128607,1656341,Comprehensive Networks,NR4 7UY,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-563278-128664,1481733,Comprehensive Networks,M13 0JR,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,ROYAL SURREY COUNTY NHS FOUNDATION TRUST,ERS-563279-128561,1210679,Comprehensive Networks,GU2 7XX,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-563280-128650,1562418,Comprehensive Networks,NE7 7DN,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,BARTS HEALTH NHS TRUST,ERS-563281-128702,2649579,Comprehensive Networks,E1 8PR,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,ERS-563282-128626,1280818,Comprehensive Networks,L7 8XP,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-563283-128684,1123790,Comprehensive Networks,W12 0HS,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-563284-128601,1991886,Comprehensive Networks,SE1 9RT,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-563285-128584,902240,Comprehensive Networks,EX2 5DW,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-563286-128656,1115131,Comprehensive Networks,OX4 2PG,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-563287-128592,1309748,Comprehensive Networks,SO52 9AB,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,THE ROYAL WOLVERHAMPTON NHS TRUST,ERS-563288-128605,2380660,Comprehensive Networks,WV10 0QP,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-563289-128566,1045348,Comprehensive Networks,BS99 1YF,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-563290-128596,2272897,Comprehensive Networks,S5 7AU,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-563291-128640,1849373,Bio-Medical Centres,NW1 2BX,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,BMJ PUBLISHING GROUP LTD,I0077097,218750.22,TARs,WC1H 9JR,,,LARGE,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,YORK UNIVERSITY OF,ERS-563167-128693,61250,HTA - Support for Clinical Trials,YO10 5DD,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,QUEEN MARY UNIVERSITY OF LONDON,ERS-563172-128691,70000,HTA - Support for Clinical Trials,E1 2AX,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,PLYMOUTH UNIVERSITY OF,ERS-563173-128690,26250,HTA - Support for Clinical Trials,PL4 8AA,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,SOUTHAMPTON UNIVERSITY OF,ERS-563174-128692,35000,HTA - Support for Clinical Trials,SO17 1BJ,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,KEELE UNIVERSITY OF,ERS-563222-128687,28574,HTA - Support for Clinical Trials,ST5 5BG,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERS-563223-128685,43750,HTA - Support for Clinical Trials,WC1E 7HT,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NEWCASTLE UNIVERSITY,ERS-563224-128689,78750,HTA - Support for Clinical Trials,NE1 7RU,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,LONDON SCHOOL OF ECONOMICS,ERS-563271-128688,187907.66,National School for Social Care Research,WC2A 2AE,,,PUBLIC,
,,13/10/2016,Professional fees,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,0000074415,55000,To exercise the section 12(2)/Approved Clinician Approvals Function,DN4 8QN,,,PUBLIC,
,,13/10/2016,Professional fees,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",TEES ESK AND WEAR VALLEYS NHS FOUNDATION TRUST,4810008376,60000,To exercise the section 12(2)/Approved Clinician Approvals Function,TS6 0SZ,,,PUBLIC,
,,14/10/2016,Essential Meds SPG - Additions,"DG: INNOVATION, GROWTH & TECHNOLOGY",BRISTOL LABORATORIES LTD,9093616,179440,,,,,LARGE,
,,14/10/2016,Essential Meds SPG - Additions,"DG: INNOVATION, GROWTH & TECHNOLOGY",BRISTOL LABORATORIES LTD,9093618,77367.36,,,,,LARGE,
,,14/10/2016,Essential Meds SPG - Additions,"DG: INNOVATION, GROWTH & TECHNOLOGY",BRISTOL LABORATORIES LTD,9093619,132373.5,,,,,LARGE,
,,14/10/2016,Essential Meds SPG - Additions,"DG: INNOVATION, GROWTH & TECHNOLOGY",BRISTOL LABORATORIES LTD,9093620,36307.5,,,,,LARGE,
,,14/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,BIRMINGHAM UNIVERSITY OF,ERS-563316-128722,29617.53,NIHR Fellowships,B15 2TT,,,PUBLIC,
,,14/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,KINGS COLLEGE LONDON,ERS-563321-128729,25679.9,NIHR Fellowships,SE1 8WA,,,PUBLIC,
,,14/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,IMPERIAL COLLEGE LONDON,ERS-563328-128727,90345.78,NIHR Fellowships,SW7 2AZ,,,PUBLIC,
,,17/10/2016,Outsourcing Contract,DG: GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584219026,31962.36,Xerox Managed Print Service  from Apr 16 – Mar 17,WS11 0JA,,,LARGE,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,HAFS-21902,2688000,,BA1 3QE,,,PUBLIC,
,,17/10/2016,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,BARKING HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST,HAFS-21903,1500000,,WF3 1WE,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,BARKING HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST,HAFS-21904,5025000,,WF3 1WE,,,PUBLIC,
,,17/10/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,HAFS-21905,950000,,S75 2PY,,,PUBLIC,
,,17/10/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-21906,6444000,,SS16 5NL,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,BEDFORD HOSPITAL NHS TRUST,HAFS-21907,2250000,,MK42 9DJ,,,PUBLIC,
,,17/10/2016,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,HAFS-21908,5153000,,BN2 3EW,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,HAFS-21909,7357000,,BN2 3EW,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,HAFS-21910,2438000,,BN2 3EW,,,PUBLIC,
,,17/10/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,CALDERDALE & HUDDERSFIELD NHS FOUNDATION TRUST,HAFS-21911,1970000,,HD3 3EA,,,PUBLIC,
,,17/10/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-21912,7662000,,CB2 2QQ,,,PUBLIC,
,,17/10/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,HAFS-21913,2590000,,CO4 5JL,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,CROYDON HEALTH SERVICES NHS TRUST,HAFS-21915,2205000,,CR7 7YE,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,EAST & NORTH HERTFORDSHIRE NHS TRUST,HAFS-21916,763000,,BS1 2NP,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Capital Investment Loans,DG: Holding CT Core,EAST & NORTH HERTFORDSHIRE NHS TRUST,HAFS-21917,598000,,BS1 2NP,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,EAST SUSSEX HEALTHCARE NHS TRUST,HAFS-21918,2838000,,TN37 7PT,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,EPSOM & ST HELIER UNIVERSITY HOSPITAL NHS TRUST,HAFS-21919,796000,,SM5 1AA,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,EPSOM & ST HELIER UNIVERSITY HOSPITAL NHS TRUST,HAFS-21920,1470000,,SM5 1AA,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,GEORGE ELIOT HOSPITAL NHS TRUST,HAFS-21921,750000,,CV10 7DJ,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Capital Investment Loans,DG: Holding CT Core,GEORGE ELIOT HOSPITAL NHS TRUST,HAFS-21922,1200000,,CV10 7DJ,,,PUBLIC,
,,17/10/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,HAFS-21923,6700000,,GL1 3NN,,,PUBLIC,
,,17/10/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,HAFS-21924,2000000,,SN3 6BB,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,HINCHINGBROOKE HEALTH CARE NHS TRUST,HAFS-21925,3487000,,PE29 6NT,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,KENT & MEDWAY NHS & SOCIAL CARE PARTNERSHIP TRUST,HAFS-21926,1190000,,WF3 1WE,,,PUBLIC,
,,17/10/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,HAFS-21927,1431000,,NN16 8UZ,,,PUBLIC,
,,17/10/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,HAFS-21928,6774000,,SE5 9RS,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,LEEDS TEACHING HOSPITAL NHS TRUST,HAFS-21929,6000000,,LS9 7TF,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,LEWISHAM AND GREENWICH NHS TRUST,HAFS-21930,3260000,,SE13 6LH,,,PUBLIC,
,,17/10/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,LIVERPOOL WOMENS HOSPITAL NHS FOUNDATION TRUST,HAFS-21931,1000000,,L8 7SS,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,LONDON NORTH WEST HEALTHCARE NHS TRUST,HAFS-21932,7647000,,M20 4BX,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,HAFS-21933,560000,,M8 5RB,,,PUBLIC,
,,17/10/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,MEDWAY NHS FOUNDATION TRUST,HAFS-21934,2550000,,ME7 5NY,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,MID ESSEX HOSPITAL SERVICES NHS TRUST,HAFS-21935,3108000,,CM8 2TL,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,MID YORKSHIRE HOSPITALS NHS TRUST,HAFS-21936,1391000,,WF1 4TU,,,PUBLIC,
,,17/10/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,HAFS-21937,3168000,,MK6 5LD,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,HAFS-21938,5117000,,CA2 7HX,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,HAFS-21939,1318000,,NN1 5BD,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Capital Investment Loans,DG: Holding CT Core,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,HAFS-21940,2771000,,NN1 5BD,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,NORTHERN DEVON HEALTHCARE NHS TRUST,HAFS-21941,650000,,EX31 4JB,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,HAFS-21942,175000,,NG5 1PT,,,PUBLIC,
,,17/10/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-21943,5000000,,PE3 6DA,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,PLYMOUTH HOSPITALS NHS TRUST,HAFS-21944,1300000,,WF3 1WE,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,HAFS-21945,2600000,,CM20 1QX,,,PUBLIC,
,,17/10/2016,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,HAFS-21946,2500000,,UB9 6JH,,,PUBLIC,
,,17/10/2016,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,HAFS-21947,2500000,,UB9 6JH,,,PUBLIC,
,,17/10/2016,Additions PDC Revenue Support NHS T Permanent,DG: Holding CT Core,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,HAFS-21948,8145000,,L7 8XP,,,PUBLIC,
,,17/10/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,HAFS-21949,580000,,HA7 4LP,,,PUBLIC,
,,17/10/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-21950,4563000,,NG17 4JL,,,PUBLIC,
,,17/10/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,HAFS-21951,2000000,,SS2 6GE,,,PUBLIC,
,,17/10/2016,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,SOUTHPORT & ORMSKIRK HOSPITAL NHS TRUST,HAFS-21952,350000,,PR8 6PT,,,PUBLIC,
