Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number,Vat Registration Num
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,ROYAL FREE LONDON NHS FOUNDATION TRUST,ERS-542753-108887,"42,969.00",Research Capability Funding (STANDARD),NW3 1QG,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,ERS-542754-108920,"1,324,480.00",Comprehensive Networks,L7 8XP,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,ERS-542754-108920,"20,072.00",Comprehensive Networks,L7 8XP,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,ERS-542754-108920,"109,384.00",Biomedical Units,L7 8XP,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,ERS-542754-108920,"41,337.00",Research Capability Funding (STANDARD),L7 8XP,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,ROYAL SURREY COUNTY NHS FOUNDATION TRUST,ERS-542757-108882,"27,941.00",Network Research Capability Funding,GU2 7XX,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,ROYAL SURREY COUNTY NHS FOUNDATION TRUST,ERS-542757-108882,"1,246,458.00",Network Research Capability Funding,GU2 7XX,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-542759-108913,"93,114.00",Research Capability Funding (STANDARD),M6 8HD,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-542759-108913,"129,798.00",Quality and Safety Research Centres,M6 8HD,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-542759-108913,"174,413.00",CLAHRCs,M6 8HD,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-542760-108904,"2,345,863.00",Comprehensive Networks,S5 7AU,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-542760-108904,"22,430.00",Comprehensive Networks,S5 7AU,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-542760-108904,"191,108.00",CLAHRCs,S5 7AU,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-542760-108904,"59,821.00",CRFs - CRII,S5 7AU,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-542760-108904,"99,703.00",Research Capability Funding (STANDARD),S5 7AU,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-542762-108934,"319,894.00",Research Capability Funding (STANDARD),BR3 3BX,,,PUBLIC,,GB654971403
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-542762-108934,"850,815.00",Bio-Medical Centres,BR3 3BX,,,PUBLIC,,GB654971403
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-542762-108934,"86,250.00",Bio-Medical Centres,BR3 3BX,,,PUBLIC,,GB654971403
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-542762-108934,"86,151.00",CRFs - CRII,BR3 3BX,,,PUBLIC,,GB654971403
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-542762-108934,"19,492.50",Research for Patient Benefit,BR3 3BX,,,PUBLIC,,GB654971403
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,THE CHRISTIE NHS FOUNDATION TRUST,ERS-542766-108893,"81,818.00",CRFs - CRII,M20 4BX,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,THE CHRISTIE NHS FOUNDATION TRUST,ERS-542766-108893,"21,860.00",Research Capability Funding (STANDARD),M20 4BX,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-542770-108930,"166,935.00",Research Capability Funding (STANDARD),NE7 7DN,,,PUBLIC,,GB654968777
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-542770-108930,"1,608,433.00",Comprehensive Networks,NE7 7DN,,,PUBLIC,,GB654968777
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-542770-108930,"20,064.00",Comprehensive Networks,NE7 7DN,,,PUBLIC,,GB654968777
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-542770-108930,"72,727.00",CRFs - CRII,NE7 7DN,,,PUBLIC,,GB654968777
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-542770-108930,"83,333.00",Biomedical Units,NE7 7DN,,,PUBLIC,,GB654968777
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-542770-108930,"352,879.00",Biomedical Units,NE7 7DN,,,PUBLIC,,GB654968777
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-542771-108918,"208,996.00",Research Capability Funding (STANDARD),SM2  5PT,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-542771-108918,"1,025,729.00",Bio-Medical Centres,SM2  5PT,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-542771-108918,"53,615.00",CRFs - CRII,SM2  5PT,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,THE ROYAL WOLVERHAMPTON NHS TRUST,ERS-542772-108910,"25,401.00",Network Research Capability Funding,WV10 0QP,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,THE ROYAL WOLVERHAMPTON NHS TRUST,ERS-542772-108910,"2,477,164.00",Network Research Capability Funding,WV10 0QP,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,THE SOLENT NHS TRUST R1C,ERS-542773-108959,"50,193.00",Research Capability Funding (STANDARD),SO16 4XE,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-542775-108926,"1,827,384.00",Bio-Medical Centres,NW1 2BX,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-542775-108926,"83,333.00",Biomedical Units,NW1 2BX,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-542775-108926,"100,000.00",CRFs - CRII,NW1 2BX,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-542775-108926,"474,979.00",Research Capability Funding (STANDARD),NW1 2BX,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-542776-108925,"115,894.00",Biomedical Units,B15 2PR,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-542776-108925,"209,140.00",Research Capability Funding (STANDARD),B15 2PR,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-542776-108925,"252,399.00",CRFs - CRII,B15 2PR,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-542776-108925,"166,666.00",CLAHRCs,B15 2PR,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ERS-542777-108912,"34,555.00",Research Capability Funding (STANDARD),M23 9LT,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ERS-542777-108912,"45,455.00",CRFs - CRII,M23 9LT,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-542778-108903,"1,274,673.00",Comprehensive Networks,SO52 9AB,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-542778-108903,"20,023.00",Comprehensive Networks,SO52 9AB,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-542778-108903,"172,266.00",CLAHRCs,SO52 9AB,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-542778-108903,"168,076.00",CRFs - CRII,SO52 9AB,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-542778-108903,"158,333.00",Bio-Medical Centres,SO52 9AB,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-542778-108903,"121,910.00",Biomedical Units,SO52 9AB,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-542778-108903,"119,374.00",Research Capability Funding (STANDARD),SO52 9AB,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-542779-108883,"1,045,396.00",Comprehensive Networks,BS99 1YF,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-542779-108883,"20,130.00",Comprehensive Networks,BS99 1YF,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-542779-108883,"166,089.00",CLAHRCs,BS99 1YF,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-542779-108883,"99,814.00",Biomedical Units,BS99 1YF,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-542779-108883,"137,067.00",Research Capability Funding (STANDARD),BS99 1YF,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-542779-108883,"116,170.00",Biomedical Units,BS99 1YF,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITALS COVENTRY & WARWICKSHIRE NHS TRUST,ERS-542781-108909,"78,187.00",Research Capability Funding (STANDARD),CV2 2DX,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-542785-108939,"105,425.00",Research Capability Funding (STANDARD),LE5 4QF,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-542785-108939,"83,333.00",Biomedical Units,LE5 4QF,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-542785-108939,"83,333.00",Biomedical Units,LE5 4QF,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-542785-108939,"135,075.00",Biomedical Units,LE5 4QF,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-542785-108939,"20,028.00",Network Research Capability Funding,LE5 4QF,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-542785-108939,"1,699,709.00",Network Research Capability Funding,LE5 4QF,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584192712,"33,158.00",CCN0015:Yorktel Audio Conferencing,WS11 0JA,,,LARGE,,GB232327983
Department of Health,Department of Health,13/08/2015,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584192713,"20,856.76",PPR0182  - Managed Agency Service ,WS11 0JA,,,LARGE,,GB232327983
Department of Health,Department of Health,13/08/2015,Service charge,DG: IGT,CABLE AND WIRELESS COMMUNICATION (VODAFONE),454617,"134,889.52","Revenue: 2015/16 NHS Mail Vodafone - : SMS contract to cover spend for services between April - June 2015 	",RG12 1RW,,,LARGE,,GB232303710
Department of Health,Department of Health,13/08/2015,Service charge,DG: IGT,CABLE AND WIRELESS COMMUNICATION (VODAFONE),454617,"211,455.86",Revenue: charges for the Period commencing FY15/16: NHS Mail Extension Vodafone - SMS contract to cover spend for services between April - June 2015.,RG12 1RW,,,LARGE,,GB232303710
Department of Health,Department of Health,13/08/2015,Outsourcing Contract,DG: PHD,SERCO LTD,91153066,"233,011.60",Serco Ltd - For services provided on the Healthy Start Issuing Unit (HSIU) - April 2014 to March 2017,RG27 9UY,,,LARGE,,GB207523388
Department of Health,Department of Health,13/08/2015,Outsourcing Contract,DG: PHD,SERCO LTD,91164704,"233,941.55",Serco Ltd - For services provided on the Healthy Start Issuing Unit (HSIU) - April 2014 to March 2017,RG27 9UY,,,LARGE,,GB207523388
Department of Health,Department of Health,13/08/2015,Research & development,DG: PHD,Essentra Filters Products Ltd,ESS428,"22,707.83","Procurement of services: for a testing laboratory to conduct an annual survey of the mainstream yields of Tar (T), Nicotine (N) and Carbon monoxide (CO) of all cigarette brands on sale in the UK",NE32 3UP,,,LARGE,13861,GB243290968
Department of Health,Department of Health,13/08/2015,Research & development,DG: PHD,Essentra Filters Products Ltd,ESS428,"22,707.83","Procurement of services: for a testing laboratory to conduct an annual survey of the mainstream yields of Tar (T), Nicotine (N) and Carbon monoxide (CO) of all cigarette brands on sale in the UK",NE32 3UP,,,LARGE,13953,GB243290968
Department of Health,Department of Health,13/08/2015,Outsourcing Contract,DG: SFNHS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-444,"296,116.52",April 15 - March 16 CCN Charges,SL1 2EJ,,,LARGE,,GB904440552
Department of Health,Department of Health,13/08/2015,IT minor costs non capital,DG: GOAD,MICROSOFT LTD,9620836249,"35,208.00",Microsoft Custom Extended Support Agreement and Premier Support Contract,RG6 1WG,,,LARGE,,
Department of Health,Department of Health,13/08/2015,Other creditors (ST),DG: Central Technical,CABINET OFFICE,RETURN OF 14/15 PHE DATA GRANT,"200,000.00",,FY5 3TA,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,OXFORD UNIVERSITY OF,121010188,"27,479.50",RDD Programme Support - Miscellaneous,OX1 2XN,,,PUBLIC,,GB195275334
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-542748-108953,"518,729.00",School of Primary Care Research,OX1 2XN,,,PUBLIC,,GB195275334
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,SURREY UNIVERSITY OF,ERS-542765-108954,"26,664.00",PROJECTS,GU2 7XH,,,PUBLIC,,GB688953065
Department of Health,Department of Health,13/08/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,NATIONAL CHILDRENS BUREAU LTD,ERS-542806-108881,"63,631.00",IESD 2013/14 - National Childrens Bureau - Delivering better for children with long term conditions - 2571437,EC1V 7QE,,,VCS,,GB645183336
Department of Health,Department of Health,14/08/2015,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV012026,"482,000.00",FY15/16 Residual Services,CV34 6NZ,,,LARGE,,GB927438206
Department of Health,Department of Health,14/08/2015,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584192818,"119,295.22",Telephony - Managed Agency Service (MAS),WS11 0JA,,,LARGE,,GB232327983
Department of Health,Department of Health,14/08/2015,Service charge,DG: IGT,BT GROUP PLC,380958,"427,253.04","Revenue:  SUS Spine BT:  - 14/15 accrued CCN 896 -SUS integration with IAM 	 ",NW9 5BA,,,LARGE,,GB245719348
Department of Health,Department of Health,14/08/2015,Service charge,DG: IGT,BT GROUP PLC,380958,0.14,,NW9 5BA,,,LARGE,,GB245719348
Department of Health,Department of Health,14/08/2015,Service charge,DG: IGT,ENTRUST INC.,730802932,"289,643.22",Revenue: F/Y 2015/16  Spine 2 Entrust - Entrust Software Licenses and Support ,K2K 3E7, ,,LARGE,,
Department of Health,Department of Health,14/08/2015,Service charge,DG: IGT,INTECHNOLOGY LTD,ISIN10204,"76,167.18","Revenue: 2015/16 Intechnology SUS Spine INT1 CCN031 - Extension To Order Form & Inclusion of SUS hosting Services 	 ",HG3 1UG,,,SME,,
Department of Health,Department of Health,14/08/2015,Outsourcing Contract,DG: PHD,MULTI RESOURCE MARKETING LTD,129956,"21,282.89",Nursery Milk Reimbursement Unit (NMRU) - 1st February 2015 to 31st March 2016,LE16 9NR,,,SME,,GB817665306
Department of Health,Department of Health,14/08/2015,Outsourcing Contract,DG: PHD,MULTI RESOURCE MARKETING LTD,129957,"48,504.98",Healthy Start Reimbursement Unit (HSRU) - 2015-16 to 2017-18,LE16 9NR,,,SME,,GB817665306
Department of Health,Department of Health,14/08/2015,Outsourcing Contract,DG: SFNHS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-443,"2,392,497.07",April 15 - March 16 Core Service Charges,SL1 2EJ,,,LARGE,,GB904440552
Department of Health,Department of Health,14/08/2015,Policy Payments,DG: GOAD,CABINET OFFICE,250012955,"349,284.58",Cabinet Office CSHR  funding schedule ,CF14 3UW,,,PUBLIC,,
Department of Health,Department of Health,14/08/2015,Outsourcing Contract,DG: PHD,HERTFORDSHIRE UNIVERSITY OF,88598,"36,715.60",4th and final year of WHO Health Behaviour in School Aged Children study for period covering April - Dec. 2015,AL10 9AB,,,PUBLIC,,
Department of Health,Department of Health,14/08/2015,ENDPBs Admin Capital Grant in Aid,DG: SCLGCP,HOMES AND COMMUNITIES AGENCY (HCA),S0011365,"925,000.00",HCA - CASSH Fund Capital Payments 15/16,NE11 0NA,,,PUBLIC,,
Department of Health,Department of Health,14/08/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,MIND,ERS-542837-109001,"36,165.00",2013-14  IESD- AIMS ref 2557398- MIND - project: Service transformation across one mind,E15 4BQ,,,VCS,,
Department of Health,Department of Health,17/08/2015,Additions NHS Trust Working Capital Loans,DG: Central Technical,BEDFORD HOSPITAL NHS TRUST,HAFS-18657,"1,450,000.00",,MK42 9DJ,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS Trust Working Capital Loans,DG: Central Technical,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,HAFS-18658,"4,000,000.00",,HP7 0JD,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS FTs Working Capital Loans,DG: Central Technical,BURTON HOSPITALS NHS FOUNDATION TRUST,HAFS-18659,"2,815,000.00",,DE13 0RB,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS FTs Working Capital Loans,DG: Central Technical,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,HAFS-18660,"2,200,000.00",,CO4 5JL,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS Trust Working Capital Loans,DG: Central Technical,CROYDON HEALTH SERVICES NHS TRUST,HAFS-18661,"3,000,000.00",,CR7 7YE,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS Trust Working Capital Loans,DG: Central Technical,EAST SUSSEX HEALTHCARE NHS TRUST,HAFS-18662,"2,000,000.00",,TN37 7PT,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS Trust Working Capital Loans,DG: Central Technical,GEORGE ELIOT HOSPITAL NHS TRUST,HAFS-18663,"1,400,000.00",,CV10 7DJ,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS Trust Working Capital Loans,DG: Central Technical,HINCHINGBROOKE HEALTH CARE NHS TRUST,HAFS-18664,"800,000.00",,PE29 6NT,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS FTs Working Capital Loans,DG: Central Technical,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,HAFS-18665,"3,483,000.00",,NN16 8UZ,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS FTs Working Capital Loans,DG: Central Technical,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,HAFS-18666,"16,512,000.00",,SE5 9RS,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS Trust Working Capital Loans,DG: Central Technical,LONDON NORTH WEST HEALTHCARE NHS TRUST,HAFS-18667,"8,998,000.00",,M20 4BX,,,PUBLIC,,654463720
Department of Health,Department of Health,17/08/2015,Additions NHS FTs Working Capital Loans,DG: Central Technical,MEDWAY NHS FOUNDATION TRUST,HAFS-18668,"5,788,000.00",,ME7 5NY,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS Trust Working Capital Loans,DG: Central Technical,MID ESSEX HOSPITAL SERVICES NHS TRUST,HAFS-18669,"2,100,000.00",,CM8 2TL,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS Trust Working Capital Loans,DG: Central Technical,MID YORKSHIRE HOSPITALS NHS TRUST,HAFS-18670,"5,270,000.00",,WF1 4TU,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS FTs Working Capital Loans,DG: Central Technical,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,HAFS-18671,"962,000.00",,MK6 5LD,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS Trust Working Capital Loans,DG: Central Technical,NORTH BRISTOL NHS TRUST,HAFS-18672,"1,513,000.00",,BS1 2NP,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS Trust Working Capital Loans,DG: Central Technical,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,HAFS-18673,"1,500,000.00",,NN1 5BD,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS Trust Working Capital Loans,DG: Central Technical,PORTSMOUTH HOSPITAL NHS TRUST,HAFS-18674,"5,500,000.00",,PO6 3LY,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS FTs Working Capital Loans,DG: Central Technical,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-18675,"2,606,000.00",,NG17 4JL,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS Trust Working Capital Loans,DG: Central Technical,SOUTHPORT & ORMSKIRK HOSPITAL NHS TRUST,HAFS-18676,"795,000.00",,PR8 6PT,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS Trust Working Capital Loans,DG: Central Technical,THE IPSWICH HOSPITAL NHS TRUST,HAFS-18677,"1,773,000.00",,IP4 5PD,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS FTs Working Capital Loans,DG: Central Technical,THE QUEEN ELIZABETH HOSPITAL KINGS LYNN NHS FOUNDATION TRUST,HAFS-18678,"1,000,000.00",,PE30 4ET,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS Trust Working Capital Loans,DG: Central Technical,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,HAFS-18679,"8,800,000.00",,LN2 5QY,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS Trust Working Capital Loans,DG: Central Technical,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,HAFS-18680,"6,000,000.00",,LE5 4QF,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS FTs Working Capital Loans,DG: Central Technical,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,HAFS-18681,"4,328,000.00",,LA1 4GG,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS Trust Working Capital Loans,DG: Central Technical,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,HAFS-18682,"3,290,000.00",,WD18 0BH,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS Trust Working Capital Loans,DG: Central Technical,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,HAFS-18683,"2,584,000.00",,WR5 1DD,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS Trust Working Capital Loans,DG: Central Technical,WYE VALLEY NHS TRUST,HAFS-18684,"1,430,000.00",,HR1 2ER,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS FTs Capital Investment Loans,DG: Central Technical,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",HAFS-18685,"2,100,000.00",,,,,PUBLIC,,
Department of Health,Department of Health,17/08/2015,Additions NHS Trust Capital Investment Loans,DG: Central Technical,WYE VALLEY NHS TRUST,HAFS-18686,"443,000.00",,HR1 2ER,,,PUBLIC,,
