MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,06/03/2013,LEGAL AID FUND - Programme Costs,SCOTT-MONCRIEFF & ASSOCIATES LLP,128627522,"64,300.00",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,06/03/2013,LEGAL AID FUND - Programme Costs,CHAMBERS SOLICITORS,128628159,"64,117.00",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,HENRY HYAMS,128629136,"63,800.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,ALLEN HOOLE SOLICITORS,128629436,"63,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,GARSTANGS BURROWS BUSSIN LLP,128808160,"62,953.27",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,ANDREW J HALL QC,128872262,"62,749.74",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,ANDREW KEENAN & CO,128873089,"62,686.45",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,SMITH PARTNERSHIP,128628672,"62,600.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,WELLS BURCOMBE LLP,128630260,"62,315.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,BENJAMIN A O AINA,128850178,"62,187.90",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,CROWE HUMBLE WESENCRAFT,128629048,"61,700.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,ROBERT G MARSHALL-ANDREWS QC,128809087,"61,426.80",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,MORGAN CULLEN BALL LLP,128630412,"61,405.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,STUART F DRIVER QC,128851012,"61,308.42",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,STRINGFELLOW & CO,128656875,"61,296.28",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,SONN MACMILLAN WALKER LTD,128628783,"61,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,6/26/2013,LEGAL AID FUND - Programme Costs,H JONATHAN FURNESS Q.C.,129015179,"60,984.00",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,SMITH PARTNERSHIP,128918996,"60,843.53",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,LAWTONS SOLICITORS LTD,128628710,"60,800.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,JOEL N BENNATHAN QC,128560738,"60,390.54",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,06/03/2013,LEGAL AID FUND - Programme Costs,SWITALSKIS-WAKEFIELD CLAS,128523435,"60,361.28",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/21/2013,LEGAL AID FUND - Programme Costs,JOANNA E G GREENBERG QC,129053019,"60,332.70",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,SWAIN & CO SOLICITORS LLP,128629348,"60,300.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,06/03/2013,LEGAL AID FUND - Programme Costs,RACHEL E ROWLEY,128646624,"60,192.00",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,YASMIN & SHAID SOLICITORS LTD,128631408,"60,139.98",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,G T STEWART SOLICITORS,128629839,"60,090.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,HOWARD BERNSTEIN SOLICITORS,128655931,"60,046.31",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,RMNJ SOLICITORS ***,128628970,"59,800.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/21/2013,LEGAL AID FUND - Programme Costs,MPR SOLICITORS LLP [ADVOCATE],129051715,"59,569.75",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,AMOSU ROBINSHAW,128656791,"59,563.95",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/21/2013,LEGAL AID FUND - Programme Costs,GARSTANGS BURROWS BUSSIN LLP,128979975,"59,384.34",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/07/2013,LEGAL AID FUND - Programme Costs,CARTWRIGHT KING SOLICITORS,128710768,"59,250.48",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,06/03/2013,LEGAL AID FUND - Programme Costs,PETER EDWARDS LAW LTD,128627432,"59,200.00",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,BURTON COPELAND LLP,128630000,"59,016.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/21/2013,LEGAL AID FUND - Programme Costs,SARAH A FORSHAW QC,129053129,"58,834.48",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,GHP LEGAL,128628602,"58,700.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,KAIM TODNER SOLICITORS LIMITED,128629775,"58,520.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,6/14/2013,LEGAL AID FUND - Programme Costs,THOMAS HICKMAN,128524440,"58,234.76",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,06/03/2013,LEGAL AID FUND - Programme Costs,LAWANA & CO,128627462,"58,200.00",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/21/2013,LEGAL AID FUND - Programme Costs,BARK & CO,129044850,"58,161.01",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,NELSON GUEST & PARTNERS,128628858,"58,100.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,STERNBERG REED SOLICITORS,128628892,"58,100.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,IRVINE THANVI NATAS SOLICITORS,128628809,"58,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,HENNESSY & HAMMUDI,128629393,"57,500.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/21/2013,LEGAL AID FUND - Programme Costs,GHP LEGAL,128979888,"57,412.55",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,GOLDKORNS,128580433,"57,248.71",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,IMRAN KHAN & PARTNERS,128656040,"57,248.71",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/21/2013,LEGAL AID FUND - Programme Costs,RUSTEM GUARDIAN SOLICITORS,129004792,"57,248.71",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,CARR & CO,128629107,"56,600.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,6/14/2013,LEGAL AID FUND - Programme Costs,PHILIP A BOOTH,128837193,"56,370.00",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,HINE SOLICITORS,128630252,"56,290.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,HASKELL & CO,128630009,"56,266.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,BAXTER BROWN MCARTHUR SOLICITORS,128628834,"55,400.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,BLACKFORDS LLP,128629780,"55,355.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,06/03/2013,LEGAL AID FUND - Programme Costs,PARAGON LAW LTD,128627822,"55,000.00",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,BELMORES SOLICITORS LTD,128628734,"55,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,GEOFF WHITE & CO,128629329,"55,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,06/03/2013,LEGAL AID FUND - Programme Costs,THOMPSON & CO,128587625,"54,837.00",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,STEVENS SOLICITORS,128629514,"54,700.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/07/2013,LEGAL AID FUND - Programme Costs,JANES SOLICITORS,128712177,"54,657.21",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,MOHAMMED & CO,128593599,"54,656.34",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,JERMAN SAMUELS & PEARSON LLP,128628726,"54,600.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,06/07/2013,LEGAL AID FUND - Programme Costs,EMERY HOGG AND CO,128752892,"54,585.47",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,CUNNINGHAMS DRAYCOTT BROWNE LTD,128631493,"54,497.60",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,CORKER BINNING,128632390,"54,497.60",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/07/2013,LEGAL AID FUND - Programme Costs,MAIDMENTS LTD,128745102,"54,497.60",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,HODGE JONES & ALLEN LLP,128632235,"54,490.56",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,CITY LAW,128560676,"54,399.32",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,SHARMA LAW SOLICITORS,128630340,"54,374.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,BYRNE & PARTNERS LLP,128531142,"54,216.34",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,SMITH PARTNERSHIP,128628675,"54,200.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,6/14/2013,LEGAL AID FUND - Programme Costs,PHILIP A BOOTH,128003546,"54,156.00",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,THE GRECH GOODEN PARTNERSHIP,128629678,"54,133.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/21/2013,LEGAL AID FUND - Programme Costs,RUSTEM GUARDIAN SOLICITORS,128927541,"54,077.76",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,SLATER & GORDON (UK) LLP,128655990,"54,049.68",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,JANES SOLICITORS,128888502,"54,021.60",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,6/26/2013,LEGAL AID FUND - Programme Costs,JOHN A HAYES,128929623,"53,953.56",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,K LEGAL SOLICITORS,128630337,"53,894.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,HOWARD & BYRNE SOLICITORS,128629104,"53,600.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,WADDINGTON & SON,128613090,"53,517.74",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,SANSBURY DOUGLAS,128629602,"53,500.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,EDWARDS DUTHIE,128656869,"53,314.22",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,STERNBERG REED SOLICITORS,128919314,"53,314.22",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/21/2013,LEGAL AID FUND - Programme Costs,HENSCOTT SOLICITORS,128980206,"53,314.22",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,FORBES SOLICITORS,128629235,"53,300.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,TUCKERS SOLICITORS,128629531,"53,200.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,06/03/2013,LEGAL AID FUND - Programme Costs,HENRY J SETRIGHT,126380007,"53,138.45",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,CONNOR ROSS-BROWN SOLICITORS,128629634,"53,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,BOBBETTS MACKAN,128629431,"52,800.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,KENT DEFENCE,128629590,"52,800.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,BIRDS SOLICITORS LTD,128628830,"52,700.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,CARTWRIGHT KING SOLICITORS,128628676,"52,600.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,WAINWRIGHT & CUMMINS LLP,128628957,"52,600.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,PETER J DOYLE Q.C.,128539175,"52,523.74",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,OLLIERS,128629972,"52,493.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,OSLERS SOLICITORS,128628750,"52,300.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,CLARKE KIERNAN,128629304,"52,200.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/07/2013,LEGAL AID FUND - Programme Costs,EBR ATTRIDGE,128769706,"52,020.09",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/21/2013,LEGAL AID FUND - Programme Costs,LINCOLNS SOLICITORS,129051959,"52,018.90",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,06/03/2013,LEGAL AID FUND - Programme Costs,THOMAS HORTON LLP,128620266,"52,018.13",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,06/03/2013,LEGAL AID FUND - Programme Costs,PETERS & CO SOLICITORS,128627201,"52,000.00",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,HINE SOLICITORS,128630250,"51,862.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,THE JOHNSON PARTNERSHIP,128629607,"51,800.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,06/03/2013,LEGAL AID FUND - Programme Costs,PARKER RHODES HICKMOTTS,128627353,"51,500.00",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,FORBES SOLICITORS,128629229,"51,400.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,06/03/2013,LEGAL AID FUND - Programme Costs,HODGE JONES & ALLEN LLP,128628233,"51,363.00",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,06/03/2013,LEGAL AID FUND - Programme Costs,HOWELLS LLP ( LEICESTER CLAC ),128529898,"51,059.78",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,6/21/2013,LEGAL AID FUND - Programme Costs,IRVINE THANVI NATAS SOLICITORS,128785524,"51,050.63",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,JULIAN YOUNG & CO,128628919,"51,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,6/26/2013,LEGAL AID FUND - Programme Costs,JOHN A PITT VATER,128646221,"50,981.40",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,TUCKERS,128906433,"50,746.25",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,HINE SOLICITORS,128630249,"50,659.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,DE MAIDS SOLICITORS & ADVOCATES,128632354,"50,643.86",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,KELCEY & HALL SOLICITORS,128808512,"50,540.10",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,GEPP & SONS SOLICITORS,128628752,"50,300.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,GARSTANGS BURROWS BUSSIN LLP,128640699,"50,294.70",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/21/2013,LEGAL AID FUND - Programme Costs,LAWTONS SOLICITORS LTD,129051604,"50,030.33",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,B H MOHAMMED,128873429,"50,027.63",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,06/03/2013,LEGAL AID FUND - Programme Costs,QUALITY SOLICITORS CMHT ***,128626986,"50,000.00",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,MURRAY HENNIGAN,128629631,"50,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,06/03/2013,LEGAL AID FUND - Programme Costs,EDWARDS DUTHIE-BARKING & DAGENHAM CLAC,128642200,"50,000.00",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,6/14/2013,LEGAL AID FUND - Programme Costs,J D SPICER ZEB,128909250,"50,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,DJMS SOLICITORS LTD TA PETER THUBRON & CO,128629875,"49,961.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,APPLEBY HOPE & MATTHEWS,128629054,"49,800.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,6/21/2013,LEGAL AID FUND - Programme Costs,SALLY F BRADLEY Q.C.,129038972,"49,752.00",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,TOSSWILL & CO,128655835,"49,484.43",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,JAMES G C DOYLE,128604491,"49,307.14",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,CARTWRIGHT KING,128628678,"49,200.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,M K LAW SOLICITORS LTD,128630258,"49,096.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,ALTAF SOLICITORS LTD,128872945,"49,029.16",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,ROBERT LIZAR SOLICITORS,128629283,"49,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/07/2013,LEGAL AID FUND - Programme Costs,C R BURTON & CO,128793761,"48,767.08",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,KANGS SOLICITORS,128888636,"48,631.50",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,6/26/2013,LEGAL AID FUND - Programme Costs,JEREMY P WESTON,128007120,"48,624.90",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,ROWE SPARKES SOLICITORS LTD,128629354,"48,500.00",Legal Aid Payments: Crime Lower
