Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Num,,
Department of Health,Department of Health,17/05/2010,Research & development,RESEARCH & DEVELOPMENT,IMPERIAL COLLEGE LONDON,10074908,72919.25,,,
Department of Health,Department of Health,17/05/2010,Research & development,RESEARCH & DEVELOPMENT,IMPERIAL COLLEGE LONDON,10072724,306437,,,
Department of Health,Department of Health,17/05/2010,Research & development,RESEARCH & DEVELOPMENT,UNIVERSITY COLLEGE LONDON (UCL),ERS-385224-29363,72341,,,
Department of Health,Department of Health,17/05/2010,Revenue Grant in Aid to NDPBs,HEALTH PROTECTION AND IMPROVEMENT,HEALTH PROTECTION AGENCY (HPA),FUNDING MAY 2010,14000000,,,
Department of Health,Department of Health,17/05/2010,Revenue Grants Other to NDPBs and Other Bodies,WORKFORCE,OFFICE OF THE HEALTH PROFESSIONS ADJUDICATOR OHPA,GRANT DLG-PS-OPHA-02,225027,,,
Department of Health,Department of Health,17/05/2010,Security: contract,FINANCE & OPERATIONS,SENATOR SECURITY SERVICES,69166,30079.78,,,
Department of Health,Department of Health,17/05/2010,Security: contract,FINANCE & OPERATIONS,SENATOR SECURITY SERVICES,69163,46984.21,,,
Department of Health,Department of Health,17/05/2010,Security: contract,FINANCE & OPERATIONS,SENATOR SECURITY SERVICES,69165,22068.47,,,
Department of Health,Department of Health,17/05/2010,Service charge,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),725140,37300,,,
Department of Health,Department of Health,17/05/2010,Staff Consultancy & Suppt,INFORMATICS,ASE CONSULTING LTD,10777703,23625,,,
Department of Health,Department of Health,17/05/2010,Staff Consultancy & Suppt,INFORMATICS,CABLE & WIRELESS UK,10874826,44711.8,,,
Department of Health,Department of Health,17/05/2010,Staff Consultancy & Suppt,INFORMATICS,CABLE & WIRELESS UK,10874825,54491.37,,,
Department of Health,Department of Health,17/05/2010,Staff Consultancy & Suppt,INFORMATICS,PA CONSULTING SERVICES LTD,10798946,38532,,,
Department of Health,Department of Health,17/05/2010,Training Expenses,INFORMATICS,CAPGEMINI UK PLC,10859825,60000,,,
Department of Health,Department of Health,17/05/2010,Utilities,FINANCE & OPERATIONS,HM REVENUE AND CUSTOMS (HMRC),5020647,35714.64,,,
Department of Health,Department of Health,17/05/2010,Utilities,FINANCE & OPERATIONS,HM REVENUE AND CUSTOMS (HMRC),5020647,-0.03,,,
Department of Health,Department of Health,18/05/2010,Addition Clearing - Other Land and Buildings,FINANCE & OPERATIONS,EMCOR FACILITIES SERVICES LTD,00166246RI,176250,,,
Department of Health,Department of Health,18/05/2010,Addition Clearing - Software Licences,WORKFORCE,METHODS CONSULTING,100010032,42270.63,,,
Department of Health,Department of Health,18/05/2010,Computer Software/License,INFORMATICS,CAPGEMINI UK PLC,9965459,78000,,,
Department of Health,Department of Health,18/05/2010,Computer Software/License,INFORMATICS,CAPGEMINI UK PLC,10859824,-89700,,,
Department of Health,Department of Health,18/05/2010,Conferences & seminars,FINANCE & OPERATIONS,EXPOTEL HOTEL RESERVATIONS LTD,620045,223564.51,,,
Department of Health,Department of Health,18/05/2010,Conferences & seminars,SOCIAL CARE,CENTRAL OFFICE OF INFORMATION (COI),717160,90499,,,
Department of Health,Department of Health,18/05/2010,Construction in Progress Addition Clearing - Leased-Other Land and Buildings,FINANCE & OPERATIONS,BRIGGS AND FORRESTER LTD,4346RET,35983.27,,,
Department of Health,Department of Health,18/05/2010,Consultancy/Professional Advice,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),714264,175298.25,,,
Department of Health,Department of Health,18/05/2010,Consultancy/Professional Advice,NHS FINANCE PERFORMANCE & OPERATIONS,DLA PIPER UK LLP,7109767,53213.22,,,
Department of Health,Department of Health,18/05/2010,Government telephone network,FINANCE & OPERATIONS,BUYING SOLUTIONS,SINMSD7648,97574.57,,,
Department of Health,Department of Health,18/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,DEAFBLIND UK,ERS-385428-29401,35827,,,
Department of Health,Department of Health,18/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,OXFORDSHIRE MIND,ERS-385429-29402,50920,,,
Department of Health,Department of Health,18/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,SUE RYDER CARE,ERS-385433-29403,33423,,,
Department of Health,Department of Health,18/05/2010,IT minor costs non capital,FINANCE & OPERATIONS,ORACLE CORPORATION UK LTD,1293732,19095.13,,,
Department of Health,Department of Health,18/05/2010,IT minor costs non capital,FINANCE & OPERATIONS,ORACLE CORPORATION UK LTD,1293732,109114.98,,,
Department of Health,Department of Health,18/05/2010,IT minor costs non capital,FINANCE & OPERATIONS,SIRSIDYNIX,INVMT000000014674,31710.69,,,
Department of Health,Department of Health,18/05/2010,Other programme expenditure,HEALTH PROTECTION AND IMPROVEMENT,CENTRAL OFFICE OF INFORMATION (COI),713723,204103.49,,,
Department of Health,Department of Health,18/05/2010,Other programme expenditure,HEALTH PROTECTION AND IMPROVEMENT,CENTRAL OFFICE OF INFORMATION (COI),713725,200843.31,,,
Department of Health,Department of Health,18/05/2010,Other programme expenditure,HEALTH PROTECTION AND IMPROVEMENT,HEALTH AND SOCIAL CARE INFORMATION CENTRE,12591598,216666.67,,,
Department of Health,Department of Health,18/05/2010,Other programme expenditure,SOCIAL CARE,THE MENTAL HEALTH FOUNDATION,VPST04,44650,,,
Department of Health,Department of Health,18/05/2010,Outsourcing Contract,COMMISSIONING,POHWER,A10100511-02,139708,,,
Department of Health,Department of Health,18/05/2010,Outsourcing Contract,COMMISSIONING,POHWER,A20100511-01,115932,,,
Department of Health,Department of Health,18/05/2010,Outsourcing Contract,COMMISSIONING,POHWER,A3010051-03,99069,,,
Department of Health,Department of Health,18/05/2010,Outsourcing Contract,COMMISSIONING,South of England Advocacy Projects,SIN001629,291111.5,,,
Department of Health,Department of Health,18/05/2010,Outsourcing Contract,COMMUNICATIONS,SOUTH EAST COAST SHA,15111821,44000,,,
Department of Health,Department of Health,18/05/2010,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,CARE UK CLINICAL SERVICES LTD,25629231,2194346.71,,,
Department of Health,Department of Health,18/05/2010,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,UKSH SOUTH WEST LTD,UKSHSW/49,2852767.66,,,
Department of Health,Department of Health,18/05/2010,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,UKSH SOUTH WEST LTD,UKSHSW/50,121193.07,,,
Department of Health,Department of Health,18/05/2010,Outsourcing Contract,WORKFORCE,CLARITY Informatics Ltd,44,34319.8,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,120.98,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,312.49,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,236.1,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,226.52,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,211.18,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,80.05,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,1270.27,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,630.11,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,1958.91,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,841.45,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,206,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,84.07,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,327.83,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,48.67,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,23.5,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,446.27,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,374.45,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,19.78,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,1987.76,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,161.27,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,1258.54,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,156.12,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,878.5,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,612.82,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,0.32,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,35.43,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,379.81,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,15.44,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,0.32,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,49.91,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,168.78,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,139.48,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,134.94,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,142.34,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,284.89,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,7.19,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,319.26,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,423.63,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,957.67,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,787.52,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,21.89,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,1067.58,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,105.75,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,3160.16,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,1751.62,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,94,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,551.38,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,152.39,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,34.05,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,139.17,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,245.45,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,81.53,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,202.09,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,94.59,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,429.87,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,397.73,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,94.74,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,63.56,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,2979.08,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,161.69,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,126.79,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,786.11,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,240.69,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,63.87,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,832.57,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,812.05,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,808.88,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,12.9,,,
Department of Health,Department of Health,18/05/2010,Phone Rental and Calls,INFORMATICS,INTERCALL,10874836,70.5,,,
Department of Health,Department of Health,18/05/2010,Printing,SOCIAL CARE,CENTRAL OFFICE OF INFORMATION (COI),725191,14300,,,
Department of Health,Department of Health,18/05/2010,Printing,SOCIAL CARE,CENTRAL OFFICE OF INFORMATION (COI),725191,105919,,,
Department of Health,Department of Health,18/05/2010,Printing,SOCIAL CARE,CENTRAL OFFICE OF INFORMATION (COI),725191,3500,,,
Department of Health,Department of Health,18/05/2010,Printing,SOCIAL CARE,CENTRAL OFFICE OF INFORMATION (COI),725200,27528,,,
Department of Health,Department of Health,18/05/2010,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),725230,77962.5,,,
Department of Health,Department of Health,18/05/2010,Publicity & advertising,HEALTH PROTECTION AND IMPROVEMENT,CENTRAL OFFICE OF INFORMATION (COI),712604,153155,,,
Department of Health,Department of Health,18/05/2010,Secondees in invoiced costs,HEALTH PROTECTION AND IMPROVEMENT,NORTH EAST SHA,502243,39501.95,,,
Department of Health,Department of Health,18/05/2010,Secondees in invoiced costs,POLICY & STRATEGY,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),5580810,25480.26,,,
Department of Health,Department of Health,18/05/2010,Secondees in invoiced costs,SOCIAL CARE,SOCIAL CARE INSTITUTE FOR EXCELLENCE (SCIE),IVC00939,37000,,,
Department of Health,Department of Health,18/05/2010,Service charge,INFORMATICS,CSC COMPUTER SCIENCES LTD,5201184381,5058817.35,,,
Department of Health,Department of Health,18/05/2010,Service charge,INFORMATICS,CSC COMPUTER SCIENCES LTD,5201184400,26097.67,,,
Department of Health,Department of Health,18/05/2010,Service charge,INFORMATICS,CSC COMPUTER SCIENCES LTD,5201184495PART PAYT,5386926.06,,,
Department of Health,Department of Health,18/05/2010,Service charge,INFORMATICS,FUJITSU SERVICES LTD,200101,918000.17,,,
Department of Health,Department of Health,18/05/2010,Service charge,INFORMATICS,THE ACCENTURE GROUP,3003125861,30492.61,,,
Department of Health,Department of Health,18/05/2010,Service charge,INFORMATICS,THE ACCENTURE GROUP,3003125864,967542.81,,,
Department of Health,Department of Health,18/05/2010,Service charge,INFORMATICS,THE ACCENTURE GROUP,3003125866,1145348.97,,,
Department of Health,Department of Health,18/05/2010,Service charge,INFORMATICS,THE ACCENTURE GROUP,3003126135,350255,,,
Department of Health,Department of Health,18/05/2010,Service charge,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,INV005632,90037.45,,,
Department of Health,Department of Health,18/05/2010,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,10867402,23974.5,,,
Department of Health,Department of Health,18/05/2010,Stationery,FINANCE & OPERATIONS,OFFICE DEPOT UK LTD,87632803,26484.4,,,
Department of Health,Department of Health,18/05/2010,Stationery,FINANCE & OPERATIONS,OFFICE DEPOT UK LTD,87632803,4631.87,,,
Department of Health,Department of Health,18/05/2010,Stock Essential Medicines Additions,NHS MEDICAL DIRECTOR,B BRAUN MEDICAL LTD,137701875/15.04.2010,97591.06,,,
Department of Health,Department of Health,18/05/2010,Stock Essential Medicines Additions,NHS MEDICAL DIRECTOR,KENT PHARMACEUTICALS LTD,SP02431,113284.29,,,
Department of Health,Department of Health,18/05/2010,Stock Essential Medicines Additions,NHS MEDICAL DIRECTOR,SANOFI AVENTIS,4700000080,50527.28,,,
Department of Health,Department of Health,18/05/2010,Telephone installation & maintenance,FINANCE & OPERATIONS,BUYING SOLUTIONS,SINMSD7648,8902.39,,,
Department of Health,Department of Health,18/05/2010,Training pay costs,SOCIAL CARE,ROYAL COLLEGE OF PSYCHIATRISTS,OP/I010113,44000,,,
Department of Health,Department of Health,18/05/2010,Training pay costs,SOCIAL CARE,SOCIAL CARE INSTITUTE FOR EXCELLENCE (SCIE),IVC01004,29980,,,
Department of Health,Department of Health,18/05/2010,Travel & subsistence staff,FINANCE & OPERATIONS,EXPOTEL HOTEL RESERVATIONS LTD,619827,108004.24,,,
Department of Health,Department of Health,18/05/2010,Travel & subsistence staff,FINANCE & OPERATIONS,FCM TRAVEL SOLUTIONS,1049601236,103558.02,,,
Department of Health,Department of Health,19/05/2010,Computer Maintenance,INFORMATICS,PROBRAND LTD,10867438,88844.67,,,
Department of Health,Department of Health,19/05/2010,Computer Maintenance,INFORMATICS,PROBRAND LTD,10885004,51098.65,,,
Department of Health,Department of Health,19/05/2010,Construction in Progress Addition Clearing - Information Technology - Internally Developed Systems,WORKFORCE,IMC UK Learning Ltd,IUK2009-156,26565,,,
Department of Health,Department of Health,19/05/2010,Construction in Progress Addition Clearing - Information Technology - Internally Developed Systems,WORKFORCE,IMC UK Learning Ltd,IUK2010-106,28565.43,,,
Department of Health,Department of Health,19/05/2010,Construction in Progress Addition Clearing - Information Technology - Internally Developed Systems,WORKFORCE,IMC UK Learning Ltd,IUK2010-115,33370,,,
Department of Health,Department of Health,19/05/2010,Consultancy/Professional Advice,NHS MEDICAL DIRECTOR,CENTRAL OFFICE OF INFORMATION (COI),725248,59399.8,,,
Department of Health,Department of Health,19/05/2010,Library services,HEALTH PROTECTION AND IMPROVEMENT,CENTRAL OFFICE OF INFORMATION (COI),716636,8136,,,
Department of Health,Department of Health,19/05/2010,Library services,HEALTH PROTECTION AND IMPROVEMENT,CENTRAL OFFICE OF INFORMATION (COI),716636,210961,,,
Department of Health,Department of Health,19/05/2010,Other programme expenditure,SOCIAL CARE,TAMESIDE METROPOLITAN BOROUGH COUNCIL,JIP3,50000,,,
Department of Health,Department of Health,19/05/2010,Other programme expenditure,SOCIAL CARE,UUTECH,4690,49999,,,
Department of Health,Department of Health,19/05/2010,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),709962,51709.22,,,
Department of Health,Department of Health,19/05/2010,Radio communications,NHS FINANCE PERFORMANCE & OPERATIONS,WEST MIDLANDS AMBULANCE SERVICE,Y0001061,96420.16,,,
Department of Health,Department of Health,19/05/2010,Research & development,HEALTH PROTECTION AND IMPROVEMENT,AFRICAN HIV POLICY NETWORK,AHPN2010,26250,,,
Department of Health,Department of Health,19/05/2010,Stock Essential Medicines Additions,NHS MEDICAL DIRECTOR,KENT PHARMACEUTICALS LTD,SP02433,39785.43,,,
Department of Health,Department of Health,19/05/2010,SYS VAT Non recoverable,INFORMATICS,PROBRAND LTD,10885004,0.13,,,
Department of Health,Department of Health,20/05/2010,Consultancy/Professional Advice,COMMISSIONING,MCKINSEY AND CO INC UK,11064,6121750,,,
Department of Health,Department of Health,20/05/2010,Consultancy/Professional Advice,HEALTH PROTECTION AND IMPROVEMENT,CENTRAL OFFICE OF INFORMATION (COI),724868,14000,,,
Department of Health,Department of Health,20/05/2010,Consultancy/Professional Advice,HEALTH PROTECTION AND IMPROVEMENT,CENTRAL OFFICE OF INFORMATION (COI),724868,45968,,,
Department of Health,Department of Health,20/05/2010,Consultancy/Professional Advice,WORKFORCE,OXFORD STRATEGIC MARKETING LTD,2010/10255,43846.78,,,
Department of Health,Department of Health,20/05/2010,Consultancy/Professional Advice,WORKFORCE,OXFORD STRATEGIC MARKETING LTD,2010/10255,6577.02,,,
Department of Health,Department of Health,20/05/2010,Consultancy/Professional Advice,WORKFORCE,OXFORD STRATEGIC MARKETING LTD,2010/10256,88495.77,,,
Department of Health,Department of Health,20/05/2010,Consultancy/Professional Advice,WORKFORCE,OXFORD STRATEGIC MARKETING LTD,2010/10256,13274.37,,,
Department of Health,Department of Health,20/05/2010,Consultancy/Professional Advice,WORKFORCE,OXFORD STRATEGIC MARKETING LTD,2010/10258,25837.27,,,
Department of Health,Department of Health,20/05/2010,Contactor/ Staff Subsitution,CHIEF NURSING OFFICER,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,120402,33957.5,,,
Department of Health,Department of Health,20/05/2010,Contactor/ Staff Subsitution,CHIEF NURSING OFFICER,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,120914,33957.5,,,
Department of Health,Department of Health,20/05/2010,Contr Other External,INFORMATICS,OVE ARUP & PARTNERS,10833379,46531.46,,,
Department of Health,Department of Health,20/05/2010,Data Lines,INFORMATICS,BT GLOBAL SERVICES,10395411,26881.7,,,
Department of Health,Department of Health,20/05/2010,Data Lines,INFORMATICS,BT GLOBAL SERVICES,10129110,123097.15,,,
Department of Health,Department of Health,20/05/2010,Data Lines,INFORMATICS,BT GLOBAL SERVICES,10867399,-184836.35,,,
Department of Health,Department of Health,20/05/2010,External Consultancy Fees,INFORMATICS,QI CONSULTING,10182647,741099.48,,,
Department of Health,Department of Health,20/05/2010,External Consultancy Fees,INFORMATICS,QI CONSULTING,10641958,55485.88,,,
Department of Health,Department of Health,20/05/2010,External Consultancy Fees,INFORMATICS,QI CONSULTING,10641959,67871.35,,,
Department of Health,Department of Health,20/05/2010,External Consultancy Fees,INFORMATICS,QI CONSULTING,10641960,33920.76,,,
Department of Health,Department of Health,20/05/2010,External Consultancy Fees,INFORMATICS,QI CONSULTING,10759323,963078,,,
Department of Health,Department of Health,20/05/2010,External Consultancy Fees,INFORMATICS,QI CONSULTING,10798963,50674.23,,,
Department of Health,Department of Health,20/05/2010,External Consultancy Fees,INFORMATICS,QI CONSULTING,10798964,57496.59,,,
Department of Health,Department of Health,20/05/2010,Grants to local authorities (CAP),SOCIAL CARE,BIRMINGHAM CITY COUNCIL,ERS-385710-29441,447000,,,
Department of Health,Department of Health,20/05/2010,Grants to local authorities (CAP),SOCIAL CARE,BRIGHTON & HOVE CITY COUNCIL,ERS-385709-29442,130000,,,
Department of Health,Department of Health,20/05/2010,Grants to local authorities (CAP),SOCIAL CARE,HALTON BOROUGH COUNCIL,ERS-385712-29443,41000,,,
Department of Health,Department of Health,20/05/2010,Grants to local authorities (CAP),SOCIAL CARE,MANCHESTER CITY COUNCIL,ERS-385711-29444,270000,,,
Department of Health,Department of Health,20/05/2010,IT minor costs non capital,FINANCE & OPERATIONS,CSC COMPUTER SCIENCES LTD,5201185704,68574.48,,,
Department of Health,Department of Health,20/05/2010,IT minor costs non capital,NHS MEDICAL DIRECTOR,ROYAL COLLEGE OF PHYSICIANS (RCP),INV005608,42241.25,,,
Department of Health,Department of Health,20/05/2010,Other programme expenditure,HEALTH PROTECTION AND IMPROVEMENT,HEALTH AND SOCIAL CARE INFORMATION CENTRE,12591683,25000,,,
Department of Health,Department of Health,20/05/2010,Other programme expenditure,NHS FINANCE PERFORMANCE & OPERATIONS,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,1060013898,859990.77,,,
Department of Health,Department of Health,20/05/2010,Outsourcing Contract,FINANCE & OPERATIONS,CSC COMPUTER SCIENCES LTD,5201185705,404960,,,
Department of Health,Department of Health,20/05/2010,Outsourcing Contract,HEALTH PROTECTION AND IMPROVEMENT,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),5580849,29499,,,
Department of Health,Department of Health,20/05/2010,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,SPIRE HEALTHCARE HOLDINGS LTD,CM090231,780776.33,,,
Department of Health,Department of Health,20/05/2010,Professional fees,WORKFORCE,Vielife and Well,10DHE004,26241.28,,,
Department of Health,Department of Health,20/05/2010,Rates,NHS FINANCE PERFORMANCE & OPERATIONS,NOTTINGHAM CITY COUNCIL,N00021244200389,26289,,,
Department of Health,Department of Health,20/05/2010,Research & development,RESEARCH & DEVELOPMENT,LGC FORENSICS,50015788,507062,,,
Department of Health,Department of Health,20/05/2010,Staff Consultancy & Suppt,INFORMATICS,ASE CONSULTING LTD,10669314,172666,,,
Department of Health,Department of Health,20/05/2010,Staff Consultancy & Suppt,INFORMATICS,ASE CONSULTING LTD,10874993,97305,,,
Department of Health,Department of Health,20/05/2010,Staff Consultancy & Suppt,INFORMATICS,ASE CONSULTING LTD,10875007,97965,,,
Department of Health,Department of Health,20/05/2010,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,10884995,21400,,,
Department of Health,Department of Health,20/05/2010,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,10874909,21573,,,
Department of Health,Department of Health,20/05/2010,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,10884990,21400,,,
Department of Health,Department of Health,20/05/2010,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,10884997,21400,,,
Department of Health,Department of Health,20/05/2010,Travel & Subsistence,INFORMATICS,HRG UK,10884853,588.69,,,
Department of Health,Department of Health,20/05/2010,Travel & Subsistence,INFORMATICS,HRG UK,10884853,956.13,,,
Department of Health,Department of Health,20/05/2010,Travel & Subsistence,INFORMATICS,HRG UK,10884853,87.22,,,
Department of Health,Department of Health,20/05/2010,Travel & Subsistence,INFORMATICS,HRG UK,10884853,450.93,,,
Department of Health,Department of Health,20/05/2010,Travel & Subsistence,INFORMATICS,HRG UK,10884853,87.22,,,
Department of Health,Department of Health,20/05/2010,Travel & Subsistence,INFORMATICS,HRG UK,10884853,1028.23,,,
Department of Health,Department of Health,20/05/2010,Travel & Subsistence,INFORMATICS,HRG UK,10884853,283.69,,,
Department of Health,Department of Health,20/05/2010,Travel & Subsistence,INFORMATICS,HRG UK,10884853,133.73,,,
Department of Health,Department of Health,20/05/2010,Travel & Subsistence,INFORMATICS,HRG UK,10884853,4389.13,,,
Department of Health,Department of Health,20/05/2010,Travel & Subsistence,INFORMATICS,HRG UK,10884853,425.89,,,
Department of Health,Department of Health,20/05/2010,Travel & Subsistence,INFORMATICS,HRG UK,10884853,225.45,,,
