Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1072629,"Ł148,267.83",OMNI LLS,M14 0WN,0,Programme,,
Ministry of Justice,MoJ HQ,10-Apr-12,246000-Current Grants,RB999-JPG - CJRD,VICTIM SUPPORT,1072785,"Ł150,000.00",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime Victim & Witness General Fund,W1W 6JL,0,Grant,,
Ministry of Justice,MoJ HQ,26-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1074036,"Ł152,847.58",PO200 - OMNI Contract -Small Projects,M14 0WN,0,Programme,,
Ministry of Justice,MoJ HQ,30-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CAPITA SECURE INFORMATION SYSTEMS,1074071,"Ł153,098.00",eOASys month support charge from Jan to March 2012.,SW1P 1QT,0,Programme,,
Ministry of Justice,MoJ HQ,30-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,V P TREEN LTD,1074244,"Ł153,682.63","Purhcasing of hardware for ACOCAO Network Refresh (PCs, Monitors, Printers, Scanners), Installation and configuration of hardware (10 days @ Ł600.00 daily rate) & Disposal of hard disks.",TW2 7PJ,0,Programme,,
Ministry of Justice,MoJ HQ,12-Apr-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072946,"Ł155,379.00",L-S-2061-03 - Libra Oracle Upgrade,CF31 9AP,E144,Programme
Ministry of Justice,MoJ HQ,23-Apr-12,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,BIRMINGHAM CITY COUNCIL,1073541,"Ł155,563.53","Office & Premises Rates for Axis, Birmingham",RATES,0,Admin
Ministry of Justice,MoJ HQ,23-Apr-12,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,BIRMINGHAM CITY COUNCIL,1073541,"Ł155,563.53","Office & Premises Rates for Axis, Birmingham",RATES,0,Admin
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072946,"Ł160,978.47","Service Management Services
",CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1072814,"Ł161,514.00",A-R-02566-06 - Application moves (Axis),WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1072814,"Ł161,514.00",A-R-02566-06 - Application moves (Axis),WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,223000-Other Expenditure,MD600-Information Directorate,TNT UK LTD,1072669,"Ł165,845.21",MD145 Monthly payment for offsite storage of records held at TNT and delivery costs,BL0 9AR,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł165,955.63",CCN A-R-3353-01 - DISC Service Improvement Programme - Call-Off Framework (One Off Cost),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,26-Apr-12,222003-CIS Labour TFM Estates,QY200-OU10 Billback,MITIE JUSTICE LTD,1074018,"Ł182,527.12",Soft services fixed costs security MOJ HQ,CIS-BS16 7FH,0,Admin
Ministry of Justice,MoJ HQ,19-Apr-12,265000-IT & Telecommunications,LZ600-Transforming Justice,SPECIALIST COMPUTER CENTRES PLC (SCC),1073477,"Ł184,050.00","The 'Analysis/implementation' Phase in accordance with CCN ""SCC-01""",B11 2LE,0,Admin
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1073016,"Ł190,093.00",CCNS158 - Service Delivery (Replacement of PO 10000024445),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,02-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1072107,"Ł191,998.41",QBD Unitary Core - Telephone,RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072946,"Ł196,410.00","Shared Application Services
",CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1072420,"Ł199,332.75",PQ109 - PB630 (NOMS017) (CP.3) EUC Desktop,RG12 1HN,E064,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł205,748.00","A-R-03103-04-v02 - LSC Relocation of staff and Decommissioning of AOS					",WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł205,748.00","A-R-03103-04-v02 - LSC Relocation of staff and Decommissioning of AOS					",WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł208,293.35","Variable Desktop Charge
",WV10 6UH,0,Programme,,
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CACI LTD,1072841,"Ł213,493.00",YJB CCN CA-2714-01-v01.9 - Costs for CACI development work for eAsset Placements Project,W14 8TS,0,Programme,,
Ministry of Justice,MoJ HQ,12-Apr-12,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1072950,"Ł221,146.12",PPM for MoJ HQ Estate (June 2011 - March 2012),CIS-CM12 0BT,0,Admin,,
Ministry of Justice,MoJ HQ,12-Apr-12,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1072950,"Ł221,146.12",PPM for MoJ HQ Estate (June 2011 - March 2012),CIS-CM12 0BT,0,Admin,,
Ministry of Justice,MoJ HQ,05-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1072629,"Ł225,808.52",PQ108 - OMNI-T Capital Expenditure FY1112,M14 0WN,E012,Programme,,
Ministry of Justice,MoJ HQ,19-Apr-12,263000-Other Contracted Out Services,RG999-CFLAP Accumulator,STAFFORDSHIRE COUNTY COUNCIL,1073480,"Ł230,469.00",Staffordshire Council County provides the Claims Management Regulation Monitoring and Compliance Unit under contract to the MOJ. RG708,ST16 2NF,0,Programme,,
Ministry of Justice,MoJ HQ,19-Apr-12,263000-Other Contracted Out Services,RG999-CFLAP Accumulator,STAFFORDSHIRE COUNTY COUNCIL,1073480,"Ł231,048.00",Staffordshire Council County provides the Claims Management Regulation Monitoring and Compliance Unit under contract to the MOJ. RG708,ST16 2NF,0,Programme,,
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1072629,"Ł242,301.59",OMNI NAH,M14 0WN,0,Programme,,
Ministry of Justice,MoJ HQ,26-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1074036,"Ł242,301.59",OMNI NAH,M14 0WN,0,Programme,,
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1072840,"Ł253,333.33",Document Repository Service - Year 1 Annual Service Charge,MK3 5JP,0,Admin,,
Ministry of Justice,MoJ HQ,12-Apr-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072946,"Ł258,965.00",L-S-2061-03 - Libra Oracle Upgrade,CF31 9AP,E144,Programme,,
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ACTICA CONSULTING LTD,1072239,"Ł272,948.74",Statement of Works,GU2 7YF,0,Admin,,SME
Ministry of Justice,MoJ HQ,12-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1072914,"Ł276,158.00",PQ109 - PB629 (NOMS018) (CP6.2) EUC Laptop,RG12 1HN,E065,Programme,,
Ministry of Justice,MoJ HQ,05-Apr-12,264000-Consultancy,PZ501-MoJ ICT Feeder,GARTNER UK LTD,1072386,"Ł295,800.00",This Base Contract is a follow on from PO : 10000024414 which related to the 12 month subscription from April 2011.,TW20 9AW,0,Admin,,
Ministry of Justice,MoJ HQ,26-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1073955,"Ł300,391.63",OMNI VOIP Service,M14 0WN,0,Programme,,
Ministry of Justice,MoJ HQ,30-Apr-12,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1074171,"Ł309,836.39",Monthly Payroll Service charges for financial year 2012/13,NP10 9XA,0,Admin,,
Ministry of Justice,MoJ HQ,12-Apr-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072946,"Ł310,758.00",L-S-2061-03 - Libra Oracle Upgrade,CF31 9AP,E144,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł311,249.96","Wan/Lan Services
",WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł332,241.00","Serv. Mgnt Services
",WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł383,786.00","Client Environment Services
",WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł385,683.00","Service Desk Services
",WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072946,"Ł387,025.00","CCN1130 - EDS Hosted Sunset Apps Ongoing
",CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072946,"Ł402,178.00","Infrastructure Services
",CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł414,515.98","Wan/Lan Services
",WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,30-Apr-12,265000-IT & Telecommunications,NX900-MOJ Shared Services,ACCENTURE (UK) LIMITED,1074043,"Ł428,158.00",Shared Service Programme Accenture Milestone 6 Payments-NX111,EC3M 3BD,0,Admin
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072946,"Ł450,000.00","CCN1015-01 - Libra Systems Integration and Hosting Services Ongoing
",CF31 9AP,E002,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,246000-Current Grants,RB999-JPG - CJRD,THE SALVATION ARMY,1072664,"Ł500,000.00","RB311 - The Salvation Army acts as prime contractor, commissioning services on behalf of Govt for victims of trafficking. The contract is valued at Ł2m per annum, with payments of Ł500k per quarter starting on 1 October 2011.",SE1 6BN,0,Grant
Ministry of Justice,MoJ HQ,10-Apr-12,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,THE PAROLE BOARD,6512,"Ł500,000.00",Grant-in-aid requirement for Arm's Length Body,SW1P 2DX,0,Grant
Ministry of Justice,MoJ HQ,18-Apr-12,262000-SCA Costs,LZ430-I&B Operations,NATIONAL SAVINGS & INVESTMENTS,1328,"Ł518,269.60",Provision of Court Funds Office service for the 2011/12 Financial Year.,SW1V 2QX,0,Programme
Ministry of Justice,MoJ HQ,23-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1073554,"Ł576,759.39",CCN 3197-03 - Replace Failed Obsolete AEL VIW equipment at 20 courts (One Off Cost),WV10 6UH,E004,Programme
Ministry of Justice,MoJ HQ,17-Apr-12,262000-SCA Costs,QZ600-CPG Other,LIBERATA UK LTD,1073204,"Ł677,979.00",FSMO 216 -  MoJ 11-12 Accounts Production - Fixed Monthly Fee - Feb-11,NP10 9XA,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1072307,"Ł695,545.05",Install new VCT (Video Conferencing Technology) end points in 47 Crown Courts,MK3 5JP,E004,Programme
Ministry of Justice,MoJ HQ,30-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1074050,"Ł704,585.83",CCN 3197-05 - Replace Failed Obsolete AEL VIW equipment at 25 courts (One Off Cost),WV10 6UH,E004,Programme
Ministry of Justice,MoJ HQ,19-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1073228,"Ł731,798.00",CCN 3197-01 - Replace Failed Obsolete AEL VIW equipment at 25 courts,WV10 6UH,E004,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1072629,"Ł816,764.86",OMNI CCN 13 WAN SERVICES,M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,26-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1074036,"Ł831,710.32",OMNI CCN 13 WAN SERVICES,M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1072307,"Ł879,152.19","""Magistrate Court refresh: 161 Briefing Rooms.  Crown Court refresh: 187 Endpoints comprising of 78 Crown Court rooms, 38 VIW rooms and 71 Briefing rooms.""",MK3 5JP,E004,Programme
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1072914,"Ł892,919.04",P Nomis NOMIS HP/Syscon Live Services (CCN24-3 FP),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł932,275.00","Data Centre Services
",WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,02-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1072107,"Ł946,012.38",MOJ Wan Service Resource Costs,RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł1,051,471.63","Wan/Lan Services
",WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,27-Apr-12,246000-Current Grants,QZ600-CPG Other,UK SUPREME COURT,1398,"Ł1,313,280.00",Quarterly Funding Contribution for UK Supreme Court FY12/13- Funding Contribution for UKSC Qtr1,NP20 9FN,0,Grant
Ministry of Justice,MoJ HQ,26-Apr-12,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1074015,"Ł1,324,303.93",ARAMIS Charges for 2012-13 ; to be reconciled and agreed Monthly,NP10 9XA,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1072629,"Ł1,690,790.47",OMNI CCN 13 CORE SERVICES,M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,26-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1074036,"Ł1,693,713.18",OMNI CCN 13 CORE SERVICES,M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,02-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1072107,"Ł2,318,730.40",QBD Unitary Core - IT,RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,13-Apr-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6517,"Ł7,483,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,0,Programme
Ministry of Justice,MoJ HQ,10-Apr-12,246000-Current Grants,RB999-JPG - CJRD,VICTIM SUPPORT,1072785,"Ł9,900,000.00",Victim Support Core Grant - Quarterly Payment,W1W 6JL,0,Grant
Ministry of Justice,MoJ HQ,26-Apr-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6520,"Ł10,799,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,0,Programme,,
Ministry of Justice,MoJ HQ,19-Apr-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6519,"Ł10,997,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,0,Programme,,
Ministry of Justice,MoJ HQ,10-Apr-12,245000-Grants in Aid to NDPBs,RC999-Criminal Justice Group - OMS,YOUTH JUSTICE BOARD FOR ENGLAND & WALES,6513,"Ł11,000,000.00",Grant-in-aid requirement for Arm's Length Body,SW1V 2QZ,0,Grant,,
Ministry of Justice,MoJ HQ,19-Apr-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6519,"Ł12,303,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,0,Programme,,
Ministry of Justice,MoJ HQ,26-Apr-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6520,"Ł15,001,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,0,Programme,,
Ministry of Justice,MoJ HQ,13-Apr-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6517,"Ł15,517,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,0,Programme,,
Ministry of Justice,MoJ HQ,05-Apr-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6510,"Ł37,091,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,0,Programme,,
Ministry of Justice,MoJ HQ,05-Apr-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6510,"Ł48,509,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,0,Programme,,
Ministry of Justice,HMCTS,03-Apr-12,222002-Other Property Costs,BZ999-London Region,DERBYSHIRE COURTS LTD,1982540,"-Ł81,770.30",,SE1 9RA,0,Programme,,
Ministry of Justice,HMCTS,13-Apr-12,532000-Tangible GBV - Additions,BZ999-London Region,NORLAND MANAGED SERVICES LTD,1996490,"-Ł25,105.47",,CIS-SE1 1RU,0,Programme,,
Ministry of Justice,HMCTS,03-Apr-12,532000-Tangible GBV - Additions,GZ999-North West Region,GLENBEIGH CONSTRUCTION LTD T/A GLENBEIGH OFF SITE LTD,1982661,"Ł25,085.80",Wigan Courthouse - Cells heating ECSC/MW/HMCTS/2011-12/GM004,CIS-SO18 2RZ,0,Programme,,SME
Ministry of Justice,HMCTS,13-Apr-12,532000-Tangible GBV - Additions,BZ999-London Region,NORLAND MANAGED SERVICES LTD,1996490,"Ł25,105.47",,CIS-SE1 1RU,0,Programme,,
Ministry of Justice,HMCTS,13-Apr-12,532000-Tangible GBV - Additions,BZ999-London Region,NORLAND MANAGED SERVICES LTD,1996490,"Ł25,105.47",,CIS-SE1 1RU,0,Programme,,
Ministry of Justice,HMCTS,27-Apr-12,532000-Tangible GBV - Additions,HZ999-North East Region,J TOMLINSON LTD,2014951,"Ł25,123.71",,CIS-NG9 1PF,B716,Programme,,SME
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,COVENTRY CITY COUNCIL,2006837,"Ł25,190.00",,RATES,0,Programme,,
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,LEICESTER CITY COUNCIL,2006895,"Ł25,190.00",,RATES,0,Programme,,
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,COVENTRY CITY COUNCIL,1988726,"Ł25,215.19",,RATES,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,LEICESTER CITY COUNCIL,1988785,"Ł25,215.19",,RATES,0,Programme
Ministry of Justice,HMCTS,03-Apr-12,222001-Maintenance,BZ999-London Region,NORLAND MANAGED SERVICES LTD,1983035,"Ł25,265.75","CIS Labour - Feltham MC - Norland Managed Service Ltd - Fire Risk Assessment Works, including contingency costs - PAR 2219 (under term contract)",CIS-SE1 1RU,0,Programme
Ministry of Justice,HMCTS,13-Apr-12,222003-CIS Labour TFM Estates,DZ999-South West Region,MITIE JUSTICE LTD,1996467,"Ł25,479.80","CIS Labour - TFM Works Package B, South West Region - Hard Services (Fixed) - Management Costs",CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,13-Apr-12,222003-CIS Labour TFM Estates,DZ999-South West Region,MITIE JUSTICE LTD,1996467,"Ł25,553.81","CIS Labour - TFM Works Package B, South West Region - Soft Services (Fixed) - Waste Disposal",CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,03-Apr-12,532000-Tangible GBV - Additions,FZ999-Midlands Region,EC HARRIS LLP,1982574,"Ł25,578.87",Nottingham Combined - EC Harris LLP - Project Management for installation of combined heat & power generator & chiller,M60 3NT,I027,Programme
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,CAMBRIDGE CITY COUNCIL,2006806,"Ł25,648.00",,RATES,0,Programme
Ministry of Justice,HMCTS,10-Apr-12,222001-Maintenance,BZ999-London Region,NORLAND MANAGED SERVICES LTD,1990910,"Ł25,661.75","CIS Labour - Feltham MC - Norland Managed Service Ltd - Fire Risk Assessment Works, including contingency costs - PAR 2219 (under term contract)",CIS-SE1 1RU,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,CAMBRIDGE CITY COUNCIL,1988695,"Ł25,673.65",,RATES,0,Programme
Ministry of Justice,HMCTS,04-Apr-12,265000-IT & Telecommunications,AT899-HQ - ICT,LIBERATA UK LTD,1987533,"Ł25,712.24",MoJ wish to extend the the payment options for regular MCOL customers with the inclusion of Direct debits,NP10 8BA,0,Admin
Ministry of Justice,HMCTS,20-Apr-12,222003-CIS Labour TFM Estates,FZ999-Midlands Region,G4S INTEGRATED SERVICES (UK) LTD,2005412,"Ł25,716.12",CIS Labour-Various Midlands Courts-G4S-Security for February and March,CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,27-Apr-12,222001-Maintenance,AG999-HQ - Estates,WHEELERS,2017095,"Ł25,742.55",TFM,SO15 2AB,0,Programme
Ministry of Justice,HMCTS,27-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,CHELMSFORD BOROUGH COUNCIL,2014636,"Ł25,877.00",,RATES,0,Programme
Ministry of Justice,HMCTS,04-Apr-12,222002-Other Property Costs,FZ999-Midlands Region,NOTTINGHAM CITY COUNCIL,1987572,"Ł25,920.00",,NG2 3NG,0,Programme
Ministry of Justice,HMCTS,20-Apr-12,222001-Maintenance,BZ999-London Region,SYKES & SON LTD,624917,"Ł26,061.21",CIS Labour - External paviour repairs / replacement & parapet repair mortar repairs - PAR 2198 (under term contract) - SYKES & SON LTD - Harrow Crown Court,CIS-RET-WC2R3JF,0,Programme
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,STAFFORD BOROUGH COUNCIL,2007001,"Ł26,106.00",,RATES,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,STAFFORD BOROUGH COUNCIL,1988891,"Ł26,132.11",,RATES,0,Programme
Ministry of Justice,HMCTS,27-Apr-12,532000-Tangible GBV - Additions,HZ999-North East Region,DTZ DEBENHAM TIE LEUNG,2014753,"Ł26,201.77","Huddersfield Magistrates- Balance of  M.A. fees (7%) for Joint Integration/Lighting schemes at Huddersfield M C inc CDM and Waste Management  plus Ł200 expens.			",EH3 9QG,B716,Programme
Ministry of Justice,HMCTS,11-Apr-12,532000-Tangible GBV - Additions,CZ999-South East Region,FRAY DESIGN LIMITED,1994456,"Ł26,248.00",Chelmsford & Colchester-Fray Design-Courtroom loose furniture,BD23 2TZ,F081,Programme
Ministry of Justice,HMCTS,24-Apr-12,532000-Tangible GBV - Additions,CZ999-South East Region,MITIE JUSTICE LTD,2009429,"Ł26,307.05",CIS Labour - Harlow Magistrates Court - MITIE JUSTICE LTD - contract no.SE-CENS-TFM-12/13-0002 - Fire Alarm Upgrade,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,226000-Court Costs,SL999-Centralised Frontline,MESSRS KINGSLEY NAPLEY LLP#DX 22,612552,"Ł26,430.65",,DX 22,0,Programme
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,HZ999-North East Region,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,2006968,"Ł26,564.00",,RATES,0,Programme
Ministry of Justice,HMCTS,03-Apr-12,532000-Tangible GBV - Additions,DZ999-South West Region,ATKINS,1982306,"Ł26,575.41","Managing agent fees, BCP 11/12 (10) Southampton Magistrates' Court - Glazing",WR5 1TX,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,HZ999-North East Region,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,1988858,"Ł26,590.56",,RATES,0,Programme
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,GZ999-North West Region,CARLISLE CITY COUNCIL,2006810,"Ł26,793.00",,RATES,0,Programme
Ministry of Justice,HMCTS,27-Apr-12,261000-Fuel and Utilities,DZ999-South West Region,BRITISH GAS BUSINESS,2014580,"Ł26,803.43",South West Regionas Office (DA170) - British Gas - Account no.: 3053490 - Electricity Consumption costs (various sites) 12/13,OX4 2JY,0,Programme
Ministry of Justice,HMCTS,27-Apr-12,222001-Maintenance,BZ999-London Region,SYKES & SON LTD,2017006,"Ł26,807.00","CIS Labour - Blackfriars Crown - Sykes & Son - Supply & install of curtains around the secure docks, including contingency sum - PAR 2201 (under term contract)",CIS-WC2R 3JY,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,GZ999-North West Region,CARLISLE CITY COUNCIL,1988699,"Ł26,819.79",,RATES,0,Programme
