Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Expenditure Description,Supplier Type
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,STOCKPORT MBC,4000059939,"7,305,600.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,STOCKTON ON TEES,4000059940,"5,222,240.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,STOKE ON TRENT CITY COUNCIL,4000059941,"6,229,240.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,SUFFOLK COUNTY COUNCIL,4000059942,"16,815,440.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,SUNDERLAND CITY COUNCIL,4000059943,"7,201,400.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,SURREY COUNTY COUNCIL,4000059944,"26,837,520.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,SWINDON BOROUGH COUNCIL,4000059945,"5,340,840.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,TAMESIDE MBC,4000059946,"5,774,280.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,TELFORD & WREKIN COUNCIL,4000059947,"4,470,400.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,THE LONDON BOROUGH OF HACKNEY,4000059948,"7,833,440.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,THE ROYAL BOROUGH OF KENSINGTON & CHELSEA COUNCIL,4000059949,"3,169,400.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,THE ROYAL BOROUGH OF WINDSOR & MAIDENHEAD,4000059950,"3,752,920.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,THURROCK COUNCIL,4000059951,"4,397,640.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,TORBAY COUNCIL,4000059952,"2,130,823.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,TRAFFORD MB COUNCIL,4000059953,"5,722,760.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,WAKEFIELD MDC,4000059954,"8,084,360.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,WALSALL MBC,4000059955,"7,830,000.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,WARRINGTON BOROUGH COUNCIL,4000059956,"5,677,040.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,WARWICKSHIRE COUNTY COUNCIL,4000059957,"12,818,360.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,WEST BERKSHIRE COUNCIL,4000059958,"4,172,200.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,WEST SUSSEX COUNTY COUNCIL,4000059959,"18,679,640.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,WIGAN MBC,4000059960,"8,803,560.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,WILTSHIRE COUNCIL,4000059961,"10,296,680.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,WOKINGHAM BOROUGH COUNCIL,4000059962,"3,986,360.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,WOLVERHAMPTON CITY COUNCIL,4000059963,"7,093,040.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,WORCESTERSHIRE COUNTY COUNCIL,4000059964,"13,418,000.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,School Resources Group,YORK CITY COUNCIL,4000059965,"3,965,400.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,Academies Delivery Group,AUCKLEY SCHOOL,4000059987,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,Academies Delivery Group,BEXLEY HEATH ACADEMY,4000059989,"40,075.60","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,DfE Programme Costs,Academies Delivery Group,EC HARRIS LLP,4000059997,"32,547.98",Payment for developing and establishing sponsored academies,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Professional Services Other,Free School Group,ECORYS UK LTD,4000059998,"184,662.66","Costs related to a third party to administer grant funding on behalf of DfE. ECORYS is the National Agency delivering the Lifelong Learning Programme 2007-2013 on behalf of DfE. This payment was for the management of Leonardo di Vinci, Grundtvig, Transversal Study visits programme and Tier 5 Certification costs (issued to incoming participants on the programmes).",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,Academies Delivery Group,KESTEVEN & SLEAFORD HIGH SCHOOL,4000060001,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,Free School Group,NISHKAM SCHOOL TRUST,4000060007,"27,547.17","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,Academies Delivery Group,NOTTINGHAM BLUECOAT SCHOOL,4000060008,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,Academies Delivery Group,RANGE HIGH SCHOOL,4000060014,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,Academies Delivery Group,ROSEBERY SCHOOL,4000060015,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,Academies Delivery Group,ST CHRISTOPHERS CE HIGH SCHOOL,4000060019,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,Academies Delivery Group,ST THOMAS MORE HIGH SCHOOL,4000060020,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,Academies Delivery Group,TESTWOOD SPORTS COLLEGE,4000060021,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Capital Grants,School Resources Group,THE ST MATTHEWS ACADEMY CAPITAL,4000060022,"320,428.60","Capital grants paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,Academies Delivery Group,WIRRAL GRAMMAR SCHOOL FOR BOYS,4000060027,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,22/08/2011,Current Grants,Academies Delivery Group,EDUCATION LEEDS,4000060052,"44,640.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,22/08/2011,Current Grants,Academies Delivery Group,HASTINGS ACADEMIES TRUST,4000060055,"336,185.52","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,22/08/2011,DfE Programme Costs,Academies Delivery Group,PLACE GROUP LTD,4000060064,"67,911.00",Developing and establishing sponsored academies,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,22/08/2011,Marketing and Media,Communications Group,PROLOG,4000060065,"34,001.89",Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,22/08/2011,DfE Programme Costs,Academies Delivery Group,TRIBAL EDUCATION,4000060075,"65,161.02",Developing and establishing sponsored academies,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Current Grants,Academies Delivery Group,BIRMINGHAM ORMISTON ACADEMY,4000060096,"48,955.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Current Grants,Free School Group,LANGLEY HALL PRIMARY ACADEMY,4000060115,"30,206.89","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,DfE Programme Costs,Academies Delivery Group,PLACE GROUP LTD,4000060121,"27,762.90",Developing and establishing sponsored academies,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Academies Policy and Schools Organisation Group,PROLOG,4000060123,40.52,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,School Resources Group,PROLOG,4000060123,76.52,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Academies Policy and Schools Organisation Group,PROLOG,4000060123,210.57,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Academies Policy and Schools Organisation Group,PROLOG,4000060123,12.6,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Academies Policy and Schools Organisation Group,PROLOG,4000060123,15.57,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Academies Policy and Schools Organisation Group,PROLOG,4000060123,31.09,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Academies Policy and Schools Organisation Group,PROLOG,4000060123,366.12,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Academies Delivery Group,PROLOG,4000060123,12.39,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Post 16 Young People Learning Agency Resources Group,PROLOG,4000060123,23.85,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Communications Group,PROLOG,4000060123,"48,952.42",Digital media and web production,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Communications Group,PROLOG,4000060123,"4,500.00",Digital media and web production,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Communications Group,PROLOG,4000060123,"45,041.40",Digital media and web production,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,24/08/2011,Current Grants,Academies Delivery Group,ACADEMY ENTERPRISE TRUST,4000060153,"77,122.35","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,24/08/2011,Current Grants,Free School Group,E ACT,4000060157,"27,181.27","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,24/08/2011,Professional Services Other,Academies Delivery Group,GARFORTH ASSOCIATES LLP,4000060161,"60,287.30","Costs related to fees and expenses of professional from the private sector, for example implementing advice or changes. Garforth were contracted to provide expert education advice to academies and free schools programmes.",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,24/08/2011,Capital Grants,School Resources Group,KELSEY PARK SPORTS COLLEGE,4000060165,"63,041.79","Capital grants paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,24/08/2011,Current Grants,Academies Delivery Group,THE DISCOVERY ACADEMY,4000060169,"32,935.93","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Academies Delivery Group,BELLEVILLE PRIMARY SCHOOL,4000060356,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,ICT,Communications Group,CAPGEMINI UK PLC,4000060359,"124,077.48",Costs related to the provision of IT costs,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Academies Delivery Group,CONISBROUGH IVANHOE COMMUNITY PRIMARY SCHOOL,4000060363,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Academies Delivery Group,ENMORE CE PRIMARY SCHOOL,4000060367,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Academies Delivery Group,FREESTON BUSINESS & ENTERPRISE COLLEGE,4000060369,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,School Resources Group,HARRIS ACADEMY MERTON,4000060373,"246,429.31","Capital grants paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,DfE Programme Costs,Free School Group,PKF UK LLP,4000060377,"28,383.60", Programme Management costs for development of University Technology Colleges,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Professional Services Consultancy,Free School Group,PLACE GROUP LTD,4000060378,"9,885.00","Costs related to advisory services including their fees, travel and expenses",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,DfE Programme Costs,Free School Group,PLACE GROUP LTD,4000060378,"43,513.50",Programme Management costs for development of studio school,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Academies Delivery Group,SHOEBURYNESS HIGH SCHOOL,4000060385,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Academies Delivery Group,UNIVERSITY ACADEMY OF BIRKENHEAD,4000060393,"28,066.63","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Professional Services Other,Academies Delivery Group,VEREDUS C/O CAPITA RESOURCING LTD,4000060394,"110,894.11","Costs related to fees and expenses of professional from the private sector, for example implementing advice or changes",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,26/08/2011,Current Grants,Academies Delivery Group,ACADEMY ENTERPRISE TRUST,4000060408,"42,190.22","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,26/08/2011,Current Grants,Academies Delivery Group,BOURNE GRAMMAR SCHOOL,4000060411,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,26/08/2011,Current Grants,Academies Delivery Group,BOURNEMOUTH SCHOOL,4000060412,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,26/08/2011,Current Grants,Academies Delivery Group,LUDGVAN SCHOOL,4000060422,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,26/08/2011,Current Grants,Academies Delivery Group,MOUNTS BAY ACADEMY,4000060424,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,26/08/2011,Current Grants,Academies Delivery Group,SHELLEY COLLEGE,4000060430,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,26/08/2011,Current Grants,Academies Delivery Group,ST BERNARDS HIGH SCHOOL,4000060431,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,26/08/2011,Current Grants,Academies Delivery Group,ST IVES INFANT SCHOOL,4000060432,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,30/08/2011,Capital Grants,School Resources Group,ACADEMY ENTERPRISE TRUST,4000060459,"81,191.14","Capital grants paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,30/08/2011,DfE Programme Costs,Academies Delivery Group,CAPITA SYMONDS LTD,4000060462,"31,155.95",Developing and establishing sponsored academies,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,30/08/2011,Current Grants,Academies Delivery Group,DERBYSHIRE COUNTY COUNCIL,4000060466,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,30/08/2011,Current Grants,Academies Delivery Group,ETONE TECHNOLOGY LANGUAGE VOCATIONAL COLLEGE,4000060467,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,30/08/2011,Capital Grants,School Resources Group,HEREFORD STEINER ACADEMY,4000060471,"334,871.65","Capital grants paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,30/08/2011,Current Grants,Academies Delivery Group,NORTHGATE SCHOOL ARTS COLLEGE,4000060473,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,BARNSLEY MBC,4000060497,"6,094,960.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,BATH & NORTH EAST SOMERSET COUNCIL,4000060498,"3,957,080.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,BEDFORD BOROUGH COUNCIL,4000060499,"3,820,440.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,BIRMINGHAM CITY COUNCIL,4000060500,"37,268,240.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,BLACKBURN WITH DARWEN BOROUGH COUNCIL,4000060501,"5,213,240.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,BLACKPOOL BOROUGH COUNCIL,4000060502,"4,009,440.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,BOLTON MBC,4000060503,"8,161,200.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,BOURNEMOUTH BOROUGH COUNCIL,4000060504,"3,509,080.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,BRACKNELL FOREST BOROUGH COUNCIL,4000060505,"3,000,000.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,BRIGHTON & HOVE CITY COUNCIL,4000060506,"5,931,680.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,BRISTOL CITY COUNCIL,4000060507,"9,668,320.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,BUCKINGHAMSHIRE COUNTY COUNCIL,4000060508,"13,149,440.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,BURY MBC,4000060509,"5,281,160.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,CALDERDALE MBC,4000060510,"5,992,080.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,CAMBRIDGESHIRE COUNTY COUNCIL,4000060511,"13,300,920.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,CENTRAL BEDFORDSHIRE COUNCIL,4000060512,"6,293,280.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,CHESHIRE EAST COUNCIL,4000060513,"8,438,960.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,CHESHIRE WEST & CHESTER COUNCIL,4000060514,"8,193,680.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,4000060515,"16,637,040.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,CITY OF LONDON,4000060516,"95,640.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,CITY OF WESTMINSTER,4000060517,"4,622,680.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,CORNWALL COUNCIL,4000060518,"11,061,120.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,COUNCIL OF THE ISLES OF SCILLY,4000060519,"120,364.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,COVENTRY CITY COUNCIL,4000060520,"9,383,480.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,CUMBRIA COUNTY COUNCIL,4000060521,"11,437,240.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,DARLINGTON BOROUGH COUNCIL,4000060522,"2,659,360.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,DERBY CITY COUNCIL,4000060523,"7,001,480.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,DERBYSHIRE COUNTY COUNCIL,4000060524,"18,539,760.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,DEVON COUNTY COUNCIL,4000060525,"14,559,600.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,DONCASTER MBC,4000060526,"7,673,800.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,DORSET COUNTY COUNCIL,4000060527,"9,526,680.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,DUDLEY MBC,4000060528,"8,921,320.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,DURHAM COUNTY COUNCIL,4000060529,"12,962,800.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,EAST RIDING OF YORKSHIRE,4000060530,"8,116,080.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,EAST SUSSEX COUNTY COUNCIL,4000060531,"12,303,360.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,ESSEX COUNTY COUNCIL,4000060532,"33,881,840.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,GATESHEAD MBC,4000060533,"5,200,760.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,GLOUCESTERSHIRE COUNTY COUNCIL,4000060534,"13,414,480.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,HALTON BOROUGH COUNCIL,4000060535,"3,770,880.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,HAMPSHIRE COUNTY COUNCIL,4000060536,"30,942,840.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,HARTLEPOOL BOROUGH COUNCIL,4000060537,"2,951,880.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,HEREFORDSHIRE COUNCIL,4000060538,"3,810,080.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,HERTFORDSHIRE,4000060539,"29,430,040.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,ISLE OF WIGHT COUNCIL,4000060540,"3,284,760.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,KENT COUNTY COUNCIL,4000060541,"32,989,840.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,KINGSTON UPON HULL COUNCIL,4000060542,"6,977,920.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,KIRKLEES COUNCIL,4000060543,"12,033,000.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,School Resources Group,KNOWSLEY MBC,4000060544,"4,667,040.00",Dedicated Schools Grant,Public Sector
