Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/2015,RESOURCE GRANTS PRIVATE SECTOR,COMMUNITY ORGANISERS,LOCALITY,3000058849,296000.00,"Grant to fund the cost of up to 500 newly qualified Community Organisers to ensure long term sustainability of social capital, created as a result of main Community Organisers training bursary programme",,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/2015,RESOURCE GRANTS PRIVATE SECTOR,TECHNICAL ASSISTANCE,SOCIAL INVESTMENT BUSINESS,1001218,549407.00,Grant to support social ventures in understanding and improving their social impact and to demonstrate improvements to investors and commissioners,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/2015,OTHER IS IT COSTS VAT RECOV,COTT Flex C,FUJITSU SERVICES LTD,3000058853,689652.12,Service Charge for Flex C contract support and services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,DERBY CITY COUNCIL,3000058917,25000.00,Funding for Electoral Registration Officers to address concerns around electoral integrity and promote confidence in the polls,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,SLOUGH BOROUGH COUNCIL,3000058924,25000.00,Funding for Electoral Registration Officers to address concerns around electoral integrity and promote confidence in the polls,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,PENDLE BOROUGH COUNCIL,3000058925,25000.00,Funding for Electoral Registration Officers to address concerns around electoral integrity and promote confidence in the polls,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,HYNDBURN BOROUGH COUNCIL,3000058934,25000.00,Funding for Electoral Registration Officers to address concerns around electoral integrity and promote confidence in the polls,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,WOKING BOROUGH COUNCIL,3000058936,25000.00,Funding for Electoral Registration Officers to address concerns around electoral integrity and promote confidence in the polls,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,OLDHAM MBC,3000058940,25000.00,Funding for Electoral Registration Officers to address concerns around electoral integrity and promote confidence in the polls,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,LONDON BOROUGH OF TOWER HAMLETS,3000058921,25400.00,Funding for Electoral Registration Officers to address concerns around electoral integrity and promote confidence in the polls,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,BRADFORD METROPOLITAN BOROUGH COUNCIL,3000058926,25800.00,Funding for Electoral Registration Officers to address concerns around electoral integrity and promote confidence in the polls,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,OTHER LEGAL FEES,SME IDR & PENSIONS TECHNICAL LEAD,GOVERNMENT ACTUARYS DEPARTMENT GAD,3000058893,26862.57,Legal services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,CALDERDALE METROPOLITAN BOROUGH COUNCIL,3000058918,27045.00,Funding for Electoral Registration Officers to address concerns around electoral integrity and promote confidence in the polls,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,LUTON BOROUGH COUNCIL,3000058864,28470.75,Funding for Electoral Registration Officers to address concerns around electoral integrity and promote confidence in the polls,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS TO NDPB'S,TECHNICAL ASSISTANCE,BIG LOTTERY FUND,1001224,28610.00,Social Incubator Fund operating costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,STAFF RELATED COSTS VAT RECOVERABLE,HR CAPABILITY AND TALENT,HM REVENUE & CUSTOMS,3000058886,28985.00,Assessment Centre Research,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS PRIVATE SECTOR,ERTP ERO CUSTOMER REGISTRATION,UPRISING,3000058872,30000.00,Funding to support activities to Maximise the Electoral Register,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS PRIVATE SECTOR,ERG COMMERCIAL PORTFOLIO TEAM,ALBION CARE ALLIANCE CIC,3000058880,35000.00,Grant award for the Mutuals Future Funding Challenge Prize,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS TRANSFORMATION,CAPITA BUSINESS SERVICES LTD,3000058961,36104.70,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,OTHER IS IT COSTS VAT RECOV,GDS OFFICE OF CHIEF TECHNOLOGY OFFICER,THOUGHTWORKS LTD,3000058868,38117.50,IT support for GDS projects ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,G CLOUD,CAPITA BUSINESS SERVICES LTD,3000058961,39235.08,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,CONSULTANTS VAT RECOVERABLE,MUTUALS,LOCALITY,3000058901,40022.50,Consultancy advice to support the service spinning out as a public service mutual,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS PRIVATE SECTOR,SKILLS STRATEGY DEVELOPMENT,NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS,1001228,40200.00,Contribution to costs towards the development and delivery of commercial masterclasses for the VCSE sector,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,BLACKBURN WITH DARWEN BOROUGH COUNCIL,3000058931,44854.00,Funding for Electoral Registration Officers to address concerns around electoral integrity and promote confidence in the polls,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000058961,47559.92,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,BIRMINGHAM CITY COUNCIL,3000058920,48775.00,Funding for Electoral Registration Officers to address concerns around electoral integrity and promote confidence in the polls,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,PETERBOROUGH CITY COUNCIL,3000058937,55800.00,Funding for Electoral Registration Officers to address concerns around electoral integrity and promote confidence in the polls,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,PENSIONS ADMINISTRATION - ADDITIONAL COSTS (MyCSP),SME GOVERNANCE LEAD,MYCSP LTD,3000058945,61375.20,MyCSP programme costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,OTHER IS IT COSTS VAT RECOV,GDS PUBLISHING PLATFORM TECHNOLOGY,GOVDELIVERY,3000058916,64685.76,Provision of content design services to GOV.UK ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,OTHER LEGAL FEES,ERG SUPPLIER MANAGEMENT,FIELD FISHER WATERHOUSE LLP,3000058963,82824.00,Legal services ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,OTHER IS IT COSTS VAT RECOV,ISA 2 Prog,GET SAFE ON LINE LTD,3000058956,95000.00,Get Safe On Line campaign,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS PRIVATE SECTOR,CENTRE FOR SOCIAL ACTION,ROYAL VOLUNTARY SERVICE,1001220,144523.00,Grant to provide support to Hospital Trusts in coping with winter pressures through co-ordinated responses from existing social action projects ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS PRIVATE SECTOR,YOUTH POLICY,NATIONAL COUNCIL FOR VOLUNTARY YOUTH SERVICES,1001221,150187.00,"Grant to develop a youth sector impact measurement initiative, the Centre for Youth Impact, which will deliver an online evidence and resource hub and capacity-building training for youth services",,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS TO NDPB'S,TECHNICAL ASSISTANCE,BIG LOTTERY FUND,1001225,197000.00,"Grant to support medium sized voluntary organisations and social enterprises, working with the most vulnerable and disadvantaged people, in securing their long term futures, by reviewing and transforming their operating models. Support is to be focused on organisations that offer high quality services which need to improve their organisational capacity, structures and strategies",,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS TO NDPB'S,OPEN DATA PROGRAMME,DEPARTMENT OF HEALTH,3000528,200000.00,Grant to provide a repository for linked patient data to enhance access to national cancer intelligence data ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS PRIVATE SECTOR,CENTRE FOR SOCIAL ACTION,HOSPICE UK,1001229,234759.00,"Delivery of End of Life grant to involve support, assessment and building of a strong evidence base on the effectiveness of social interventions that benefit people and their families at end of life. Over a period of 16 months, Hospice UK will be the grant administrator of the social action end of life support fund. This will include launching the fund, managing the selection process, making recommendations on selection of applicants and distributing funding to successful applicants",,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS PRIVATE SECTOR,CENTRE FOR SOCIAL ACTION,AGE UK,1001222,300378.00,Grant to provide support to Hospital Trusts in coping with winter pressures through co-ordinated responses from existing social action projects ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS TO NDPB'S,OPEN DATA PROGRAMME,DEFRA,3000058894,337000.00,Grant to assist release of National Flood Risk Assessment Data,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,EXPERIAN LTD,3000058898,965790.00,Provision of Storage & Hosting Services for the Identity Assurance Programme,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,ADDITIONS IT HARDWARE,CO IT SYSTEMS CAPITAL,MISCO,3000058965,1099682.75,IT Hardware,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,NEXT GENERATION HR COSTS,HOME OFFICE,3000058902,1283814.70,Support on Civil Service Learning and Civil Service Organisation Development and Design as per Next Generation HR Memorandum of Understanding,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,GRANT IN AID PRIVATE SECTOR,NCS IMB,NCS TRUST CIC,1001226,2572436.00,Grant in aid funding for the National Citizen Service Trust,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,OTHER IS IT COSTS VAT RECOV,FLEX,HM TREASURY,3000058907,3004558.25,IT costs - Flex contract,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,NEXT GENERATION HR COSTS,DWP,3000058906,3114707.10,Support on Civil Service Employee Policy as per Next Generation HR Memorandum of Understanding,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,PENSIONS ADMINISTRATION - ADDITIONAL COSTS (MyCSP),SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000058945,3374682.68,MyCSP programme costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,ADDITIONS IT HARDWARE,ERG NEXT GENERATION SHARED SERVICES,STERIA LTD,1001227,4200000.00,Digital Transformation services to provide Single Operating Platform Milestone ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/03/2015,RESOURCE GRANTS PRIVATE SECTOR,SOCIAL OUTCOMES FUND,ACCESS THE FOUNDATION FOR SOCIAL INVESTMENT,1001223,36000000.00,"Grant to enable We are Access - The Foundation for Social Investment, a new charitable foundation developed in partnership with the Cabinet Office, Big Society Capital and Big Lottery Fund, to champion those charities and social enterprises which are at the early stages of developing new ways of creating income to bring real change to people's lives. Access will help to provide these organisations with the finance and support they need at the beginning of their development, when it is most valuable but often hardest to find, and will  deliver its programmes through partners, administrators and fund managers.  ",,,,,,,,,,
Cabinet Office,CABINET OFFICE,31/03/2015,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,GPU POLICY AND STRATEGY ADMIN,SECURITY SERVICES GROUP,3000059080,26644.00,Study to identify a techinical solution for access control in Government buildings,,,,,,,,,,
Cabinet Office,CABINET OFFICE,31/03/2015,GRANT FUND MANAGEMENT,YOUTH POLICY,METHODS CONSULTING LTD,3000059031,30454.80,Supply of monitoring and development services in relation to government grant to the Kids Company.,,,,,,,,,,
Cabinet Office,CABINET OFFICE,31/03/2015,OTHER IS IT COSTS VAT RECOV,G CLOUD,6POINT6 LTD,3000059006,31027.00,Service development of Digital Marketplace,,,,,,,,,,
Cabinet Office,CABINET OFFICE,31/03/2015,CONSULTANTS VAT RECOVERABLE,ERG FRAUD ERROR AND DEBT,ATKINS MANAGEMENT CONSULTANTS,3000059075,32213.00,"Independent modelling and assessment of benefits for Counter Fraud Checking Service project to inform Outline Business Case, and providing technical support in creation of the FED Functional Leadership Statement",,,,,,,,,,
Cabinet Office,CABINET OFFICE,31/03/2015,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,RADLEY YELDAR LTD,3000059008,33307.50,GREAT Campaign,,,,,,,,,,
Cabinet Office,CABINET OFFICE,31/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA BUSINESS SERVICES LTD,3000059028,33495.46,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,31/03/2015,FM CONTRACT VARIABLE,PMO FACILITIES MANAGEMENT,BOUYGUES E&S FM UK LTD,3000059081,39836.92,Facilities Management Services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,31/03/2015,GRANT FUND MANAGEMENT VAT RECOVERABLE,COMMUNITY FIRST,THE YOUNG FOUNDATION,r,50850.00,"Support to enable Community First Neighbourhood Matched Fund Panel volunteers to allocate grant funds effectively, share learning and best practice across the country, and build sustainable social capital and lasting community led associations in some of the most deprived areas in England",,,,,,,,,,
Cabinet Office,CABINET OFFICE,31/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000059028,63380.04,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,31/03/2015,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,E SYNERGY SOLUTIONS LTD,3000059026,102570.00,Service Desk IT Support Staff,,,,,,,,,,
Cabinet Office,CABINET OFFICE,31/03/2015,OTHER LEGAL FEES,ERG DEBT MARKET INTEGRATOR,DLA PIPER UK,3000059024,143676.43,Legal services ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,31/03/2015,OTHER LEGAL FEES,ERG COMMERCIAL PORTFOLIO TEAM,DLA PIPER UK,3000059059,175510.75,Legal services ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,31/03/2015,ALL OTHER TRAINING AND DVEVELOPMENT NON VAT RECOVERABLE,FAST STREAM COSTS CS RESOURCING,HMRC,3000059058,976347.50,Fast stream programme costs,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
