Departmental Family,Entity,Date,Expense Type Lookup,Expense Area Lookup,Supplier,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,4000042533,676
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,4000042533,374
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,4000042533,945
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,4000042533,-147
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,4000042533,249
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,4000042533,381
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Commercial Group Strategic Functions,CARLSON WAGONLIT TRAVEL,4000042533,-89
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Finance Group Shared Services Schools and Category Management,CARLSON WAGONLIT TRAVEL,4000042533,357
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Finance Group Shared Services and Children and Young People,CARLSON WAGONLIT TRAVEL,4000042533,107
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Finance Group Shared Services and Children and Young People,CARLSON WAGONLIT TRAVEL,4000042533,243
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Chief Information Officer Group EFM,CARLSON WAGONLIT TRAVEL,4000042533,"1,497"
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Finance Group Strategic Functions,CARLSON WAGONLIT TRAVEL,4000042533,15
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Finance Group Shared Services Schools and Category Management,CARLSON WAGONLIT TRAVEL,4000042533,"1,713"
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Finance Group Shared Services Schools and Category Management,CARLSON WAGONLIT TRAVEL,4000042533,15
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Finance Group Shared Services Schools and Category Management,CARLSON WAGONLIT TRAVEL,4000042533,50
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Finance Group Shared Services Schools and Category Management,CARLSON WAGONLIT TRAVEL,4000042533,77
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Finance Group Shared Services Schools and Category Management,CARLSON WAGONLIT TRAVEL,4000042533,383
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Finance Group Shared Services Schools and Category Management,CARLSON WAGONLIT TRAVEL,4000042533,25
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Finance Group Shared Services Schools and Category Management,CARLSON WAGONLIT TRAVEL,4000042533,95
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Finance Group Shared Services and Children and Young People,CARLSON WAGONLIT TRAVEL,4000042533,457
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Finance Group Shared Services and Children and Young People,CARLSON WAGONLIT TRAVEL,4000042533,229
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Finance Group Shared Services and Children and Young People,CARLSON WAGONLIT TRAVEL,4000042533,122
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Finance Group Shared Services and Children and Young People,CARLSON WAGONLIT TRAVEL,4000042533,"1,217"
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,4000042533,676
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,4000042533,205
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,4000042533,608
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,4000042533,"1,157"
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,4000042533,103
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,4000042533,297
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,4000042533,229
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,4000042533,48
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Corporate Services Strategy and Performance,CARLSON WAGONLIT TRAVEL,4000042533,450
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Corporate Services Director General,CARLSON WAGONLIT TRAVEL,4000042533,82
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Corporate Services Director General,CARLSON WAGONLIT TRAVEL,4000042533,"1,350"
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Finance Group,CARLSON WAGONLIT TRAVEL,4000042533,"2,515"
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Finance Group,CARLSON WAGONLIT TRAVEL,4000042533,27
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,People and Change,CARLSON WAGONLIT TRAVEL,4000042533,130
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,People and Change,CARLSON WAGONLIT TRAVEL,4000042533,876
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,People and Change,CARLSON WAGONLIT TRAVEL,4000042533,116
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,People and Change,CARLSON WAGONLIT TRAVEL,4000042533,181
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,People and Change,CARLSON WAGONLIT TRAVEL,4000042533,130
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,People and Change,CARLSON WAGONLIT TRAVEL,4000042533,"1,327"
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,People and Change,CARLSON WAGONLIT TRAVEL,4000042533,149
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,ALB Reform Group,CARLSON WAGONLIT TRAVEL,4000042533,617
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Education Strategy and Improvement Group,CARLSON WAGONLIT TRAVEL,4000042533,62
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Education Strategy and Improvement Group,CARLSON WAGONLIT TRAVEL,4000042533,395
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Education Strategy and Improvement Group,CARLSON WAGONLIT TRAVEL,4000042533,433
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Free School Group,CARLSON WAGONLIT TRAVEL,4000042533,-32
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Education Strategy and Improvement Group,CARLSON WAGONLIT TRAVEL,4000042533,133
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Education Strategy and Improvement Group,CARLSON WAGONLIT TRAVEL,4000042533,154
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Education Strategy and Improvement Group,CARLSON WAGONLIT TRAVEL,4000042533,44
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,School Resources Group,CARLSON WAGONLIT TRAVEL,4000042533,235
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000042533,124
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000042533,59
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000042533,259
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000042533,-57
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,School Resources Group,CARLSON WAGONLIT TRAVEL,4000042533,47
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,School Resources Group,CARLSON WAGONLIT TRAVEL,4000042533,507
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,School Resources Group,CARLSON WAGONLIT TRAVEL,4000042533,230
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Curriculum and Behaviour Group,CARLSON WAGONLIT TRAVEL,4000042533,-5
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Curriculum and Behaviour Group,CARLSON WAGONLIT TRAVEL,4000042533,34
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,School Standards Group,CARLSON WAGONLIT TRAVEL,4000042533,123
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,School Standards Group,CARLSON WAGONLIT TRAVEL,4000042533,64
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,School Standards Group,CARLSON WAGONLIT TRAVEL,4000042533,592
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,School Standards Group,CARLSON WAGONLIT TRAVEL,4000042533,241
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,School Standards Group,CARLSON WAGONLIT TRAVEL,4000042533,-46
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,School Standards Group,CARLSON WAGONLIT TRAVEL,4000042533,127
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,School Resources Group,CARLSON WAGONLIT TRAVEL,4000042533,"2,320"
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,School Resources Group,CARLSON WAGONLIT TRAVEL,4000042533,105
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,MANAGEMENT CONSULTANCY,School Resources Group,CARLSON WAGONLIT TRAVEL,4000042533,35
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,4000042533,64
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000042533,110
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000042533,257
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Curriculum and Behaviour Group,CARLSON WAGONLIT TRAVEL,4000042533,92
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Young People Directorate Support,CARLSON WAGONLIT TRAVEL,4000042533,303
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Young People Analysis Division,CARLSON WAGONLIT TRAVEL,4000042533,270
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Young People Analysis Division,CARLSON WAGONLIT TRAVEL,4000042533,46
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000042533,258
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000042533,764
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Qualifications Strategy and Reform Group,CARLSON WAGONLIT TRAVEL,4000042533,170
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Post 16 YPLA Resources Group,CARLSON WAGONLIT TRAVEL,4000042533,61
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Post 16 YPLA Resources Group,CARLSON WAGONLIT TRAVEL,4000042533,415
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Qualifications Strategy and Reform Group,CARLSON WAGONLIT TRAVEL,4000042533,145
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Qualifications Strategy and Reform Group,CARLSON WAGONLIT TRAVEL,4000042533,252
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Qualifications Strategy and Reform Group,CARLSON WAGONLIT TRAVEL,4000042533,51
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Qualifications Strategy and Reform Group,CARLSON WAGONLIT TRAVEL,4000042533,258
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Qualifications Strategy and Reform Group,CARLSON WAGONLIT TRAVEL,4000042533,564
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Young People Workforce Group,CARLSON WAGONLIT TRAVEL,4000042533,"1,763"
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,4000042533,"1,094"
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,4000042533,217
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Free School Group,CARLSON WAGONLIT TRAVEL,4000042533,"1,829"
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Free School Group,CARLSON WAGONLIT TRAVEL,4000042533,240
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Free School Group,CARLSON WAGONLIT TRAVEL,4000042533,257
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Private Office,CARLSON WAGONLIT TRAVEL,4000042533,337
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Private Office,CARLSON WAGONLIT TRAVEL,4000042533,81
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Private Office,CARLSON WAGONLIT TRAVEL,4000042533,-64
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Private Office,CARLSON WAGONLIT TRAVEL,4000042533,167
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Internal Audit,CARLSON WAGONLIT TRAVEL,4000042533,"1,731"
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Communications Strategy and Insight Group,CARLSON WAGONLIT TRAVEL,4000042533,-27
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Corporate and Internal Communications Group,CARLSON WAGONLIT TRAVEL,4000042533,156
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Corporate and Internal Communications Group,CARLSON WAGONLIT TRAVEL,4000042533,807
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Customer Contact and Business Development Group,CARLSON WAGONLIT TRAVEL,4000042533,184
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Customer Contact and Business Development Group,CARLSON WAGONLIT TRAVEL,4000042533,45
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Customer Contact and Business Development Group,CARLSON WAGONLIT TRAVEL,4000042533,174
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,STAFF EXPENSES / COSTS,Press Office Group,CARLSON WAGONLIT TRAVEL,4000042533,-189
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,MANAGEMENT CONSULTANCY,Children Young People and Families Improving Information Sharing and Management Group,PA CONSULTING GROUP,4000042539,"78,021"
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,MANAGEMENT CONSULTANCY,Children Young People and Families Improving Information Sharing and Management Group,PA CONSULTING GROUP,4000042539,"27,413"
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2010,MISCELLANEOUS EXPENDITURE,Children Young People and Families Early Years Extended Schools and Special Needs,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,4000042549,"172,500"
Department for Education,TEACHERS PENSION SCHEME,21/12/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP HSBC,1000422,"144,780"
Department for Education,TEACHERS PENSION SCHEME,21/12/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP HSBC,1000422,"15,723"
Department for Education,TEACHERS PENSION SCHEME,21/12/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP NATWEST,1000423,"62,658,334"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CURRENT GRANTS,Academies Delivery Group,BOURNE ABBEY CE PRIMARY SCHOOL,4000042586,"25,000"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Group,BRITISH ASSOCIATION FOR ADOPTION & FOSTERING,4000042587,"78,014"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CONTRACT PROGRAMME EXPENDITURE,Curriculum and Behaviour Group,C I L T,4000042589,"39,651"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CURRENT GRANTS,Academies Delivery Group,CHARTER ACADEMY,4000042596,"100,000"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CURRENT GRANTS,Curriculum and Behaviour Group,CSABT LIMITED MUSIC & DANCE SCHEME,4000042598,"9,488,630"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CURRENT GRANTS,Children Young People and Families Supporting Delivery Group,DONCASTER METROPOLITAN BOROUGH COUNCIL,4000042603,"336,080"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,UTILITIES,Chief Information Officer Group EFM,EDF ENERGY,4000042604,"52,594"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CURRENT GRANTS,Academies Delivery Group,EDUTRUST ACADEMIES CHARITABLE TRUST,4000042605,"91,588"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CAPITAL GRANTS,School Resources Group,HARRIS CTC,4000042612,"324,142"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CAPITAL GRANTS,School Resources Group,HEREFORD STEINER ACADEMY,4000042613,"335,159"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CAPITAL GRANTS,School Resources Group,HEREFORDSHIRE COUNCIL,4000042614,"374,827"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CURRENT GRANTS,Academies Delivery Group,JOHN KYRLE HIGH SCHOOL & SIXTH FORM,4000042624,"25,000"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CURRENT GRANTS,Academies Delivery Group,LANCASTER GIRLS GRAMMAR SCHOOL,4000042627,"25,000"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CONTRACT PROGRAMME EXPENDITURE,Curriculum and Behaviour Group,LEARNING AND SKILLS NETWORK LTD,4000042628,"195,982"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CURRENT GRANTS,Supporting Children and Young People Group 2,MANCHESTER CITY COUNCIL,4000042632,"77,015"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,PROPERTY PROVISION - UTILISATION CASH,Chief Information Officer Group EFM,MCR 3 LTD,4000042633,"26,364"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,RESEARCH & DEVELOPMENT COSTS,"Strategic Analysis, Research and Policy Impact Group",NATIONAL CENTRE FOR SOCIAL RESEARCH,4000042635,"35,009"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CURRENT GRANTS,Supporting Children and Young People Group 2,NATIONAL YOUTH AGENCY,4000042637,"124,530"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CURRENT GRANTS,Curriculum and Behaviour Group,OXFORDSHIRE COUNTY COUNCIL,4000042639,"46,974"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,MANAGEMENT CONSULTANCY,Chief Information Officer Group,PA CONSULTING,4000042640,"41,398"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,MANAGEMENT CONSULTANCY,Children Young People and Families Improving Information Sharing and Management Group,PA CONSULTING GROUP,4000042641,"223,739"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,MANAGEMENT CONSULTANCY,Children Young People and Families Improving Information Sharing and Management Group,PA CONSULTING GROUP,4000042641,"78,611"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CURRENT GRANTS,Curriculum and Behaviour Group,ROTHERHAM MBC,4000042647,"18,742"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CAPITAL GRANTS,School Resources Group,ROTHERHAM MBC,4000042647,"10,484"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,MANAGEMENT CONSULTANCY,Finance Group Shared Services and Children and Young People,RUSSAM GMS,4000042649,"26,099"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Early Years Extended Schools and Special Needs,SERCO LTD,4000042651,"580,281"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CURRENT GRANTS,Curriculum and Behaviour Group,SOUTH WEST MUSIC SCHOOL,4000042654,"27,000"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Supporting Delivery Group,SPRINGBOARD,4000042655,"401,205"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CURRENT GRANTS,Children Young People and Families Early Years Extended Schools and Special Needs,THE FAMILY FUND TRUST,4000042658,"1,877,000"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CONTRACT PROGRAMME EXPENDITURE,Curriculum and Behaviour Group,THE GEOGRAPHICAL ASSOCIATION,4000042659,"43,735"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CAPITAL GRANTS,School Resources Group,THE HAREFIELD ACADEMY,4000042660,"116,662"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,MANAGEMENT CONSULTANCY,Children Young People and Families Group,TRIBAL EDUCATION LIMITED,4000042663,"279,721"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,MANAGEMENT CONSULTANCY,School Standards Group,WHITE CONSULTANTS LTD CATALIST,4000042671,"28,591"
Department for Education,DEPARTMENT FOR EDUCATION,21/12/2010,CURRENT GRANTS,Curriculum and Behaviour Group,YORKSHIRE YOUNG  MUSCIANS,4000042674,"53,000"
Department for Education,TEACHERS PENSION SCHEME,22/12/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP HSBC,1000424,"176,233"
Department for Education,TEACHERS PENSION SCHEME,22/12/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP NATWEST,1000425,"15,472,605"
Department for Education,DEPARTMENT FOR EDUCATION,22/12/2010,MISCELLANEOUS EXPENDITURE,Curriculum and Behaviour Group,ASSOCIATION FOR PHYSICAL EDUCATION,4000042709,"32,781"
Department for Education,DEPARTMENT FOR EDUCATION,22/12/2010,GENERAL OFFICE EXPENSES,People and Change,CABINET OFFICE,4000042713,"50,231"
Department for Education,DEPARTMENT FOR EDUCATION,22/12/2010,COMMUNICATIONS & PUBLICITY,Academies Policy and Schools Organisation Group,COI CENTRAL OFFICE OF INFORMATION,4000042714,"26,320"
Department for Education,DEPARTMENT FOR EDUCATION,22/12/2010,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Early Years Extended Schools and Special Needs,CONTINYOU SOLUTIONS LTD,4000042715,"96,350"
Department for Education,DEPARTMENT FOR EDUCATION,22/12/2010,MISCELLANEOUS EXPENDITURE,People and Change,EDENRED,4000042717,"51,433"
Department for Education,DEPARTMENT FOR EDUCATION,22/12/2010,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Early Years Extended Schools and Special Needs,PARADIGM,4000042720,"58,750"
Department for Education,DEPARTMENT FOR EDUCATION,22/12/2010,RATES & SERVICE CHARGES,Chief Information Officer Group EFM,PARWICK INVESTMENTS LTD,4000042721,"1,581,279"
Department for Education,DEPARTMENT FOR EDUCATION,23/12/2010,CURRENT GRANTS,Curriculum and Behaviour Group,ENGINEERING UK,1000305,"150,000"
Department for Education,TEACHERS PENSION SCHEME,23/12/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP NATWEST,1000427,"87,638,705"
Department for Education,DEPARTMENT FOR EDUCATION,23/12/2010,CURRENT GRANTS,School Resources Group,BARNSLEY MBC,4000042728,"221,087"
Department for Education,DEPARTMENT FOR EDUCATION,23/12/2010,CURRENT GRANTS,School Resources Group,BATH & NORTH EAST SOMERSET COUNCIL,4000042729,"110,099"
Department for Education,DEPARTMENT FOR EDUCATION,23/12/2010,CURRENT GRANTS,School Resources Group,BEDFORD BOROUGH COUNCIL,4000042730,"184,187"
Department for Education,DEPARTMENT FOR EDUCATION,23/12/2010,CURRENT GRANTS,School Resources Group,BIRMINGHAM CITY COUNCIL,4000042731,"517,453"
