Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Expenditure Description,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,28/03/2012,Capital Grants,Education Funding Group,STAFFORDSHIRE COUNCIL,Public Sector,Capital grants paid to Local Authorities,4000075686,278263
Department for Education,DEPARTMENT FOR EDUCATION,28/03/2012,Capital Grants,Education Funding Group,SUFFOLK COUNTY COUNCIL,Public Sector,Capital grants paid to Local Authorities,4000075688,71341.14
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2012,Capital Grants,Education Funding Group,THE ACADEMY SELSEY,Public Sector,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",4000073421,38681.01
Department for Education,DEPARTMENT FOR EDUCATION,26/03/2012,Capital Grants,Education Funding Group,THE FOREST ACADEMY,Public Sector,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",4000075508,140000
Department for Education,DEPARTMENT FOR EDUCATION,26/03/2012,Capital Grants,Education Funding Group,THE MACCLESFIELD ACADEMY,Public Sector,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",4000075511,38311.55
Department for Education,DEPARTMENT FOR EDUCATION,19/03/2012,Capital Grants,Education Funding Group,THE SITTINGBOURNE COMMUNITY COLLEGE,Public Sector,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",4000074587,130000
Department for Education,DEPARTMENT FOR EDUCATION,01/03/2012,Capital Grants,Education Funding Group,TREVERBYN ACADEMY,Public Sector,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",4000073257,30000
Department for Education,DEPARTMENT FOR EDUCATION,28/03/2012,Capital Grants,Education Funding Group,UNITED LEARNING TRUST,Public Sector,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",4000075700,33996
Department for Education,DEPARTMENT FOR EDUCATION,08/03/2012,Capital Grants,Education Funding Group,WALSALL COUNCIL,Public Sector,Capital grants paid to Local Authorities,4000073796,140000
Department for Education,DEPARTMENT FOR EDUCATION,20/03/2012,Capital Grants,Education Funding Group,WARDEN PARK ACADEMY TRUST,Public Sector,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",4000074704,38095
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BARNSLEY MBC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074912,765660
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BATH & NORTH EAST SOMERSET COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074913,421559
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BEDFORD BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074914,507473
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BIRMINGHAM CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074915,5361849
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BLACKBURN WITH DARWEN BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074916,706540
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BLACKPOOL BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074917,476800
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BOLTON MBC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074918,935541
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BOURNEMOUTH BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074919,314841
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BRACKNELL FOREST BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074920,219265
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BRIGHTON & HOVE CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074921,574977
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BRISTOL CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074922,1090030
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BUCKINGHAMSHIRE COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074923,1305458
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,BURY MBC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074924,504979
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,CALDERDALE MBC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074925,761178
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,CAMBRIDGESHIRE COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074926,1268032
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,CENTRAL BEDFORDSHIRE COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074927,568331
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,CHESHIRE EAST COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074928,913217
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,CHESHIRE WEST & CHESTER COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074929,866612
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074930,2284951
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,CITY OF WESTMINSTER,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074932,581981
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,CORNWALL COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074933,1303282
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,COVENTRY CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074935,1218321
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,CUMBRIA COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074936,1348971
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,DARLINGTON BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074937,306911
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,DERBY CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074938,934196
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,DERBYSHIRE COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074939,2074995
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,DEVON COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074940,1679885
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,DONCASTER MBC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074941,1003853
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,DORSET COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074942,909763
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,DUDLEY MBC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074943,977973
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,DURHAM COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074944,1759553
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,EAST RIDING OF YORKSHIRE,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074945,836797
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,EAST SUSSEX COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074946,1205299
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,ESSEX COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074947,3339445
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,GATESHEAD MBC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074948,723055
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,GLOUCESTERSHIRE COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074949,1542642
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,HALTON BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074950,285319
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,HAMPSHIRE COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074951,2679179
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,HARTLEPOOL BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074952,438282
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,HEREFORDSHIRE COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074953,518047
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,HERTFORDSHIRE,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074954,2753719
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,ISLE OF WIGHT COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074955,312010
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,KENT COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074956,3882045
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,KINGSTON UPON HULL COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074957,898364
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,KIRKLEES COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074958,1514043
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,KNOWSLEY MBC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074959,582802
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LANCASHIRE COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074960,3441935
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LEEDS CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074961,2339580
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LEICESTER CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074962,1289039
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LEICESTERSHIRE COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074963,1436253
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LINCOLNSHIRE COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074964,2035673
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LIVERPOOL CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074965,1845484
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF BARKING & DAGENHAM COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074966,808775
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF BARNET COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074967,1028704
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF BEXLEY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074968,722380
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF BRENT,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074969,1145791
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF BROMLEY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074970,870136
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF CAMDEN,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074971,742285
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF CROYDON COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074972,1040791
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF EALING COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074973,1286670
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF ENFIELD COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074974,1204103
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF GREENWICH,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074975,1086467
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF HAMMERSMITH & FULHAM COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074976,535872
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF HARINGEY,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074977,1054481
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF HARROW COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074978,614569
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF HAVERING COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074979,684169
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF HILLINGDON  COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074980,850991
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF HOUNSLOW COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074981,925868
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF ISLINGTON COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074982,747212
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF LAMBETH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074983,1109470
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF LEWISHAM,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074984,1018100
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF MERTON COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074985,397529
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF NEWHAM,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074986,1710865
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF REDBRIDGE,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074987,897696
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF RICHMOND UPON THAMES,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074988,297334
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF SOUTHWARK COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074989,1088088
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF SUTTON,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074990,504963
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF TOWER HAMLETS COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074991,1666086
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF WALTHAM FOREST COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074992,1088241
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF WANDSWORTH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074993,885343
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,LUTON BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074994,801795
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,MANCHESTER CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074995,2005496
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,MEDWAY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074996,718095
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,METROPOLITAN BOROUGH OF WIRRAL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074997,1176832
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,MIDDLESBROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074998,549242
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,MILTON KEYNES COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074999,758562
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,NEWCASTLE CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075000,939308
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,NORFOLK COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075001,2240993
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,NORTH EAST LINCOLNSHIRE COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075002,417797
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,NORTH LINCOLNSHIRE COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075003,525718
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,NORTH SOMERSET COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075004,543900
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,NORTH TYNESIDE,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075005,725730
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,NORTH YORKSHIRE COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075006,1477412
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,NORTHAMPTONSHIRE COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075007,1840980
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,NORTHUMBERLAND COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075008,877050
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,NOTTINGHAM CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075009,929949
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,NOTTINGHAMSHIRE COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075010,1922057
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,OLDHAM MBC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075011,1032285
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,OXFORDSHIRE COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075012,1371705
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,PETERBOROUGH CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075013,622882
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,PLYMOUTH CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075014,783171
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,POOLE BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075015,294737
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,PORTSMOUTH CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075016,516568
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,READING BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075017,336041
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,REDCAR & CLEVELAND BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075018,625582
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,ROCHDALE MBC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075019,836390
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,ROTHERHAM MBC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075020,1061247
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,ROYAL BOROUGH OF KINGSTON UPON THAMES COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075021,348858
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,RUTLAND COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075022,83024
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,SALFORD CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075023,814453
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,SANDWELL MBC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075024,1072183
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,SEFTON COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075025,938100
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,SHEFFIELD CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075026,1693916
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,SHROPSHIRE COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075027,683958
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,SLOUGH BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075028,516227
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,SOLIHULL MBC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075029,597682
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,SOMERSET COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075030,1263347
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,SOUTH GLOUCEST,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075031,552069
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,SOUTH TYNESIDE,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075032,653814
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,SOUTHAMPTON CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075033,557668
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,SOUTHEND ON SEA BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075034,590658
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,ST HELENS MBC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075035,608332
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,STAFFORDSHIRE COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075036,1948922
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,STOCKPORT MBC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075037,695792
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,STOCKTON ON TEES,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075038,678280
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,STOKE ON TRENT CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075039,935114
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,SUFFOLK COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075040,1658292
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Education Funding Group,SUNDERLAND CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075041,843455
