Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Expenditure Description,Supplier Type,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Finance and Commercial Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,20.7
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Finance and Commercial Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,367.62
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Finance and Commercial Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,1063.91
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Finance and Commercial Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,0.01
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Finance and Commercial Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,41.4
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Finance and Commercial Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,1.63
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Finance and Commercial Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,20.7
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Finance and Commercial Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,20.7
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Finance and Commercial Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,4.8
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Internal Audit,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,39.89
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Internal Audit,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,143.1
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Post 16 Young People Learning Agency Resources Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,0.86
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Post 16 Young People Learning Agency Resources Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,87.6
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Delivery Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,17.65
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Delivery Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,61.8
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Delivery Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,0.49
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Delivery Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,20.7
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,1.63
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,80.4
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,3.08
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,62.1
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,0.46
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,131.4
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,3.54
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,20.7
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,Current Grants,Academies Delivery Group,OUTWOOD GRANGE ACADEMIES TRUST,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067712,83524.55
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Delivery Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,42.43
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Delivery Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,245.54
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Communications Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,38.37
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Communications Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,225.3
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Communications Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,0.67
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Communications Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,20.4
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Communications Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,20.7
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Communications Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,89.36
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Communications Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,253.5
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,5.17
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,560.32
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,25.16
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Free School Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,4.1
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Free School Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,39
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Free School Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,8.02
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Free School Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,187.99
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Free School Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,8.1
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Free School Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,247.5
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Free School Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,4386.64
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Free School Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,190.2
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Free School Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,14.22
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Free School Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,253.2
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Education Funding Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,72.6
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,4.73
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,46.2
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Young People Analysis Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,7.25
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Young People Analysis Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,20.7
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Communications Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,0.34
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Communications Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,63
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,4.24
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,20.7
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Education Funding Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,0.38
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Education Funding Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,4.8
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Communications Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,38.12
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Communications Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,490.16
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Free School Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,0.06
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Free School Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,20.7
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Delivery Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,7.92
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Delivery Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,82.5
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Communications Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,27.86
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Communications Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,172.78
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Education Funding Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,10.66
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Education Funding Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,124.2
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,20.7
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Education Funding Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,5.62
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Education Funding Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,71.4
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,10.33
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,273.6
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Education Funding Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,7.13
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Education Funding Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,4.5
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Delivery Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,158.53
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Academies Delivery Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,1216.5
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Education Funding Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,4.68
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Education Funding Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,123.9
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Free School Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,25.16
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Post 16 Young People Learning Agency Resources Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,9.6
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Post 16 Young People Learning Agency Resources Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,2.37
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Post 16 Young People Learning Agency Resources Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,46.2
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Young People Directorate Support,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,5.54
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Young People Directorate Support,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,66.9
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Young People Directorate Support,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,1.76
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Young People Directorate Support,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,20.87
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Group Legal Advisors Office,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,2.26
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Group Legal Advisors Office,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,46.2
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Private Office ,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,102.53
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Private Office ,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,492.01
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Private Office ,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,0.01
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Private Office ,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,20.7
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Private Office ,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,5.51
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Private Office ,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,20.4
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Strategy and Performance Group,VODAFONE CORPORATE,"Costs related to fixed and mobile telecoms including call charges, line rental and equipment for mobile phones and pagers",Commercial,4000067734,14.63
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Strategy and Performance Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,388.2
Department for Education,DEPARTMENT FOR EDUCATION,16/12/2011,ICT,Strategy and Performance Group,VODAFONE CORPORATE,Costs related to fixed and mobile telecoms including equipment and call charges including mobile rental costs,Commercial,4000067734,168
Department for Education,TEACHERS PENSION SCHEME,16/12/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000892,37259.24
Department for Education,TEACHERS PENSION SCHEME,16/12/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000893,17459194.75
Department for Education,DEPARTMENT FOR EDUCATION,19/12/2011,Professional Services Other,Children Young People and Families Early Years Extended Schools and Special Needs Group,NATIONAL CENTRE FOR SOCIAL RESEARCH,"Costs related to research and evaluation activities including contracted out data collation / gathering exercises when there is no analysis or recommendation.
Specifically for the evaluation of disabled children's access to childcare - Final report. ",VCS,1000511,27452
Department for Education,DEPARTMENT FOR EDUCATION,19/12/2011,Current Grants,Children Young People and Families Directorate,BRITISH YOUTH COUNCIL,"Current grant to third sector organisation / not for profit organisation.
Specifically for the National Youth Voice",VCS,4000067786,40478
Department for Education,DEPARTMENT FOR EDUCATION,19/12/2011,Current Grants,Families Group,MARRIAGE CARE,"Current grant to third sector organisation / not for profit organisation.
Part of the Voluntary and Community Organisations £60m grant. ",VCS,4000067808,66731
Department for Education,DEPARTMENT FOR EDUCATION,19/12/2011,Current Grants,Curriculum and Behaviour Group,SING UP,Current grant to third sector organisation / not for profit organisation,VCS,4000067821,333332
Department for Education,DEPARTMENT FOR EDUCATION,19/12/2011,DfE Programme Costs,Academies Delivery Group,PKF UK LLP,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,Commercial,4000067813,28959
Department for Education,DEPARTMENT FOR EDUCATION,19/12/2011,Current Grants,Academies Delivery Group,PKF UK LTD,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Commercial,4000067814,78050.75
Department for Education,DEPARTMENT FOR EDUCATION,19/12/2011,Current Grants,Academies Delivery Group,ULT ACCRINGTON ACADEMY,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067827,50000
Department for Education,DEPARTMENT FOR EDUCATION,19/12/2011,Current Grants,Academies Delivery Group,BY BROOK VALLEY CE PRIMARY SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067787,25000
Department for Education,TEACHERS PENSION SCHEME,19/12/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000895,46186001.31
Department for Education,STANDARDS AND TESTING AGENCY,19/12/2011,DfE Programme Costs,Standards and Testing Agency Test Operation Division,EDEXCEL,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
Specifically for marking and related services for Key Stage 2 Mathematics and English Reading and Writing 2011 National Curriculum test cycle",Commercial,4000067794,1100000
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067889,2160.79
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2011,Personnel Related,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Costs related to subsistence and lodging allowances for official duty,Commercial,4000067889,590.75
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2011,Travel and Events,ALB Reform Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067889,1345.79
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067889,545.46
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067889,-90.17
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067889,544.89
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2011,Travel and Events,Children Young People and Families Directorate Support Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067889,-20.85
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067889,211.89
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2011,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067889,808.68
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067889,1046.88
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067889,263.66
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067889,1023.62
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067889,47.38
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067889,-24
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067889,-37.82
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067889,606.42
Department for Education,DEPARTMENT FOR EDUCATION,20/12/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067889,739.44
