Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Ministry of Defence,Ministry of Defence,05/05/2010,Purchase of inventory and services ,Land Forces,XMA LTD,629200,14887.89
Ministry of Defence,Ministry of Defence,07/05/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,630084,14883.41
Ministry of Defence,Ministry of Defence,28/05/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,641883,14776.8
Ministry of Defence,Ministry of Defence,14/05/2010,Transport hire charges,Defence Equipment & Support,VT LAND (WHITEFLEET MANAGEMENT) LTD,634697,14715.08
Ministry of Defence,Ministry of Defence,13/05/2010,Purchase of inventory and services ,Land Forces,LYRECO UK LTD,633548,14678.24
Ministry of Defence,Ministry of Defence,27/05/2010,Payment of utilities,Navy Command,TOTAL GAS & POWER LIMITED,641829,14608.47
Ministry of Defence,Ministry of Defence,20/05/2010,Medical treatment & stores and welfare services.,Air Command,HCL HEALTHCARE LIMITED,637134,14596.98
Ministry of Defence,Ministry of Defence,14/05/2010,Estate management,Defence Estates,SERCO LIMITED,634577,14408.12
Ministry of Defence,Ministry of Defence,14/05/2010,Purchase of inventory and services ,Air Command,XMA LTD,634723,14385.56
Ministry of Defence,Ministry of Defence,11/05/2010,Fees for professional services,Land Forces,CORPORATE DOCUMENT SERVICES  LIMITED,631910,14284.72
Ministry of Defence,Ministry of Defence,19/05/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,636147,14264.96
Ministry of Defence,Ministry of Defence,06/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,QINETIQ LIMITED,629828,14253.07
Ministry of Defence,Ministry of Defence,06/05/2010,IT and communication services,Navy Command,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,629398,14250.42
Ministry of Defence,Ministry of Defence,17/05/2010,Purchase of inventory and services ,Land Forces,XMA LTD,635470,14216.88
Ministry of Defence,Ministry of Defence,28/05/2010,Purchase of inventory and services ,Defence Equipment & Support,WF ELECTRICAL PLC,642627,14189.54
Ministry of Defence,Ministry of Defence,27/05/2010,Design services and minor equipment purchases,Air Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,641860,14159.53
Ministry of Defence,Ministry of Defence,06/05/2010,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,630002,14107.94
Ministry of Defence,Ministry of Defence,12/05/2010,Food and clothing,Air Command,TURNER VIRR & CO. LTD,633148,14027.66
Ministry of Defence,Ministry of Defence,13/05/2010,IT and communication services,Defence Equipment & Support,IBM UNITED KINGDOM LIMITED,633495,14000
Ministry of Defence,Ministry of Defence,18/05/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,635479,13991.89
Ministry of Defence,Ministry of Defence,20/05/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,636889,13987.32
Ministry of Defence,Ministry of Defence,27/05/2010,"Transporation of personnel, freight and travel expenses",Land Forces,KINGS HEAVY HAULAGE (BRISTOL) LIMITED,641519,13985
Ministry of Defence,Ministry of Defence,10/05/2010,"Transportation of personnel, freight and travel expenses",Central TLB,CARTUS LTD,631122,13940.44
Ministry of Defence,Ministry of Defence,07/05/2010,Food and clothing,Land Forces,COMPASS CONTRACT SERVICES (U K)LIMITED,630279,13883.43
Ministry of Defence,Ministry of Defence,19/05/2010,Purchase of inventory and services ,Land Forces,XMA LTD,636881,13835.97
Ministry of Defence,Ministry of Defence,27/05/2010,Purchase of inventory and services ,Land Forces,XMA LTD,641876,13805.27
Ministry of Defence,Ministry of Defence,07/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,ITW LIMITED,630479,13718.52
Ministry of Defence,Ministry of Defence,04/05/2010,Purchase of inventory and services ,Defence Equipment & Support,ROYSTON LTD,628397,13679.95
Ministry of Defence,Ministry of Defence,10/05/2010,Purchase of inventory and services ,Defence Equipment & Support,FORBO FLOORING UK LIMITED,631236,13669.48
Ministry of Defence,Ministry of Defence,26/05/2010,Fees for professional services,Defence Estates,ENTEC U K LTD,640676,13611.39
Ministry of Defence,Ministry of Defence,25/05/2010,Food and clothing,Land Forces,COMPASS CONTRACT SERVICES (U K)LIMITED,639844,13527.09
Ministry of Defence,Ministry of Defence,17/05/2010,Payments on behalf of Defence Support Group,Central TLB,UNIPART GROUP LIMITED,635436,13379.97
Ministry of Defence,Ministry of Defence,19/05/2010,Purchase of inventory and services ,Command Joint Operations,FORBO FLOORING UK LIMITED,636353,13361.64
Ministry of Defence,Ministry of Defence,07/05/2010,Transport hire charges,Defence Estates,VT LAND (WHITEFLEET MANAGEMENT) LTD,630994,13299.26
Ministry of Defence,Ministry of Defence,12/05/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,632430,13268.69
Ministry of Defence,Ministry of Defence,21/05/2010,Fees for professional services,Central TLB,CORPORATE DOCUMENT SERVICES  LIMITED,637713,13196.44
Ministry of Defence,Ministry of Defence,06/05/2010,Estate management,Defence Equipment & Support,SODEXO LTD,629907,13145.06
Ministry of Defence,Ministry of Defence,10/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,VT LAND (WHITEFLEET MANAGEMENT) LTD,631748,13118.04
Ministry of Defence,Ministry of Defence,10/05/2010,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,DHL GLOBAL FORWARDING (UK)  LIMITED,631174,13111.12
Ministry of Defence,Ministry of Defence,18/05/2010,Payment of utilities,Air Command,ESSO PETROLEUM COMPANY LIMITED,635678,13045.67
Ministry of Defence,Defence Support Group,12/05/2010,Electricity,Business Stream 1,THE ACCOUNTING OFFIC,424049,12995.83
Ministry of Defence,Ministry of Defence,18/05/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,635479,12920.16
Ministry of Defence,Ministry of Defence,26/05/2010,Medical treatment & stores and welfare services.,Land Forces,HONEYBEERECRUITMENT.COM LTD,135925,12884.51
Ministry of Defence,Ministry of Defence,19/05/2010,Transport hire charges,Defence Estates,VT LAND (WHITEFLEET MANAGEMENT) LTD,636861,12869.24
Ministry of Defence,Ministry of Defence,20/05/2010,Medical treatment & stores and welfare services.,Land Forces,THE SOLDIERS  SAILORS  AIRMEN AND FAMILIES ASS - FORCES HELP,637470,12831.25
Ministry of Defence,Ministry of Defence,11/05/2010,Fees for professional services,Air Command,CORPORATE DOCUMENT SERVICES  LIMITED,631910,12810.7
Ministry of Defence,Ministry of Defence,18/05/2010,Purchase of inventory and services ,Land Forces,OFFICE DEPOT UK LTD,635918,12736.58
Ministry of Defence,Ministry of Defence,04/05/2010,Purchase of inventory and services ,Land Forces,FORBO FLOORING UK LIMITED,628194,12714.84
Ministry of Defence,Ministry of Defence,26/05/2010,Payment of utilities,Navy Command,TOTAL GAS & POWER LIMITED,641147,12483.17
Ministry of Defence,Ministry of Defence,17/05/2010,Fees for professional services,Land Forces,MILLS & REEVE LLP,635093,12391.93
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,629212,12328.93
Ministry of Defence,Ministry of Defence,10/05/2010,Property leases,Land Forces,WYG MANAGEMENT SERVICES LIMITED,631772,12244
Ministry of Defence,Ministry of Defence,07/05/2010,Property leases,Navy Command,FALCON SUPPORT SERVICES LIMITED,630380,12196.68
Ministry of Defence,Ministry of Defence,14/05/2010,Purchase of inventory and services ,Central TLB,FORBO FLOORING UK LIMITED,634196,12066.71
Ministry of Defence,Ministry of Defence,11/05/2010,Purchase of inventory and services ,Defence Equipment & Support,WOLF SAFETY LAMP COMPANY LIMITED (THE),632417,12043.75
Ministry of Defence,Ministry of Defence,10/05/2010,Purchase of inventory and services ,Defence Equipment & Support,CANON (UK) LIMITED,631113,12037.53
Ministry of Defence,Ministry of Defence,19/05/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,636147,11987.21
Ministry of Defence,Ministry of Defence,12/05/2010,Purchase of inventory and services ,Land Forces,PFIZER LIMITED,632986,11913.22
Ministry of Defence,Ministry of Defence,26/05/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,640418,11880.58
Ministry of Defence,Ministry of Defence,13/05/2010,Payment of utilities,Air Command,SGS UNITED KINGDOM LIMITED,633790,11833.5
Ministry of Defence,Ministry of Defence,07/05/2010,Fuel for military use,Defence Estates,PRAX PETROLEUM LTD,630793,11753.53
Ministry of Defence,Ministry of Defence,25/05/2010,Purchase of inventory and services ,Navy Command,XMA LTD,640411,11657.78
Ministry of Defence,Ministry of Defence,24/05/2010,Research and development,Defence Equipment & Support,QUINTEC ASSOCIATES LTD,638819,11628
Ministry of Defence,Ministry of Defence,05/05/2010,Estate management,Defence Equipment & Support,COMPASS CONTRACT SERVICES (U K)LIMITED,628655,11608.16
Ministry of Defence,Ministry of Defence,28/05/2010,Transport hire charges,Air Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,642620,11589.9
Ministry of Defence,Ministry of Defence,11/05/2010,Fees for professional services,Navy Command,CORPORATE DOCUMENT SERVICES  LIMITED,631910,11534.05
Ministry of Defence,Ministry of Defence,20/05/2010,IT and communication services,Land Forces,ELAN COMPUTING LTD,637084,11500
Ministry of Defence,Ministry of Defence,17/05/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,634735,11479.32
Ministry of Defence,Ministry of Defence,20/05/2010,Purchase of inventory and services ,Defence Estates,C F ANDERSON & SON LIMITED,636988,11455.78
Ministry of Defence,Ministry of Defence,04/05/2010,Payments on behalf of Defence Support Group,Central TLB,SODEXO LTD,628426,11420.02
Ministry of Defence,Ministry of Defence,25/05/2010,"Transporation of personnel, freight and travel expenses",Land Forces,K.C. TRANSPORT,639992,11420
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Other Services & Office costs,Operations,BARCLAYCARD,G - 9000123135 - 00082571,11279.28
Ministry of Defence,Ministry of Defence,05/05/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,628508,11217.79
Ministry of Defence,Ministry of Defence,18/05/2010,Purchase of inventory and services ,Air Command,C F ANDERSON & SON LIMITED,635571,11177.58
Ministry of Defence,Ministry of Defence,12/05/2010,Purchase of inventory and services ,Land Forces,XMA LTD,633202,11116.56
Ministry of Defence,Ministry of Defence,06/05/2010,Fees for professional services,Defence Estates,MOUCHEL MANAGEMENT CONSULTING LTD,135108,11115
Ministry of Defence,Ministry of Defence,21/05/2010,IT and communication services,Defence Equipment & Support,SYSTEMS CONSULTANTS SERVICES  LIMITED,638271,11092.5
Ministry of Defence,Ministry of Defence,27/05/2010,Design services and minor equipment purchases,Land Forces,VT LAND (WHITEFLEET MANAGEMENT) LTD,641860,11020.72
Ministry of Defence,Ministry of Defence,04/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,BAE SYSTEMS (OPERATIONS) LIMITED,628051,10999
Ministry of Defence,Defence Support Group,24/05/2010,General training,Business Stream 2,THE ACCOUNTING OFFIC,426942,10950
Ministry of Defence,Ministry of Defence,07/05/2010,Purchase of inventory and services ,Defence Equipment & Support,ITW LIMITED,630479,10781.88
Ministry of Defence,Ministry of Defence,27/05/2010,Payment of utilities,Defence Estates,GB OILS LIMITED,641454,10748.44
Ministry of Defence,Ministry of Defence,14/05/2010,Fees for professional services,Central TLB,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,634274,10720
Ministry of Defence,Ministry of Defence,11/05/2010,"Transportation of personnel, freight and travel expenses",Air Command,CARTUS LTD,631890,10637.31
Ministry of Defence,Ministry of Defence,26/05/2010,Estate management,Land Forces,TURNER FACILITIES MANAGEMENT LTD,641159,10630.4
Ministry of Defence,Ministry of Defence,27/05/2010,Transport hire charges,Defence Estates,VT LAND (WHITEFLEET MANAGEMENT) LTD,641860,10613.04
Ministry of Defence,Ministry of Defence,17/05/2010,Purchase of inventory and services ,Command Joint Operations,L WHITAKER & SONS (1983) LIMITED,635044,10600.21
Ministry of Defence,Ministry of Defence,20/05/2010,Externally delivered education and training.,Navy Command,QINETIQ LIMITED,637356,10565.58
Ministry of Defence,Ministry of Defence,20/05/2010,Food and clothing,Air Command,TURNER VIRR & CO. LTD,637494,10538.23
Ministry of Defence,Ministry of Defence,10/05/2010,Rental of plant and machinery,Land Forces,CANON (UK) LIMITED,631113,10507.96
Ministry of Defence,Ministry of Defence,20/05/2010,IT and communication services,Central TLB,METHODS CONSULTING LTD,637213,10500
Ministry of Defence,Ministry of Defence,18/05/2010,Fuel for military use,Land Forces,EXXONMOBIL PETROLEUM & CHEMICAL BVBA,2000008241,10490.45
Ministry of Defence,Ministry of Defence,13/05/2010,Purchase of inventory and services ,Land Forces,XMA LTD,633935,10482.15
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Central TLB,SERCO LIMITED,637394,10370.45
Ministry of Defence,Ministry of Defence,04/05/2010,"Transportation of personnel, freight and travel expenses",Command Joint Operations,DHL GLOBAL FORWARDING (UK)  LIMITED,628145,10290.95
Ministry of Defence,Ministry of Defence,25/05/2010,Design services and minor equipment purchases,Land Forces,VT LAND (WHITEFLEET MANAGEMENT) LTD,640389,10183.14
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of inventory and services ,Navy Command,FORBO FLOORING UK LIMITED,629484,10121.92
Ministry of Defence,Ministry of Defence,11/05/2010,Fees for professional services,Central TLB,CORPORATE DOCUMENT SERVICES  LIMITED,631910,10078.32
Ministry of Defence,Ministry of Defence,13/05/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,633214,10037.73
Ministry of Defence,Ministry of Defence,13/05/2010,Research and development,Central TLB,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,633367,10000
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Land Forces,VEOLIA ES (UK) LIMITED,637507,9995.92
Ministry of Defence,Ministry of Defence,12/05/2010,Payment of utilities,Defence Equipment & Support,SSE ENERGY SUPPLY LIMITED,633089,9885.3
Ministry of Defence,Ministry of Defence,13/05/2010,Fees for professional services,Land Forces,SYSTEMS CONSULTANTS SERVICES  LIMITED,633846,9864.13
Ministry of Defence,Ministry of Defence,19/05/2010,Payment of utilities,Land Forces,BRITISH GAS TRADING LIMITED,636226,9844.44
Ministry of Defence,Ministry of Defence,26/05/2010,Rent and rates,Navy Command,G J SUCKLING,640704,9833
Ministry of Defence,Ministry of Defence,14/05/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,633944,9830.59
Ministry of Defence,Ministry of Defence,07/05/2010,Fuel for military use,Air Command,BP INTERNATIONAL LIMITED,2000008141,9812.7
Ministry of Defence,Ministry of Defence,04/05/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,628009,9805.05
Ministry of Defence,Ministry of Defence,26/05/2010,Rent and rates,Central TLB,THE CROWN ESTATE,641124,9782.07
Ministry of Defence,Ministry of Defence,26/05/2010,Rent and rates,Navy Command,THE CROWN ESTATE,641124,9753.31
Ministry of Defence,Ministry of Defence,12/05/2010,Purchase of inventory and services ,Air Command,XMA LTD,633202,9707.15
Ministry of Defence,Ministry of Defence,24/05/2010,Purchase of inventory and services ,Air Command,CANON (UK) LIMITED,638481,9668.4
Ministry of Defence,Ministry of Defence,25/05/2010,Purchase of inventory and services ,Land Forces,C F ANDERSON & SON LIMITED,639809,9624.1
Ministry of Defence,Ministry of Defence,27/05/2010,Fees for professional services,Air Command,CORPORATE DOCUMENT SERVICES  LIMITED,641357,9618.29
Ministry of Defence,Defence Support Group,05/05/2010,Direct Materials,Jordan,IMER-REMAN LTD,423826,9600
Ministry of Defence,Ministry of Defence,14/05/2010,Estate management,Defence Estates,QINETIQ LIMITED,634531,9575.17
Ministry of Defence,Ministry of Defence,12/05/2010,Food and clothing,Navy Command,TURNER VIRR & CO. LTD,633148,9549.46
Ministry of Defence,Ministry of Defence,27/05/2010,Transport hire charges,Command Joint Operations,VT LAND (WHITEFLEET MANAGEMENT) LTD,641860,9510.11
Ministry of Defence,Ministry of Defence,04/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,THALES AVIONICS LIMITED,628453,9460.23
Ministry of Defence,Ministry of Defence,11/05/2010,"Transportation of personnel, freight and travel expenses",Defence Estates,CARTUS LTD,631890,9412.82
Ministry of Defence,Ministry of Defence,17/05/2010,Fees for professional services,Command Joint Operations,HONEYBEERECRUITMENT.COM LTD,135490,9373.4
Ministry of Defence,Ministry of Defence,27/05/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,641216,9337.06
Ministry of Defence,Ministry of Defence,24/05/2010,Purchase of inventory and services ,Land Forces,CANON (UK) LIMITED,638481,9305.21
Ministry of Defence,Ministry of Defence,18/05/2010,Purchase of inventory and services ,Air Command,XMA LTD,636140,9297.59
Ministry of Defence,Ministry of Defence,06/05/2010,Design services and minor equipment purchases,Land Forces,TURNER FACILITIES MANAGEMENT LTD,630002,9295.5
Ministry of Defence,Ministry of Defence,07/05/2010,Design services and minor equipment purchases,Land Forces,TURNER FACILITIES MANAGEMENT LTD,630972,9295.5
Ministry of Defence,Ministry of Defence,14/05/2010,Service and civilian recruitment,Defence Equipment & Support,TMP (UK) LIMITED,634657,9279.33
Ministry of Defence,Ministry of Defence,19/05/2010,Medical treatment & stores and welfare services.,Land Forces,HONEYBEERECRUITMENT.COM LTD,135590,9278.95
Ministry of Defence,Ministry of Defence,04/05/2010,Fees for professional services,Defence Equipment & Support,SYSTEMS CONSULTANTS SERVICES  LIMITED,628444,9200
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of inventory and services ,Land Forces,FORBO FLOORING UK LIMITED,629484,9162.72
Ministry of Defence,Ministry of Defence,27/05/2010,Payment of utilities,Navy Command,GB OILS LIMITED,641454,9095.58
Ministry of Defence,Ministry of Defence,19/05/2010,Payment of utilities,Defence Equipment & Support,BRITISH GAS TRADING LIMITED,636226,9088.96
Ministry of Defence,Ministry of Defence,12/05/2010,"Transporation of personnel, freight and travel expenses",Land Forces,E.ON WESTFALEN WESE VETRIEB GMBH,5000034780,9058.95
Ministry of Defence,Ministry of Defence,11/05/2010,Medical treatment & stores and welfare services.,Air Command,COYLE PERSONNEL PLC,631912,9042.23
Ministry of Defence,Ministry of Defence,10/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,SYSTEMS ENGINEERING & ASSESSMENT LTD,631683,9007.94
Ministry of Defence,Ministry of Defence,06/05/2010,"Transportation of personnel, freight and travel expenses",Central TLB,CARTUS LTD,629344,8972.92
Ministry of Defence,Ministry of Defence,13/05/2010,Purchase of inventory and services ,Air Command,XMA LTD,633935,8953.18
Ministry of Defence,Ministry of Defence,06/05/2010,Payment of utilities,Defence Estates,BRITISH GAS TRADING LIMITED,629323,8876.99
Ministry of Defence,Ministry of Defence,17/05/2010,Payments on behalf of Defence Support Group,Central TLB,VT LAND (WHITEFLEET MANAGEMENT) LTD,635452,8839.29
Ministry of Defence,Ministry of Defence,06/05/2010,Medical treatment & stores and welfare services.,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,629398,8792.27
Ministry of Defence,Ministry of Defence,28/05/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,641883,8744.73
Ministry of Defence,Ministry of Defence,27/05/2010,Purchase of inventory and services ,Air Command,BUNZL UK LIMITED,641316,8708.24
Ministry of Defence,Ministry of Defence,11/05/2010,"Transportation of personnel, freight and travel expenses",Central TLB,RYDER DEUTSCHLAND GMBH,5000034734,8675.05
Ministry of Defence,Ministry of Defence,12/05/2010,Purchase of inventory and services ,Command Joint Operations,PFIZER LIMITED,632986,8554.36
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Professional Services,Infrastructure,BARCLAYCARD,G - 9000123135 - 00082571,8518.75
Ministry of Defence,Ministry of Defence,04/05/2010,Purchase of inventory and services ,Air Command,XMA LTD,628501,8505.9
Ministry of Defence,Ministry of Defence,27/05/2010,"Transporation of personnel, freight and travel expenses",Land Forces,DSV AIR & SEA LIMITED,641396,8502.29
Ministry of Defence,Ministry of Defence,28/05/2010,Purchase of inventory and services ,Land Forces,L WHITAKER & SONS (1983) LIMITED,642203,8453.03
Ministry of Defence,Ministry of Defence,12/05/2010,Transport hire charges,Central TLB,VT LAND (WHITEFLEET MANAGEMENT) LTD,633178,8422.07
Ministry of Defence,Ministry of Defence,19/05/2010,Design services and minor equipment purchases,Land Forces,G3 SYSTEMS LIMITED,636361,8410.18
Ministry of Defence,Ministry of Defence,11/05/2010,Purchase of inventory and services ,Land Forces,OFFICE DEPOT UK LTD,632200,8367.81
Ministry of Defence,Ministry of Defence,20/05/2010,Purchase of inventory and services ,Command Joint Operations,L WHITAKER & SONS (1983) LIMITED,637177,8313.38
Ministry of Defence,Ministry of Defence,13/05/2010,Externally delivered education and training.,Central TLB,QINETIQ LIMITED,633721,8304
Ministry of Defence,Ministry of Defence,21/05/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,637542,8268.16
Ministry of Defence,Ministry of Defence,17/05/2010,Medical treatment & stores and welfare services.,Land Forces,HONEYBEERECRUITMENT.COM LTD,135490,8256.54
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Travel & Subsistence,Infrastructure,BARCLAYCARD,G - 9000123135 - 00082570,8209.61
Ministry of Defence,Ministry of Defence,10/05/2010,Purchase of inventory and services ,Central TLB,CANON (UK) LIMITED,631113,8204.16
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Other Services & Office costs,Operations,BARCLAYCARD,G - 9000123135 - 00082570,8176.19
Ministry of Defence,Ministry of Defence,11/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,VT LAND (WHITEFLEET MANAGEMENT) LTD,632400,8158.92
Ministry of Defence,Ministry of Defence,12/05/2010,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,DHL GLOBAL FORWARDING (UK)  LIMITED,632622,8138.71
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of buildings and military equipment ,Air Command,MOUCHEL MANAGEMENT CONSULTING LTD,135108,8090.25
Ministry of Defence,Ministry of Defence,13/05/2010,Payment of utilities,Central TLB,TOTAL GAS & POWER LIMITED,633879,8074.14
Ministry of Defence,Ministry of Defence,28/05/2010,Purchase of buildings and military equipment ,Defence Estates,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,642252,8071.46
Ministry of Defence,Ministry of Defence,19/05/2010,Transport hire charges,Command Joint Operations,VT LAND (WHITEFLEET MANAGEMENT) LTD,636861,8020.75
Ministry of Defence,Ministry of Defence,28/05/2010,Purchase of inventory and services ,Air Command,XMA LTD,642634,7977.63
Ministry of Defence,Ministry of Defence,07/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,HALE HAMILTON (VALVES) LTD,630430,7973
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Staff Training,Infrastructure,BARCLAYCARD,G - 9000123135 - 00082571,7948.02
Ministry of Defence,Ministry of Defence,10/05/2010,Purchase of inventory and services ,Air Command,THYSSENKRUPP AEROSPACE UK LTD,631720,7927.59
Ministry of Defence,Ministry of Defence,05/05/2010,Nuclear decommissioning and restoration,Defence Equipment & Support,ENTEC U K LTD,628723,7882.85
Ministry of Defence,Ministry of Defence,17/05/2010,Purchase of inventory and services ,Air Command,BUNZL UK LIMITED,634832,7871.14
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Professional Services,Operations,BARCLAYCARD,G - 9000123135 - 00082571,7665.39
Ministry of Defence,Ministry of Defence,04/05/2010,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,628501,7653.44
Ministry of Defence,Ministry of Defence,14/05/2010,Estate management,Land Forces,ISS MEDICLEAN LTD,634248,7637.22
Ministry of Defence,Ministry of Defence,06/05/2010,Estate management,Central TLB,SODEXO LTD,629907,7589.52
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Air Command,VEOLIA ES (UK) LIMITED,637507,7586.5
Ministry of Defence,Ministry of Defence,13/05/2010,IT and communication services,Central TLB,VEGA CONSULTING SERVICES LTD,633905,7578
Ministry of Defence,Ministry of Defence,18/05/2010,Payments on behalf of Defence Support Group,Central TLB,CONWAY PACKING SERVICES LTD,635607,7572.09
Ministry of Defence,Ministry of Defence,19/05/2010,Estate management,Land Forces,MITIE SECURITY LIMITED,636479,7564.46
Ministry of Defence,Ministry of Defence,13/05/2010,Estate management,Defence Equipment & Support,SODEXO LTD,633808,7524.92
Ministry of Defence,Ministry of Defence,11/05/2010,Medical treatment & stores and welfare services.,Air Command,HONEYBEERECRUITMENT.COM LTD,135273,7515.93
Ministry of Defence,Ministry of Defence,11/05/2010,Purchase of inventory and services ,Air Command,OFFICE DEPOT UK LTD,632200,7512.81
Ministry of Defence,Ministry of Defence,25/05/2010,Fuel for military use,Command Joint Operations,ARVAL UK LTD,639749,7496.48
Ministry of Defence,Ministry of Defence,27/05/2010,Estate management,Air Command,BIFFA WASTE SERVICES LIMITED,641285,7489.74
Ministry of Defence,Ministry of Defence,19/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SUPPORT GROUP  (DSG),636287,7484.16
Ministry of Defence,Ministry of Defence,28/05/2010,Transport hire charges,Central TLB,VT LAND (WHITEFLEET MANAGEMENT) LTD,642620,7474.21
Ministry of Defence,Ministry of Defence,12/05/2010,Fuel for military use,Command Joint Operations,ARVAL UK LTD,632471,7457.17
Ministry of Defence,Defence Support Group,25/05/2010,FM Contract var chgs,Business Stream 2,CARILLION (AMBS) LTD,426554,7433.3
Ministry of Defence,Ministry of Defence,26/05/2010,Fees for professional services,Land Forces,ENTEC U K LTD,640676,7408.42
Ministry of Defence,Ministry of Defence,10/05/2010,Estate management,Air Command,CANON (UK) LIMITED,631113,7404.21
Ministry of Defence,Ministry of Defence,14/05/2010,Transport hire charges,Defence Estates,VT LAND (WHITEFLEET MANAGEMENT) LTD,634697,7380.1
Ministry of Defence,Ministry of Defence,10/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,SERCO LIMITED,631618,7135.83
Ministry of Defence,Ministry of Defence,12/05/2010,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,CARTUS LTD,632561,7130.37
Ministry of Defence,Ministry of Defence,07/05/2010,Purchase of inventory and services ,Air Command,BUNZL UK LIMITED,630226,7130.07
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of inventory and services ,Air Command,FORBO FLOORING UK LIMITED,629484,7122.55
Ministry of Defence,Ministry of Defence,07/05/2010,Fuel for military use,Defence Estates,GB OILS LIMITED,630405,7118.39
Ministry of Defence,Ministry of Defence,14/05/2010,Purchase of inventory and services ,Central TLB,XMA LTD,634723,7094.68
Ministry of Defence,Ministry of Defence,05/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,RAYTHEON SYSTEMS LIMITED,629037,7012.69
Ministry of Defence,Ministry of Defence,13/05/2010,Fees for professional services,Land Forces,ENTEC U K LTD,633417,6993.01
Ministry of Defence,Ministry of Defence,14/05/2010,Rent and rates,Defence Equipment & Support,BABCOCK MARINE (ROSYTH) LTD,633990,6990.77
Ministry of Defence,Ministry of Defence,11/05/2010,Payment of utilities,Defence Estates,SSE ENERGY SUPPLY LIMITED,632317,6980.77
Ministry of Defence,Ministry of Defence,07/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,THALES UK LIMITED,630934,6947.03
Ministry of Defence,Ministry of Defence,14/05/2010,Estate management,Navy Command,SODEXO LTD,634590,6919.54
Ministry of Defence,Ministry of Defence,17/05/2010,Fees for professional services,Land Forces,PARITY SOLUTIONS LTD,635258,6916
Ministry of Defence,Ministry of Defence,11/05/2010,Purchase of inventory and services ,Land Forces,L WHITAKER & SONS (1983) LIMITED,632067,6914.56
