Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,FAC
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1140952,184.00 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,07-Aug-14 ,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1139600,"253,879.05 ",Monthly Payroll Charges for MOJ Payroll Delivery (Northgate),
Ministry of Justice,MoJ HQ,13-Aug-14 ,265000-IT & Telecommunications,NX900-MOJ Shared Services,HOME OFFICE,4848,"21,512.88 ",Delivery of testing services for the Shared Services S&E Project,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,78.26 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,66.86 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,07-Aug-14 ,224000-Staff travel and other,OZ501-HRD Feeder,XEXEC LTD,1139749,"-1,430.40 ",Departmental wide Reward & Recognition scheme,
Ministry of Justice,MoJ HQ,07-Aug-14 ,224000-Staff travel and other,OZ501-HRD Feeder,XEXEC LTD,1139749,"11,202.58 ",Departmental wide Reward & Recognition scheme,
Ministry of Justice,MoJ HQ,07-Aug-14 ,224000-Staff travel and other,OZ501-HRD Feeder,XEXEC LTD,1139749,"-11,202.58 ",Departmental wide Reward & Recognition scheme,
Ministry of Justice,MoJ HQ,07-Aug-14 ,224000-Staff travel and other,OZ501-HRD Feeder,XEXEC LTD,1139749,"34,767.92 ",Departmental wide Reward & Recognition scheme,
Ministry of Justice,MoJ HQ,07-Aug-14 ,224000-Staff travel and other,OZ501-HRD Feeder,XEXEC LTD,1139749,"21,245.00 ",Departmental wide Reward & Recognition scheme,
Ministry of Justice,MoJ HQ,07-Aug-14 ,224000-Staff travel and other,OZ501-HRD Feeder,XEXEC LTD,1139749,"6,953.58 ",Departmental wide Reward & Recognition scheme,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,171.60 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,46.00 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,46.00 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,46.00 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,66.86 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,25.23 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,14-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1139891,"78,469.00 ",Work related to the creation of flexible work spaces at Petty France,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,169.79 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,416.16 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,25.23 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,25.23 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,28-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140771,"1,042,955.25 ",Monthly ATOS IT costs for Network Service charges,
Ministry of Justice,MoJ HQ,04-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1139219,"934,473.10 ",Monthly ATOS IT costs for Hosting Service charges,
Ministry of Justice,MoJ HQ,04-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1139219,"623,927.45 ",Monthly ATOS IT costs for Desktop Service charges,
Ministry of Justice,MoJ HQ,04-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1139219,"548,404.00 ",Monthly ATOS IT costs for SIAM Service charges,
Ministry of Justice,MoJ HQ,28-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140771,"253,149.50 ",Monthly ATOS IT costs for Network Service charges,
Ministry of Justice,MoJ HQ,04-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1139219,"185,175.25 ",Monthly ATOS IT costs for Hosting Service charges,
Ministry of Justice,MoJ HQ,04-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1139219,"159,754.14 ",Monthly ATOS IT costs for General IT charges,
Ministry of Justice,MoJ HQ,04-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1139219,"131,289.08 ",Monthly ATOS IT costs for Hosting Service charges,
Ministry of Justice,MoJ HQ,04-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1139219,"127,434.60 ",Monthly ATOS IT costs for Laptop Service charges,
Ministry of Justice,MoJ HQ,28-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140771,"73,144.00 ",One-off ATOS IT cost for Network Service charges,
Ministry of Justice,MoJ HQ,04-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1139219,"54,859.11 ",Monthly ATOS IT cost for Application Maintenance & Support Service charges,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,"1,398.30 ",One-off charge for Power down service,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,859.37 ,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,859.37 ,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,"1,398.30 ",One-off charge for Power down service,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,859.37 ,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,859.37 ,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,859.37 ,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,859.37 ,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,859.37 ,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,"3,437.48 ",One-off charge for Power down service,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,"1,398.30 ",One-off charge for Power down service,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,859.37 ,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,"1,398.30 ",One-off charge for Power down service,
Ministry of Justice,MoJ HQ,04-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1139219,"45,081.78 ",Monthly ATOS IT costs for General IT charges,
Ministry of Justice,MoJ HQ,28-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140771,"31,739.82 ",Monthly ATOS IT costs for Network Service charges,
Ministry of Justice,MoJ HQ,04-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1139219,"24,860.62 ",Monthly ATOS IT costs for Telephony Service charges,
Ministry of Justice,MoJ HQ,04-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1139219,"4,972.12 ",Monthly ATOS IT costs for Telephony Service charges,
Ministry of Justice,MoJ HQ,21-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,CGI IT UK LTD,1140371,"29,913.00 ",Provision for Licences,
Ministry of Justice,MoJ HQ,21-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,CGI IT UK LTD,1140371,"21,091.00 ","Application, Maintenance and Support charges for small applications",
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,78.26 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,07-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,LOCKHEED MARTIN UK LIMITED,1139602,"1,239,063.25 ",One-off Lockheed Martin cost for service transition charges,
Ministry of Justice,MoJ HQ,11-Aug-14 ,264000-Consultancy,NZ900-Finance & Corporate Services,METHODS CONSULTING,25472,"88,833.33 ",To provide a managed service for the provision of the specialist architecture and service design capability. ,
Ministry of Justice,MoJ HQ,11-Aug-14 ,264000-Consultancy,NZ900-Finance & Corporate Services,METHODS CONSULTING,25472,"17,766.67 ",To provide a managed service for the provision of the specialist architecture and service design capability. ,
Ministry of Justice,MoJ HQ,11-Aug-14 ,264000-Consultancy,NZ900-Finance & Corporate Services,METHODS CONSULTING,25472,"88,833.33 ",To provide a managed service for the provision of the specialist architecture and service design capability. ,
Ministry of Justice,MoJ HQ,11-Aug-14 ,264000-Consultancy,NZ900-Finance & Corporate Services,METHODS CONSULTING,25472,"17,766.67 ",To provide a managed service for the provision of the specialist architecture and service design capability. ,
Ministry of Justice,MoJ HQ,28-Aug-14 ,222002-Other Property Costs,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1140835,"78,980.64 ",One-off Hewlett Packard charges for Exit management costs,
Ministry of Justice,MoJ HQ,28-Aug-14 ,222002-Other Property Costs,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1140835,"15,796.13 ",One-off Hewlett Packard charges for Exit management costs,
Ministry of Justice,MoJ HQ,07-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,LOCKHEED MARTIN UK LIMITED,1139602,"70,000.00 ",One-off Lockheed Martin cost for service transition charges,
Ministry of Justice,MoJ HQ,26-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,LOCKHEED MARTIN UK LIMITED,1140668,"55,380.95 ",One-off Lockheed Martin cost for Transition Assurance charges,
Ministry of Justice,MoJ HQ,28-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1140912,"50,437.31 ",One-off Steria Ltd cost for Exit Management services,
Ministry of Justice,MoJ HQ,28-Aug-14 ,264000-Consultancy,NZ900-Finance & Corporate Services,FDM GROUP LTD,1140815,"48,600.00 ",Monthly FDM Programme support service charges,
Ministry of Justice,MoJ HQ,28-Aug-14 ,264000-Consultancy,NZ900-Finance & Corporate Services,FDM GROUP LTD,1140815,"9,720.00 ",Monthly FDM Programme support service charges,
Ministry of Justice,MoJ HQ,26-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,SOLIRIUS LTD,1140722,"48,420.00 ",Monthly Solirius Ltd Programme support service charges,
Ministry of Justice,MoJ HQ,26-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,SOLIRIUS LTD,1140722,"9,684.00 ",Monthly Solirius Ltd Programme support service charges,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,8.51 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,248.34 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,07-Aug-14 ,222002-Other Property Costs,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1139477,"27,256.55 ",One-off ATOS charges for Exit management,
Ministry of Justice,MoJ HQ,07-Aug-14 ,222002-Other Property Costs,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1139477,"5,451.31 ",One-off ATOS charges for Exit management,
Ministry of Justice,MoJ HQ,07-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,CGI IT UK LTD,1139508,"639,240.55 ",One-off CGI charges for transition Hosting charges,
Ministry of Justice,MoJ HQ,21-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,LOCKHEED MARTIN UK LIMITED,1140472,"36,374.77 ",One-off Lockheed Martin charges for transition SIAM charges,
Ministry of Justice,MoJ HQ,26-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,LOCKHEED MARTIN UK LIMITED,1140668,"1,153,502.65 ",Monthly Lockheed Martin costs for SIAM charges,
Ministry of Justice,MoJ HQ,14-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ARK DATA CENTRES LTD,1139888,"188,009.64 ",Data Centre Racking and Storage Charges July 2014,
Ministry of Justice,MoJ HQ,11-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1139807,"1,265,349.81 ",HP NOMS ICT Services - Application Maintenance & Support,
Ministry of Justice,MoJ HQ,26-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1140652,"723,075.59 ",HP NOMS ICT Services - Standard Telephony Monthly Line Rental,
Ministry of Justice,MoJ HQ,26-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1140652,"144,615.12 ",HP NOMS ICT Services - Standard Telephony Monthly Line Rental,
Ministry of Justice,MoJ HQ,26-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1140652,"660,049.83 ",HP NOMS ICT Services - Hostings charge ,
Ministry of Justice,MoJ HQ,11-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1139807,"579,957.11 ",HP NOMS ICT Services - Network Services,
Ministry of Justice,MoJ HQ,26-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1140652,"403,068.89 ",HP NOMS ICT Services - General Services,
Ministry of Justice,MoJ HQ,26-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1140652,"235,581.61 ",HP NOMS ICT Monthly Services - Security,
Ministry of Justice,MoJ HQ,04-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1139310,"72,618.12 ",HP NOMS ICT Services - General Services,
Ministry of Justice,MoJ HQ,07-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1139571,"71,438.71 ",HP NOMS ICT Services - Standard Telephony Monthly Line Rental,
Ministry of Justice,MoJ HQ,07-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1139571,"14,287.74 ",HP NOMS ICT Services - Standard Telephony Monthly Line Rental,
Ministry of Justice,MoJ HQ,04-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1139310,"63,870.75 ",HP NOMS ICT Services - Network Services,
Ministry of Justice,MoJ HQ,26-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1140652,"23,958.18 ",HP NOMS ICT Services - Service Integration and Management,
Ministry of Justice,MoJ HQ,14-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1140075,"845,538.76 ",Desktop Charges for Aug 2014,
Ministry of Justice,MoJ HQ,14-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1140075,"844,429.37 ",IT Hosting Charges Aug 2014,
Ministry of Justice,MoJ HQ,07-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1139697,"605,519.71 ",Application and Maintenance Support Charges Aug 2014,
Ministry of Justice,MoJ HQ,14-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1140075,"605,519.71 ",Application and Maintenance Support Charges July 2014,
Ministry of Justice,MoJ HQ,14-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1140075,"140,214.24 ",Network Charges including the provision of WAN Aug 2014,
Ministry of Justice,MoJ HQ,14-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1140075,"63,279.24 ",Service Desk Support Aug 2014,
Ministry of Justice,MoJ HQ,04-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,FUJITSU SERVICES LTD,1139281,"311,088.57 ",Criminal Justice Secure Exchange - Operations Production,
Ministry of Justice,MoJ HQ,04-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,FUJITSU SERVICES LTD,1139281,"180,729.93 ",Monthly Fujitsu costs for Application Maintenance & Support charges for Exchange services,
Ministry of Justice,MoJ HQ,04-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,FUJITSU SERVICES LTD,1139281,"144,796.79 ",Monthly Fujitsu costs for Hosting charges for Exchange services,
Ministry of Justice,MoJ HQ,04-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,FUJITSU SERVICES LTD,1139281,"72,873.99 ",Criminal Justice Secure Exchange - Soultion Assurance,
Ministry of Justice,MoJ HQ,04-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,FUJITSU SERVICES LTD,1139281,"46,935.57 ",Criminal Justice Secure Exchange - Service Desk,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,11.62 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,04-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,FUJITSU SERVICES LTD,1139281,"36,340.90 ",Monthly Fujitsu costs for Application Maintenance & Support charges for Exchange services,
Ministry of Justice,MoJ HQ,04-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,FUJITSU SERVICES LTD,1139281,"34,906.33 ",Criminal Justice Secure Exchange - Security Intruder Detection,
Ministry of Justice,MoJ HQ,04-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,FUJITSU SERVICES LTD,1139281,"34,517.33 ",Criminal Justice Secure Exchange - Managed Service Governance ,
Ministry of Justice,MoJ HQ,04-Aug-14 ,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,FUJITSU SERVICES LTD,1139281,"30,792.61 ",Criminal Justice Secure Exchange - SAN Replacement,
Ministry of Justice,MoJ HQ,04-Aug-14 ,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,STERIA LTD,1139408,"26,845.32 ",Criminal Justice Secure Exchange - SAN Replacement,
Ministry of Justice,MoJ HQ,18-Aug-14 ,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,FUJITSU SERVICES LTD,1140163,"26,215.09 ",Multiple Firewall Replacement,
Ministry of Justice,MoJ HQ,18-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,TRUSTMARQUE SOLUTIONS LTD,1140275,"38,914.43 ", Hardware and Software Maintenance Support Renewal,
Ministry of Justice,MoJ HQ,18-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,TRUSTMARQUE SOLUTIONS LTD,1140275,"7,782.89 ", Hardware and Software Maintenance Support Renewal,
Ministry of Justice,MoJ HQ,26-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,VODAFONE LTD FORMERLY CABLE & WIRELESS UK,1140740,"579,320.78 ",CJS Messaging,
Ministry of Justice,MoJ HQ,26-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,VODAFONE LTD FORMERLY CABLE & WIRELESS UK,1140740,"115,864.16 ",CJS Messaging,
Ministry of Justice,MoJ HQ,18-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,VODAFONE CORPORATE LTD,1140284,"212,880.38 ",Criminal Justice Secure Mail Service - Monthly Charge,
Ministry of Justice,MoJ HQ,18-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,VODAFONE CORPORATE LTD,1140284,"42,576.08 ",Criminal Justice Secure Mail Service - Monthly Charge,
Ministry of Justice,MoJ HQ,18-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,VODAFONE CORPORATE LTD,1140284,"212,880.38 ",Criminal Justice Secure Mail Service - Monthly Charge,
Ministry of Justice,MoJ HQ,18-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,VODAFONE CORPORATE LTD,1140284,"42,576.08 ",Criminal Justice Secure Mail Service - Monthly Charge,
Ministry of Justice,MoJ HQ,18-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,VODAFONE CORPORATE LTD,1140284,"199,920.38 ",Criminal Justice Secure Mail Service - Monthly Charge,
Ministry of Justice,MoJ HQ,18-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,VODAFONE CORPORATE LTD,1140284,"39,984.08 ",Criminal Justice Secure Mail Service - Monthly Charge,
Ministry of Justice,MoJ HQ,18-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,VODAFONE CORPORATE LTD,1140284,"199,920.38 ",Criminal Justice Secure Mail Service - Monthly Charge,
Ministry of Justice,MoJ HQ,18-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,VODAFONE CORPORATE LTD,1140284,"39,984.08 ",Criminal Justice Secure Mail Service - Monthly Charge,
Ministry of Justice,MoJ HQ,18-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,VODAFONE CORPORATE LTD,1140284,"199,920.38 ",Criminal Justice Secure Mail Service - Monthly Charge,
Ministry of Justice,MoJ HQ,18-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,VODAFONE CORPORATE LTD,1140284,"39,984.08 ",Criminal Justice Secure Mail Service - Monthly Charge,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,156.06 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,205.63 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1140952,164.00 ,IT peripherals/individual ordered software and equipment,
