Mar 2011 Over œ25k Payments Summary,,,,,,,
,,,,,,,
Department family,Entity, Date,Expense type,Expense Area,Supplier,Transaction no,Amount
DEFRA,The Environment Agency,15-Mar-11,Building Repair & Maintenance,"Facilities, Ops Delivery & Construction",Integral UK Ltd,2035189,"41,740.89"
DEFRA,The Environment Agency,10-Mar-11,Building Repair & Maintenance,Facilities Management,Managed Maintenance Solutions,2252017,"41,654.04"
DEFRA,The Environment Agency,01-Mar-11,Main Contractors,Wales - Capital,William Hughes Civil Engineering Ltd,2034921,"41,650.80"
DEFRA,The Environment Agency,03-Mar-11,Building Management,National Estates Manager,Eddisons,2251159,"41,625.00"
DEFRA,The Environment Agency,10-Mar-11,Building Management,Facilities Management,Sir Robert McAlpine Ltd,2252100,"41,625.00"
DEFRA,The Environment Agency,24-Mar-11,Fleet Management,Vehicle Incidents,Nationwide Network Services,2253788,"41,591.50"
DEFRA,The Environment Agency,22-Mar-11,Fuels,HO Fleet - EA Wales,Arval Phh,2035333,"41,506.32"
DEFRA,The Environment Agency,08-Mar-11,No Code,Wales - Wildlife and Environment,Freshwater UK Ltd,2035012,"41,365.51"
DEFRA,The Environment Agency,22-Mar-11,Maintenance & Support,Finance Service Centre,Direct Debit Ltd,2253167,"41,111.56"
DEFRA,The Environment Agency,01-Mar-11,Construction Service Providers,Construction Work in Progress,Ove Arup & Partners Ltd,2250915,"40,821.64"
DEFRA,The Environment Agency,29-Mar-11,Environmental Materials,North West,Geotechnical Instruments UK Ltd,2254346,"40,800.00"
DEFRA,The Environment Agency,10-Mar-11,Construction Service Providers,Construction Work in Progress,Haskoning UK Ltd,2251960,"40,665.72"
DEFRA,The Environment Agency,22-Mar-11,Environmental Services,Wales - Capital,White Young Green,2035423,"40,407.31"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,Midlands - Construction Work in Progress,OnSite Central Ltd,2254594,"40,109.46"
DEFRA,The Environment Agency,10-Mar-11,Environmental Services,Area Environmental Monitoring,Cambridge City Council,2251866,"40,000.00"
DEFRA,The Environment Agency,29-Mar-11,Building Management,National Labs and Facilities Management,Teignbridge District Council,2254784,"39,771.65"
DEFRA,The Environment Agency,22-Mar-11,"Marine, Coastal & Inland Waterways Services",Thames Waterways & Flood Risk,Hughes Sub Surface Engineering Ltd,2253234,"39,636.61"
DEFRA,The Environment Agency,15-Mar-11,"Marine, Coastal & Inland Waterways Services",Wales - Construction work in progress,Capita Symonds Ltd,2035154,"39,246.00"
DEFRA,The Environment Agency,29-Mar-11,Construction Service Providers,Construction Work in Progress,EC Harris Llp,2254286,"39,185.81"
DEFRA,The Environment Agency,01-Mar-11,Construction Service Providers,Construction Work in Progress,Jacobs Engineering UK Ltd,2034884,"39,132.86"
DEFRA,The Environment Agency,22-Mar-11,Building Repair & Maintenance,National Facilities Manager,Inviron Ltd,2253247,"39,047.31"
DEFRA,The Environment Agency,01-Mar-11,Construction Supplies,Construction Work in Progress,ArcelorMittal Commercial RPS UK Ltd,2250694,"39,041.41"
DEFRA,The Environment Agency,03-Mar-11,Engineering Services,Wales - Fleet Ops,Fraikin Ltd,2034941,"38,958.35"
DEFRA,The Environment Agency,17-Mar-11,Purchase,Thames - Construction Work in Progress,Adsyst Automation Ltd,2252636,"38,897.84"
DEFRA,The Environment Agency,29-Mar-11,Building Repair & Maintenance,Facilities Management,Managed Maintenance Solutions,2254512,"38,772.36"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,NE North East Area PACS,Durham Wildlife Trust Ltd,2254273,"38,544.00"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,Various - Flood Risk,365 Environmental Services Ltd,2254021,"38,407.33"
DEFRA,The Environment Agency,15-Mar-11,"Marine, Coastal & Inland Waterways Services",Midlands - Construction Work in Progress,ECS Engineering Services Ltd,2252307,"38,377.20"
DEFRA,The Environment Agency,29-Mar-11,"Marine, Coastal & Inland Waterways Services",South West Flood Risk Management & Area Management,A & T Services Ltd,2254027,"38,350.80"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,South West - Contruction Work in Progress,Concrete Repairs Ltd,2254199,"38,242.61"
DEFRA,The Environment Agency,15-Mar-11,"Marine, Coastal & Inland Waterways Services",Anglian - Ops Delivery & Flood Risk,P & R Plant Lincolnshire Ltd,2252481,"38,190.00"
DEFRA,The Environment Agency,15-Mar-11,Main Contractors,Construction Work in Progress,JT Mackley & Co Ltd,2252401,"38,008.88"
DEFRA,The Environment Agency,10-Mar-11,Environmental Services,National Monitoring,LGC Ltd,2252006,"37,970.71"
DEFRA,The Environment Agency,29-Mar-11,"Environmental Services & Marine, Coastal & Inland Waterways",Various - Flood Risk Management,Mott Macdonald Ltd,2254553,"37,931.22"
DEFRA,The Environment Agency,24-Mar-11,Cleaning,Facilities Management,Superclean Services Wothorpe Ltd,2253901,"37,832.59"
DEFRA,The Environment Agency,24-Mar-11,Environmental Services,Midlands - Environmental Monitoring,North Lincolnshire Council,2253803,"37,752.24"
DEFRA,The Environment Agency,17-Mar-11,Environmental Materials,"Various - Monitoring, Capital & Ops Delivery",YSI Hydrodata Ltd,2253031,"37,470.74"
DEFRA,The Environment Agency,29-Mar-11,Catering,Facilities Management,Baxter Storey,2254098,"37,403.47"
DEFRA,The Environment Agency,24-Mar-11,Electricity,Business Finance,British Gas Business,2253514,"37,386.80"
DEFRA,The Environment Agency,28-Mar-11,Legal Services,Head Office Legal Services,Ansons Solicitors,952488,"37,300.12"
DEFRA,The Environment Agency,22-Mar-11,Environmental Services,"Research, Monitoring and Innovation",CEH,2253137,"37,128.63"
DEFRA,The Environment Agency,24-Mar-11,Purchase,Construction Work in Progress,AEBI UK Ltd,2253459,"36,834.00"
DEFRA,The Environment Agency,24-Mar-11,Environmental Services,Various - Flood Risk,365 Environmental Services Ltd,2253448,"36,696.41"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Construction Work in Progress,Hydrex Equipment UK Ltd,2254402,"36,695.45"
DEFRA,The Environment Agency,22-Mar-11,Technical Consultancy,Environment & Business,Entec UK Ltd,2253183,"36,680.96"
DEFRA,The Environment Agency,10-Mar-11,"Marine, Coastal & Inland Waterways Services",South West - Ops Delivery,May Gurney Ltd,2252021,"36,650.46"
DEFRA,The Environment Agency,10-Mar-11,Main Contractors,Construction Work in Progress,Rampling Plant Hire Ltd,2252073,"36,576.00"
DEFRA,The Environment Agency,17-Mar-11,"Environmental Services & Marine, Coastal & Inland Waterways",Various - Flood Risk Management,Mott Macdonald Ltd,2252882,"36,407.97"
DEFRA,The Environment Agency,17-Mar-11,"Construction Service Providers, Environmental Services","Various - Construction, Flood Risk Management, Water Management",Jacobs Engineering UK Ltd,2252823,"36,392.27"
DEFRA,The Environment Agency,17-Mar-11,"Marine, Coastal & Inland Waterways Services",Anglian & Thames - Environmental Monitoring,David Solomon,2252747,"36,204.00"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,Environment & Business,CEH,2254167,"36,079.00"
DEFRA,The Environment Agency,08-Mar-11,Environmental Services,Wales - Construction work in progress,Entec UK Ltd,2035008,"36,000.00"
DEFRA,The Environment Agency,29-Mar-11,Building Management,HO National Property Team,King Sturge,2254461,"35,910.00"
DEFRA,The Environment Agency,24-Mar-11,Environmental Services,Environment & Business ,FWAG,2253638,"35,817.36"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,Midlands - Construction Work in Progress,PR Hart Fencing & Landscapes,2254632,"35,726.20"
DEFRA,The Environment Agency,25-Mar-11,Environmental Services,Environment & Business,DLG Government Service,952374,"35,575.20"
DEFRA,The Environment Agency,24-Mar-11,Electricity,Facilities Management,Howard Grove Ltd,2253676,"35,426.40"
DEFRA,The Environment Agency,24-Mar-11,"Marine, Coastal & Inland Waterways Services",Midlands & Anglian - Various,ECS Engineering Services Ltd,2253603,"35,100.00"
DEFRA,The Environment Agency,22-Mar-11,"Marine, Coastal & Inland Waterways Services",Various - Flood Risk,Hyder Consulting UK Ltd,2253238,"35,099.42"
DEFRA,The Environment Agency,08-Mar-11,Environmental Services,Wales,Bangor University,2034987,"35,000.00"
DEFRA,The Environment Agency,15-Mar-11,Environmental Services,NE North East Area PACS,Durham University,2252300,"35,000.00"
DEFRA,The Environment Agency,17-Mar-11,Environmental Services,Midlands - Capital,Staffordshire Wildlife Trust,2252979,"35,000.00"
DEFRA,The Environment Agency,24-Mar-11,Main Contractors,South West - Various,Mike Davies Fabrications Ltd,2253769,"34,962.70"
DEFRA,The Environment Agency,15-Mar-11,Purchase,Head Office - Capital,Roger Young Land Rover,2252512,"34,917.68"
DEFRA,The Environment Agency,24-Mar-11,Environmental Services,North East,Calder & Colne Rivers Trust,951360,"34,500.00"
DEFRA,The Environment Agency,15-Mar-11,Environmental Services,Thames ,Thames 21,2252573,"34,400.00"
DEFRA,The Environment Agency,29-Mar-11,Environmental Materials,Northern - Monitoring,M&P Survey Equipment Ltd,2254507,"34,242.00"
DEFRA,The Environment Agency,29-Mar-11,Construction Service Providers,Anglian - Capital,Northamptonshire County Council,2254586,"34,187.92"
DEFRA,The Environment Agency,29-Mar-11,Industrial,Facilities Management & Ops Delivery  ,Burtonwood Generator & Switchgear Ltd,2254145,"34,126.71"
DEFRA,The Environment Agency,15-Mar-11,Staff Medical Care,Human Resources,ASE Eyecare Plans Ltd,2252203,"34,077.10"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Construction Work in Progress,May Gurney Ltd,2254519,"33,898.54"
DEFRA,The Environment Agency,10-Mar-11,Technical Consultancy,Environment & Business & Construction,Entec UK Ltd,2251922,"33,796.62"
DEFRA,The Environment Agency,08-Mar-11,Environmental Services,Wales - Flood Risk ,White Young Green,2035053,"33,687.30"
DEFRA,The Environment Agency,15-Mar-11,Environmental Services,Wales - Monitoring,Geo Technology,2035178,"33,600.30"
DEFRA,The Environment Agency,24-Mar-11,Environmental Services,Head Office Geomatics,Longdin & Browning Surveys Ltd,2253740,"33,525.29"
DEFRA,The Environment Agency,22-Mar-11,Business Process Outsourcing Services,Environment & Business,Angling Trades Association Ltd,2253088,"33,500.00"
DEFRA,The Environment Agency,17-Mar-11,Environmental Materials,"Various - Monitoring, Capital & Ops Delivery",YSI Hydrodata Ltd,2035327,"33,336.00"
DEFRA,The Environment Agency,03-Mar-11,Main Contractors,Construction Work in Progress,May Gurney Ltd,2251290,"33,262.08"
DEFRA,The Environment Agency,08-Mar-11,Pathology,National Labs,Metlab Supplies Ltd,2251670,"33,207.58"
DEFRA,The Environment Agency,24-Mar-11,Events Organisation,Incident Management - Exercise Watermark,Holiday Inn UK Ltd,2253674,"33,199.76"
DEFRA,The Environment Agency,24-Mar-11,Construction Service Providers,Construction Work in Progress,EC Harris Llp,2035456,"33,038.29"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,Thames - Construction Work in Progress,Fugro Engineering Services Ltd,2254333,"32,944.70"
DEFRA,The Environment Agency,23-Mar-11,Environmental Services,Midlands - Ops Delivery,Mars Petcare UK Ltd,950550,"32,890.50"
DEFRA,The Environment Agency,15-Mar-11,Environmental Services,Head Office & Anglian - Capital,URS Corporation Ltd,2252592,"32,862.44"
DEFRA,The Environment Agency,22-Mar-11,Environmental Services,"Research, Monitoring and Innovation",HR Wallingford Ltd,2253231,"32,754.00"
DEFRA,The Environment Agency,01-Mar-11,"Marine, Coastal & Inland Waterways Services & Construction Service Providers",Research & Construction,Halcrow Group Ltd,2250806,"32,739.54"
DEFRA,The Environment Agency,01-Mar-11,Building Repair & Maintenance,National Labs and Facilities Management,Cofely Ltd,2250749,"32,620.08"
DEFRA,The Environment Agency,29-Mar-11,Business Process Outsourcing Services,National Enforcement Service,Post Office Ltd,2254627,"32,490.70"
DEFRA,The Environment Agency,15-Mar-11,Main Contractors,North West - Construction Work in Progress,Cheetham Hill Construction Ltd,2252262,"32,485.84"
DEFRA,The Environment Agency,03-Mar-11,Environmental Services,Incident Management,CIRIA,2251111,"32,400.00"
DEFRA,The Environment Agency,17-Mar-11,Construction Service Providers,Construction Work in Progress,Alun Griffiths Contractors Ltd,2252648,"32,210.25"
DEFRA,The Environment Agency,08-Mar-11,Cleaning,Facilities Management,Superclean Services Wothorpe Ltd,2251759,"32,184.85"
DEFRA,The Environment Agency,01-Mar-11,Leasing,Anglian - Capital ,CR Reynolds Plant Hire Ltd,2250762,"32,015.23"
DEFRA,The Environment Agency,24-Mar-11,Systems Delivery,Corporate Information Systems   ,Scisys UK Ltd,2253873,"31,731.19"
DEFRA,The Environment Agency,15-Mar-11,"Marine, Coastal & Inland Waterways Services",Various - Flood Risk,Hyder Consulting UK Ltd,2252373,"31,704.30"
DEFRA,The Environment Agency,24-Mar-11,Purchase,Head Office - Capital,Roger Young Land Rover,2253860,"31,335.36"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,Environment & Business ,Ecorys UK Ltd,2254288,"31,077.60"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,Midlands - Flood Risk,Tower Surveys Ltd,2254811,"30,888.00"
DEFRA,The Environment Agency,24-Mar-11,Environmental Materials,Various - Monitoring,Halcyon Solutions,2253663,"30,673.20"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,Monitoring  ,Maltby Land Surveys Ltd,2254511,"30,636.00"
DEFRA,The Environment Agency,24-Mar-11,Advertising,Various - Flood Risk & Ops Delivery,Freshwater UK Ltd,2253636,"30,630.59"
DEFRA,The Environment Agency,03-Mar-11,Fleet Management,Vehicle Incidents,Nationwide Network Services,2251319,"30,463.05"
DEFRA,The Environment Agency,01-Mar-11,Gas,National Labs and Facilities Management,Corona Energy,2250755,"30,325.58"
DEFRA,The Environment Agency,17-Mar-11,Vehicles Maintenance,HO Fleet - EA Wales,Hitachi Capital Commercial Vehicle Services,2035271,"30,195.83"
DEFRA,The Environment Agency,15-Mar-11,Purchase,Wales - Capital,Roger Young Land Rover,2035208,"30,143.98"
DEFRA,The Environment Agency,15-Mar-11,Environmental Services,South West Environmental Monotoring,CEFAS,2035158,"30,000.00"
DEFRA,The Environment Agency,17-Mar-11,Environmental Services,North East - Capital,Don Catchment Rivers Trust,948206,"30,000.00"
DEFRA,The Environment Agency,15-Mar-11,"Marine, Coastal & Inland Waterways Services","Research, Monitoring and Innovation & Environment & Business",Entec UK Ltd,2252317,"29,886.06"
DEFRA,The Environment Agency,29-Mar-11,Building Management,Facilities Management,Shepway District Council,2254713,"29,782.73"
DEFRA,The Environment Agency,17-Mar-11,Environmental Services,Various - Flood Risk,365 Environmental Services Ltd,2252630,"29,722.10"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Anglian - Various,Country Grounds Maintenance Ltd,2254212,"29,628.00"
DEFRA,The Environment Agency,17-Mar-11,Construction Supplies,Construction Work in Progress,Littlewood Fencing Ltd,2252855,"29,622.59"
DEFRA,The Environment Agency,29-Mar-11,Environmental Materials,North West & Midlands - Environmental Monitoring,E Fish UK Ltd,2254276,"29,496.00"
DEFRA,The Environment Agency,03-Mar-11,Building Repair & Maintenance,National Facilities Manager,Vinci Construction UK Ltd,2251453,"29,462.20"
DEFRA,The Environment Agency,10-Mar-11,Main Contractors,Wales - Environmental Monitoring,DHL Gwynne,2035075,"29,274.96"
DEFRA,The Environment Agency,24-Mar-11,Main Contractors,Southern - Ops Delivery,Hunton Engineering Design,2253679,"29,224.80"
DEFRA,The Environment Agency,10-Mar-11,Purchase,Thames - Construction Work in Progress,Adsyst Automation Ltd,2251814,"29,096.88"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,Wales - Wildlife and Environment,Neath Port Talbot County Borough Council,2035579,"29,066.04"
DEFRA,The Environment Agency,10-Mar-11,Fleet Management,Vehicle Incidents,Nationwide Network Services,2252038,"29,007.20"
DEFRA,The Environment Agency,10-Mar-11,Main Contractors,North West - Flood Risk,Wyre Borough Council,2252152,"28,995.20"
DEFRA,The Environment Agency,01-Mar-11,Technical Consultancy,"Various - Contruction, Flood Risk Management, Water Management",Atkins Ltd,2250702,"28,793.03"
DEFRA,The Environment Agency,03-Mar-11,Engineering Services,Southern - Capital,Mid Kent Electrical Engineering Ltd,2251306,"28,770.66"
DEFRA,The Environment Agency,08-Mar-11,Environmental Services ,Head Office ,Colliers CRE,2251552,"28,699.76"
DEFRA,The Environment Agency,17-Mar-11,Main Contractors,North West - Construction Work in Progress,Mayson Brothers Ltd,2252866,"28,512.00"
DEFRA,The Environment Agency,29-Mar-11,Building Management,Facilities Management,Peterborough City Council,2254613,"28,511.51"
DEFRA,The Environment Agency,03-Mar-11,Environmental Services,Head Office - Capital,SKM Enviros,2251401,"28,491.60"
DEFRA,The Environment Agency,17-Mar-11,Building Repair & Maintenance,"Facilities, Ops Delivery & Construction",Integral UK Ltd,2035276,"28,369.33"
DEFRA,The Environment Agency,15-Mar-11,"Marine, Coastal & Inland Waterways Services",Wales & South East-  Environmental Monitoring,Casella Monitor,2035157,"28,258.73"
DEFRA,The Environment Agency,15-Mar-11,Main Contractors,Wales - Construction work in progress,Dyer & Butler Ltd,2035169,"28,216.54"
DEFRA,The Environment Agency,01-Mar-11,Building Management,Facilities Management,DEFRA,2250768,"28,084.49"
DEFRA,The Environment Agency,17-Mar-11,Environmental Services,Nat Trading and Reg Services,Northern Ireland Environment Agency,2252892,"28,005.00"
DEFRA,The Environment Agency,24-Mar-11,Environmental Services,North West,Lune Rivers Trust,2253747,"28,000.00"
DEFRA,The Environment Agency,01-Mar-11,Electricity,Various Sites,Southern Electric,2250973,"27,977.80"
DEFRA,The Environment Agency,03-Mar-11,Operational Services,Data and Information Management,Barbour Index Plc,2251052,"27,852.24"
DEFRA,The Environment Agency,03-Mar-11,Main Contractors,South West - Contruction Work in Progress,Bernard G Perry,2251060,"27,754.67"
DEFRA,The Environment Agency,10-Mar-11,Purchase,Head Office - Capital,Roger Young Land Rover,2252082,"27,636.04"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,Midlands - Construction Work in Progress,Wye & Usk Foundation,2254882,"27,600.00"
DEFRA,The Environment Agency,24-Mar-11,Environmental Services,Compliance & Technical Services,Entec UK Ltd,2253611,"27,483.10"
DEFRA,The Environment Agency,01-Mar-11,Construction Service Providers,Construction Work in Progress,Arup Environmental,2250696,"27,477.60"
DEFRA,The Environment Agency,17-Mar-11,Environmental Services,North East - Ops Delivery,Anderson Tree Care Ltd,2252650,"27,391.00"
DEFRA,The Environment Agency,29-Mar-11,Operational Services,Data and Information Management,Gabriel Information Solutions Ltd,2254339,"27,351.64"
DEFRA,The Environment Agency,01-Mar-11,Environmental Services,Environment and Business Heads of Business,Civil Aviation Authority,2250746,"27,332.00"
DEFRA,The Environment Agency,29-Mar-11,Building Management,Facilities Management,Solihull Metropolitan Borough Council,2254728,"27,284.28"
DEFRA,The Environment Agency,17-Mar-11,Post & Courier,National Labs and Facilities Management,City Sprint,2252718,"27,264.13"
DEFRA,The Environment Agency,08-Mar-11,Main Contractors,Construction Work in Progress,May Gurney Ltd,2251666,"27,193.96"
DEFRA,The Environment Agency,17-Mar-11,Construction Supplies,Midlands - Ops Delivery,Fluvial Innovations Ltd,2253034,"27,180.00"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Anglian - Construction Work in progress,ADC East Anglia Ltd,2254035,"26,984.41"
DEFRA,The Environment Agency,29-Mar-11,"Marine, Coastal & Inland Waterways Services",Midlands - Construction Work in Progress,Balfour Beatty Civil & Construction,2254092,"26,943.60"
DEFRA,The Environment Agency,22-Mar-11,Building Management,Nat Trading and Reg Services,Siemens IT Solutions & Services Ltd,2253390,"26,793.05"
DEFRA,The Environment Agency,24-Mar-11,Environmental Materials,South West & HO - Capital,Ott Hydrometry Ltd,2253820,"26,689.61"
DEFRA,The Environment Agency,08-Mar-11,Construction Service Providers,Thames - Construction Work in Progress,A T Engineering,2251479,"26,637.60"
DEFRA,The Environment Agency,08-Mar-11,Environmental Services,Anglian - Construction Work in progress,EDI Surveys Ltd,2251582,"26,515.20"
DEFRA,The Environment Agency,24-Mar-11,Environmental Services,North East - Capital,University Of Newcastle Upon Tyne,2253925,"26,510.22"
DEFRA,The Environment Agency,29-Mar-11,Building Management,North West Facilities,Carlisle City Council,2254160,"26,480.50"
DEFRA,The Environment Agency,29-Mar-11,Temporary Workers,Various Monitoring & National Enforcement Service,G4S Policing Solutions Ltd,2254337,"26,455.65"
DEFRA,The Environment Agency,22-Mar-11,Pathology,National Labs,Metlab Supplies Ltd,2253297,"26,450.22"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,North East - Ops Delivery,River Stewardship Co,2254663,"26,410.80"
DEFRA,The Environment Agency,24-Mar-11,Main Contractors,Southern - Construction Work in Progress,Herbert H Drew & Son Ltd,2253670,"26,388.79"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Midlands - Construction Work in Progress,Birch Brothers Kidderminster Ltd,2254109,"26,331.36"
DEFRA,The Environment Agency,22-Mar-11,Leasing,HO Fleet - EA Wales,Hewden Stuart Plc,2035375,"26,300.40"
DEFRA,The Environment Agency,29-Mar-11,Building Repair & Maintenance,Southern - Ops Delivery,P M F,2254603,"26,032.80"
DEFRA,The Environment Agency,24-Mar-11,"Marine, Coastal & Inland Waterways Services",Various - Flood Risk,Hyder Consulting UK Ltd,2253680,"26,007.97"
DEFRA,The Environment Agency,29-Mar-11,Construction Service Providers,Wales - Environmental Monitoring,Bridgend County Borough Council,2035524,"26,000.00"
DEFRA,The Environment Agency,17-Mar-11,Cleaning,Facilities Management & Ops Delivery,LPM Cleaning Ltd,2252859,"25,963.00"
DEFRA,The Environment Agency,24-Mar-11,Construction Service Providers,Construction Work in Progress,EC Harris Llp,2253602,"25,931.12"
DEFRA,The Environment Agency,15-Mar-11,"Marine, Coastal & Inland Waterways Services",Wales Capital WiP,Dewey Waters Ltd,2035167,"25,916.36"
DEFRA,The Environment Agency,17-Mar-11,Pathology,National Labs,Metlab Supplies Ltd,2252872,"25,887.58"
DEFRA,The Environment Agency,24-Mar-11,Environmental Services,Wales - Capital,White Young Green,2035514,"25,663.87"
DEFRA,The Environment Agency,08-Mar-11,Environmental Materials,Incident Management,AEA Technology Plc,2251485,"25,589.40"
DEFRA,The Environment Agency,17-Mar-11,"Marine, Coastal & Inland Waterways Services",Anglian - Various,CSE Seprol Ltd,2252739,"25,465.20"
DEFRA,The Environment Agency,22-Mar-11,Main Contractors,Construction Work in Progress,Birse Civils Ltd,2035336,"25,455.09"
DEFRA,The Environment Agency,03-Mar-11,Environmental Services & Technical Consultancy,National Permitting Service & Head Office,Entec UK Ltd,2251169,"25,365.35"
DEFRA,The Environment Agency,17-Mar-11,Environmental Services,Southern - Ops Delivery,Islandwide Grounds Maintenance Ltd,2252819,"25,169.98"
DEFRA,The Environment Agency,03-Mar-11,Construction Service Providers,Midlands - Ops Delivery,Newark Internal Drainage Board,2251321,"25,075.07"
DEFRA,The Environment Agency,15-Mar-11,Building Management,National Labs   ,DEFRA,2252291,"25,000.00"
DEFRA,The Environment Agency,24-Mar-11,Environmental Services,Wales - Monitoring,Forestry Commission,2035460,"25,000.00"
