Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,374.9,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,156.4,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,291.6,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,1593.82,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,3076.39,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,186.5,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,376.4,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,136.2,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,1770.14,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,4125.13,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,374.8,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,94,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,556.1,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,225,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,1388.2,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,3853.77,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,935.58,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,2275.6,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,880.81,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,557.36,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,168.41,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,50.31,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,2718.96,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,1354.43,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,1594.9,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,5778.39,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,317.8,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,1192.25,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,3717.4,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,1053.1,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,797.8,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,259.1,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,2390.5,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,2207.41,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,1331.73,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,1664.94,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,1279.4,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,333.49,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,1221.04,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,959.2,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,575.6,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,3431.59,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,7979.69,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,2472.18,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,212.9,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,74.2,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,1235,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,428.6,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,912.3,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,5324.2,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,2283.91,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,449.6,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,412.44,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,1635.74,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,751,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,1786.07,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,1378.3,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,530.2,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,586.5,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,3670.9,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,1394.41,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,565.7,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,185.2,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,1335.31,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,1179.8,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,1702.62,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,222.59,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,365.88,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,914.7,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,432.3,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,309.4,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,1706.8,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,3193.7,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,494.45,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,180.8,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,359.5,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,34,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,76.2,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,268.6,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,1555.8,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,1288.69,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,712,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,3824.82,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,661.02,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,98.9,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,226.39,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,499.4,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,305.5,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,415.8,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,179,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,56.8,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,222.41,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,159,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,291.4,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,260.4,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,1041.8,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,4616.6,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,984.6,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,295,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,2787.31,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,217.4,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,1382.8,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,6854.9,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,489.8,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,127.6,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,295.4,,,,,,
Department of Health,Department of Health,24/11/2011,Computer Software/License,Informatics,HEWLETT- PACKARD LTD,LARGE,,14011942,29582.4,,,,,,
Department of Health,Department of Health,24/11/2011,Computer Software/License,Informatics,HEWLETT- PACKARD LTD,LARGE,,14011942,6528,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,2190.01,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,959.95,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,134.4,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,327.8,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,123.4,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,1629.19,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,941.1,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,135.8,,,,,#REF!,#REF!
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,123.4,,,,,#REF!,#REF!
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,263.4,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,305.4,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,152.4,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,244.19,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,299.2,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,344.53,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,280.19,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,1210.19,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,87.4,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,193.8,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,348.8,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,123.4,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,332.81,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,251.4,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,164.8,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,1522.1,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,204.8,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,3805.81,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,378.8,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,89.4,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,4227.35,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,235.8,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,259.8,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,1951.46,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,325.58,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,1047.59,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,293.8,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,415,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,126.4,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,805.38,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,934.28,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,684.01,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,556.6,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,768.4,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,877.3,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,HRG UK,LARGE,,13960258,541.6,,,,,,
Department of Health,Department of Health,24/11/2011,Computer Maintenance,Informatics,IDENTITY & PASSPORT SERVICE,PUBLIC,,13960713,138750,,,,,,
Department of Health,Department of Health,10/11/2011,Legal / Prof Fees,Informatics,MILBANK TWEED HADLEY & MCCLOY LLP,LARGE,,13890854,29893.32,,,,,,
Department of Health,Department of Health,01/11/2011,Staff Consultancy & Suppt,Informatics,NHS DIRECT,PUBLIC,,13848793,51210.66,,,,,,
Department of Health,Department of Health,15/11/2011,Contr Other External,Informatics,NHS INFORMATION CENTRE,PUBLIC,,13867169,722958,,,,,,
Department of Health,Department of Health,15/11/2011,Contr Other External,Informatics,NHS INFORMATION CENTRE,PUBLIC,,13873390,-500000,,,,,,
Department of Health,Department of Health,22/11/2011,Staff Consultancy & Suppt,Informatics,PA CONSULTING SERVICES LTD,LARGE,,13935328,40440,,,,,,
Department of Health,Department of Health,23/11/2011,Computer Maintenance,Informatics,PROBRAND LTD,SME,,13935352,35592.87,,,,,,
Department of Health,Department of Health,30/11/2011,Computer Maintenance,Informatics,PROBRAND LTD,SME,,13960714,28843.92,,,,,,
Department of Health,Department of Health,30/11/2011,Computer Maintenance,Informatics,PROBRAND LTD,SME,,13960715,103045.1,,,,,,
Department of Health,Department of Health,16/11/2011,Data Lines,Informatics,PROBRAND LTD,SME,,13942239,80812.8,,,,,,
Department of Health,Department of Health,10/11/2011,Mobile Phones,Informatics,VODAFONE CORPORATE LTD,LARGE,,13890822,43427.91,,,,,,
Department of Health,Department of Health,01/11/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2347001-21-NOV-11,86999.93,,,Other,,,
Department of Health,Department of Health,02/11/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2347001-21-NOV-11,6768.95,,,Other,,,
Department of Health,Department of Health,03/11/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2347001-21-NOV-11,6827.74,,,Other,,,
Department of Health,Department of Health,04/11/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2347001-21-NOV-11,6915.87,,,Other,,,
Department of Health,Department of Health,05/11/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2347001-21-NOV-11,297.99,,,Other,,,
Department of Health,Department of Health,06/11/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2347001-21-NOV-11,633.61,,,Other,,,
Department of Health,Department of Health,07/11/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2347001-21-NOV-11,7159.48,,,Other,,,
Department of Health,Department of Health,08/11/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2347001-21-NOV-11,7043.85,,,Other,,,
Department of Health,Department of Health,09/11/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2347001-21-NOV-11,3672.14,,,Other,,,
Department of Health,Department of Health,10/11/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2347001-21-NOV-11,9710.82,,,Other,,,
Department of Health,Department of Health,11/11/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2347001-21-NOV-11,3804.1,,,Other,,,
Department of Health,Department of Health,14/11/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2347001-21-NOV-11,7396.57,,,Other,,,
Department of Health,Department of Health,15/11/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2347001-21-NOV-11,5721.93,,,Other,,,
Department of Health,Department of Health,16/11/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2347001-21-NOV-11,11988.42,,,Other,,,
Department of Health,Department of Health,25/11/2011,Rent of Land & Buildings (non-PFI operating lease),NHS FINANCE PERFORMANCE & OPERATIONS,DEAN CLOUGH LTD,SME,HX3 5AX,13019,210200.33,,"RAZ088 - F Mill - Ground West 4,5, Dean Clough Mills, Halifax, West Yorkshire, HX3 5AX - Dean Clough Ltd - Ref F/GWEST/4/5 - RENT",Programme,,,
Department of Health,Department of Health,25/11/2011,Service charge,NHS FINANCE PERFORMANCE & OPERATIONS,DEAN CLOUGH LTD,SME,HX3 5AX,13019,3017.18,,"RAZ088 - F Mill - Ground West 4,5, Dean Clough Mills, Halifax, West Yorkshire, HX3 5AZ - Dean Clough Limited - Service Charge",Programme,,,
Department of Health,Department of Health,25/11/2011,Service charge,NHS FINANCE PERFORMANCE & OPERATIONS,DEAN CLOUGH LTD,SME,HX3 5AX,13019,2367,," RAZ088 - F Mill - Ground West 4,5, Dean Clough Mills, Halifax, West Yorkshire HX3 5AX- Dean Clough Limited - Ref:  F/GWEST/4/5 - service charge",Programme,,,
Department of Health,Department of Health,25/11/2011,Service charge,NHS FINANCE PERFORMANCE & OPERATIONS,DEAN CLOUGH LTD,SME,HX3 5AX,13019,25553.29,,"RAZ088 - F Mill - Ground West 4,5, Dean Clough Mills, Halifax, West Yorkshire HX3 5AX- Dean Clough Limited - service charge",Programme,,,
